task_id,method,repeat,budget,comparison_status,failure_count_before,failure_count_after,failure_count_delta,failure_pool_count_before,failure_pool_count_after
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,0,20,compared,3.0,9.0,6.0,12,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,1,20,before_missing,,9,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,2,20,before_missing,,11,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,3,20,before_missing,,5,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,4,20,before_missing,,5,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,5,20,before_missing,,9,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,6,20,before_missing,,7,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,7,20,before_missing,,8,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,8,20,before_missing,,9,,,12
legacy_regression_seed4179802_merge_blind06,FBRT-Memory,9,20,before_missing,,11,,,12
legacy_regression_seed4179802_merge_brake2,Random,0,20,compared,1.0,2.0,1.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,1,20,compared,2.0,1.0,-1.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,2,20,compared,1.0,0.0,-1.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,3,20,compared,0.0,1.0,1.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,4,20,compared,0.0,1.0,1.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,5,20,compared,0.0,2.0,2.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,6,20,compared,0.0,3.0,3.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,7,20,compared,0.0,2.0,2.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,8,20,compared,1.0,2.0,1.0,5,5
legacy_regression_seed4179802_merge_brake2,Random,9,20,compared,1.0,1.0,0.0,5,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,0,20,compared,5.0,5.0,0.0,5,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,1,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,2,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,3,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,4,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,5,20,before_missing,,5,,,5
