seed,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20320111,RandomSafe,1,86,cutin_braking,False,True,False,True,True,1.8807114039354569,0.4548055045621839,0.6335608416276493,0.00010519998613744974,0.5845430000917986
20320111,RandomSafe,2,137,lead_braking,False,False,False,False,True,inf,15.902405431475646,0.0,0.0001227000029757619,0.6203278000466526
20320111,RandomSafe,3,121,cutin_braking,True,False,True,True,False,0.6406114066442719,0.03074931512984653,1.201930541097083,0.0001428999239578843,0.15530570002738386
20320111,RandomSafe,4,68,cutin_braking,False,False,False,False,True,20.745557752906432,2.0015416192595303,0.00024814922507229953,0.00013569998554885387,0.5740983000723645
20320111,RandomSafe,5,106,cutin_braking,True,False,True,True,False,0.9807469889815944,0.017867222119746867,1.180286139908794,0.00013429997488856316,0.1521667999913916
20320111,RandomSafe,6,229,stop_and_go,False,False,False,False,True,inf,1.999995522401966,0.0,0.00012799992691725492,0.6232469000387937
20320111,RandomSafe,7,24,fast_intrusion,False,True,False,True,True,0.8244262027444874,0.5121510038274075,0.6899293543131587,0.00013289996422827244,0.5894879000261426
20320111,RandomSafe,8,154,lead_braking,False,False,False,False,True,3.090187086453072,1.9716574207111677,0.08924617438533702,0.00012879993300884962,0.5558557999320328
20320111,RandomSafe,9,213,stop_and_go,False,False,False,False,True,inf,12.541812408015954,0.0,0.0001639999682083726,0.5735904999310151
20320111,RandomSafe,10,317,slow_lead_following,False,False,False,False,True,3.7786851317099837,1.905518776792983,0.0709445940774942,0.00013860000763088465,0.5695355000207201
20320111,RandomSafe,11,179,lead_braking,False,False,False,False,True,inf,4.668189698923385,0.0,7.690000347793102e-05,0.5659883000189438
20320111,RandomSafe,12,264,slow_lead_following,False,False,False,False,True,inf,2.0000000045419206,0.0,8.849997539073229e-05,0.5784672999288887
20320111,RandomSafe,13,254,stop_and_go,False,False,False,False,True,6.498101160701791,1.986056481996493,0.028657844139130886,8.189992513507605e-05,0.6040431000292301
20320111,RandomSafe,14,15,fast_intrusion,False,False,False,False,True,inf,2.879600821287126,0.0,7.739989086985588e-05,0.5771904999855906
20320111,RandomSafe,15,61,fast_intrusion,False,False,False,False,True,16.836743366838494,3.5442754511430805,0.0009132123221122552,8.390005677938461e-05,0.5690323000308126
20320111,RandomSafe,16,270,slow_lead_following,False,False,False,False,True,inf,4.555088295752654,0.0,8.559995330870152e-05,0.574938099947758
20320111,RandomSafe,17,236,stop_and_go,False,False,False,False,True,15.363708461322295,1.2007795778084471,0.0014921600439446042,0.00020590005442500114,0.5690946000395343
20320111,RandomSafe,18,48,fast_intrusion,False,True,False,True,True,0.8014985124844879,0.6802303205714125,0.6913864623768922,8.070003241300583e-05,0.57359359995462
20320111,RandomSafe,19,199,stop_and_go,False,False,False,False,True,inf,2.0000000050844715,0.0,8.329993579536676e-05,0.5837155999615788
20320111,RandomSafe,20,62,fast_intrusion,False,True,False,True,True,0.7962122534452956,1.298392859182785,0.6917239991462619,8.410005830228329e-05,0.58155430003535
20320111,RandomSafe,21,163,lead_braking,False,False,False,False,True,inf,1.965132058600262,0.0,8.369993884116411e-05,0.5916190999560058
20320111,RandomSafe,22,88,cutin_braking,False,False,False,False,True,inf,5.362002657584758,0.0,8.87999776750803e-05,0.5602444999385625
20320111,RandomSafe,23,127,cutin_braking,False,False,False,False,True,2.3741322950253805,1.9207254789240666,0.11330502135802074,8.390005677938461e-05,0.5700453000608832
20320111,RandomSafe,24,248,stop_and_go,False,False,False,False,True,11.139497393174793,1.937126725501213,0.006100038728767047,7.890001870691776e-05,0.5762653000419959
20320111,RandomSafe,25,60,fast_intrusion,True,False,True,True,False,0.8374466555169282,0.01731385926109653,1.1891068185064535,8.79000872373581e-05,0.11421040003187954
20320111,RandomSafe,26,295,slow_lead_following,False,False,False,False,True,2.082578990551251,1.8470954215876905,0.1248693412980993,7.850001566112041e-05,0.561748499982059
20320111,RandomSafe,27,185,lead_braking,False,False,False,False,True,inf,19.979247451620182,0.0,7.920002099126577e-05,0.594078200054355
20320111,RandomSafe,28,168,lead_braking,False,False,False,False,True,12.759338402164582,1.9932998479318882,0.0035549753066487677,9.459990542382002e-05,0.6452974999556318
20320111,RandomSafe,29,207,stop_and_go,False,False,False,False,True,inf,1.9972433960813814,0.0,8.049991447478533e-05,0.664146100054495
20320111,RandomSafe,30,18,fast_intrusion,True,False,True,True,False,0.6280968571216179,0.0,1.202774657080451,7.870001718401909e-05,0.1725348000181839
20320111,RandomSafe,31,80,cutin_braking,False,False,False,False,True,6.543651778316837,1.968758598203145,0.028226003371073314,8.240004535764456e-05,0.6067131999880075
20320111,RandomSafe,32,217,stop_and_go,False,False,False,False,True,inf,1.9999144740791168,0.0,0.000130399945192039,0.5866974999662489
20320111,RandomSafe,33,226,stop_and_go,False,False,False,False,True,2.8238816394793855,1.9555682613187457,0.09753068418040778,9.039998985826969e-05,0.5742588000139222
20320111,RandomSafe,34,187,lead_braking,False,False,False,False,True,inf,1.9999799736542658,0.0,8.369993884116411e-05,0.5702338999835774
20320111,RandomSafe,35,290,slow_lead_following,False,False,False,False,True,inf,1.9999527363402627,0.0,8.619995787739754e-05,0.5784015000099316
20320111,RandomSafe,36,223,stop_and_go,False,False,False,False,True,inf,3.715187587274545,0.0,9.460002183914185e-05,0.5497136000776663
20320111,RandomSafe,37,318,slow_lead_following,False,False,False,False,True,inf,1.999928503423882,0.0,7.949990686029196e-05,0.5738789000315592
20320111,RandomSafe,38,191,lead_braking,False,False,False,False,True,inf,3.3039067176782577,0.0,7.969990838319063e-05,0.5749537999508902
20320111,RandomSafe,39,161,lead_braking,False,False,False,False,True,inf,19.174360305936048,0.0,8.699996396899223e-05,0.565832499996759
