method,budget,scope,value,units,mean_CollisionCount,mean_CriticalCount,mean_SeveritySum,mean_CVS,mean_F,mean_NewHistoricalFailureCount,mean_selection_seconds
FPS-Risk,10,overall,all,12,0.08333333333333333,7.5,3.7916666666666665,3.0416666666666665,0.028034027338788816,0.0,0.08690529166293952
FPS-Risk,10,coverage,leave_one_out,12,0.08333333333333333,7.5,3.7916666666666665,3.0416666666666665,0.028034027338788816,0.0,0.08690529166293952
FPS-Risk,10,heterogeneity,idm_mobil,3,0.0,8.333333333333334,4.166666666666667,3.1666666666666665,0.029332479475356776,0.0,0.07826393330469728
FPS-Risk,20,overall,all,12,0.08333333333333333,14.0,7.041666666666667,4.291666666666667,0.03905288965891956,0.0,0.08690529166293952
FPS-Risk,20,coverage,leave_one_out,12,0.08333333333333333,14.0,7.041666666666667,4.291666666666667,0.03905288965891956,0.0,0.08690529166293952
FPS-Risk,20,heterogeneity,idm_mobil,3,0.0,17.333333333333332,8.666666666666666,5.0,0.04564289187102063,0.0,0.07826393330469728
FPS-Risk,30,overall,all,12,0.08333333333333333,20.916666666666668,10.5,5.833333333333333,0.05119342823959467,0.0,0.08690529166293952
FPS-Risk,30,coverage,leave_one_out,12,0.08333333333333333,20.916666666666668,10.5,5.833333333333333,0.05119342823959467,0.0,0.08690529166293952
FPS-Risk,30,heterogeneity,idm_mobil,3,0.0,27.333333333333332,13.666666666666666,7.166666666666667,0.061952735364521026,0.0,0.07826393330469728
FPS-Risk,50,overall,all,12,0.08333333333333333,33.25,16.666666666666668,8.708333333333334,0.06847062324792556,0.0,0.08690529166293952
FPS-Risk,50,coverage,leave_one_out,12,0.08333333333333333,33.25,16.666666666666668,8.708333333333334,0.06847062324792556,0.0,0.08690529166293952
FPS-Risk,50,heterogeneity,idm_mobil,3,0.0,45.333333333333336,22.666666666666668,10.833333333333334,0.0887818675200834,0.0,0.07826393330469728
FPS-Severity,10,overall,all,12,0.08333333333333333,7.416666666666667,3.75,3.0,0.027890624289869412,0.0,0.08505825832253322
FPS-Severity,10,coverage,leave_one_out,12,0.08333333333333333,7.416666666666667,3.75,3.0,0.027890624289869412,0.0,0.08505825832253322
FPS-Severity,10,heterogeneity,idm_mobil,3,0.0,8.0,4.0,3.0,0.02875886727967918,0.0,0.08256500004790723
FPS-Severity,20,overall,all,12,0.08333333333333333,14.083333333333334,7.083333333333333,4.291666666666667,0.03912111447049834,0.0,0.08505825832253322
FPS-Severity,20,coverage,leave_one_out,12,0.08333333333333333,14.083333333333334,7.083333333333333,4.291666666666667,0.03912111447049834,0.0,0.08505825832253322
FPS-Severity,20,heterogeneity,idm_mobil,3,0.0,17.666666666666668,8.833333333333334,5.0,0.04591579111733574,0.0,0.08256500004790723
FPS-Severity,30,overall,all,12,0.08333333333333333,21.0,10.541666666666666,5.875,0.05128449416494377,0.0,0.08505825832253322
FPS-Severity,30,coverage,leave_one_out,12,0.08333333333333333,21.0,10.541666666666666,5.875,0.05128449416494377,0.0,0.08505825832253322
FPS-Severity,30,heterogeneity,idm_mobil,3,0.0,27.666666666666668,13.833333333333334,7.333333333333333,0.06231699906591739,0.0,0.08256500004790723
FPS-Severity,50,overall,all,12,0.08333333333333333,33.333333333333336,16.708333333333332,8.75,0.06940586051514995,0.0,0.08505825832253322
