seed,mode,local_index,sut,initial_gap,relative_speed,timing,intensity,ego_collision,background_collision,near_miss,min_ttc,min_polygon_clearance,completed
20290301,fast_intrusion,0,idm_mobil,19.59382101893425,-7.854127157479525,0.9483272948302329,0.937190948240459,True,True,False,1.2757824687383452,0.0016862366090173678,False
20290301,fast_intrusion,0,mcts_cv,19.59382101893425,-7.854127157479525,0.9483272948302329,0.937190948240459,False,False,False,2.2169734355167967,1.2541308608604487,True
20290301,fast_intrusion,0,ppo_ece,19.59382101893425,-7.854127157479525,0.9483272948302329,0.937190948240459,False,False,False,1.8460325806294302,1.9946414789883953,True
20290301,fast_intrusion,0,vi_ttc,19.59382101893425,-7.854127157479525,0.9483272948302329,0.937190948240459,True,True,False,0.375642248182967,0.0,False
20290301,fast_intrusion,1,idm_mobil,6.9831364611163735,2.877501830458641,0.26426580203697086,0.1859509004279971,False,False,False,inf,1.2117311772312143,True
20290301,fast_intrusion,1,mcts_cv,6.9831364611163735,2.877501830458641,0.26426580203697086,0.1859509004279971,False,False,False,463.3087082689202,2.0,True
20290301,fast_intrusion,1,ppo_ece,6.9831364611163735,2.877501830458641,0.26426580203697086,0.1859509004279971,False,False,False,inf,2.0,True
20290301,fast_intrusion,1,vi_ttc,6.9831364611163735,2.877501830458641,0.26426580203697086,0.1859509004279971,True,True,False,2.1919853764406096,0.017833114708727633,False
20290301,fast_intrusion,2,idm_mobil,11.986314490437508,-3.3515963926911354,0.5661119662225247,0.6007624194957316,False,False,False,2.135583061828458,1.9774569855730593,True
20290301,fast_intrusion,2,mcts_cv,11.986314490437508,-3.3515963926911354,0.5661119662225247,0.6007624194957316,False,False,False,8.15483828487674,3.1498923512983277,True
20290301,fast_intrusion,2,ppo_ece,11.986314490437508,-3.3515963926911354,0.5661119662225247,0.6007624194957316,False,False,False,3.2208946755670165,4.786873090600088,True
20290301,fast_intrusion,2,vi_ttc,11.986314490437508,-3.3515963926911354,0.5661119662225247,0.6007624194957316,True,True,False,0.6475175655974984,2.2065682614424986e-15,False
20290301,fast_intrusion,3,idm_mobil,23.422831089235842,-1.6141083650290966,0.3373241791501641,0.29732510605826973,False,False,False,10.092565392528156,9.953989646922333,True
20290301,fast_intrusion,3,mcts_cv,23.422831089235842,-1.6141083650290966,0.3373241791501641,0.29732510605826973,False,False,False,20.485511208096824,19.250830730105424,True
20290301,fast_intrusion,3,ppo_ece,23.422831089235842,-1.6141083650290966,0.3373241791501641,0.29732510605826973,False,False,False,14.2802638367826,11.41960904987307,True
20290301,fast_intrusion,3,vi_ttc,23.422831089235842,-1.6141083650290966,0.3373241791501641,0.29732510605826973,False,False,False,2.5945799358097967,1.9776610877670173,True
20290301,fast_intrusion,4,idm_mobil,20.852667902596295,-3.738926474004984,0.12682765107601882,0.4075907714664936,False,False,False,4.482132523631524,1.9999956395001952,True
20290301,fast_intrusion,4,mcts_cv,20.852667902596295,-3.738926474004984,0.12682765107601882,0.4075907714664936,False,False,False,98.25519562610864,16.25908055077511,True
20290301,fast_intrusion,4,ppo_ece,20.852667902596295,-3.738926474004984,0.12682765107601882,0.4075907714664936,False,False,False,5.541383531287472,7.939091468108449,True
