history_size,epoch,train_loss,dev_loss
510,1,1.139695644378662,0.666226327419281
510,2,1.125177264213562,0.6474291682243347
510,3,1.1256853342056274,0.6682013273239136
510,4,1.1209537982940674,0.6929687857627869
510,5,1.1211140155792236,0.7113850712776184
510,6,1.120583415031433,0.7205213904380798
510,7,1.1238977909088135,0.7187130451202393
510,8,1.1142985820770264,0.7080057859420776
510,9,1.1172555685043335,0.6957415342330933
510,10,1.1149803400039673,0.6858425140380859
510,11,1.1118452548980713,0.6799221038818359
510,12,1.1125696897506714,0.6801624894142151
510,13,1.1038429737091064,0.6852598190307617
510,14,1.1096099615097046,0.6959191560745239
510,15,1.1092324256896973,0.7069302201271057
510,16,1.1105202436447144,0.7140284776687622
510,17,1.1075928211212158,0.7147998809814453
510,18,1.1013503074645996,0.709835946559906
510,19,1.0944151878356934,0.7010809183120728
510,20,1.0938230752944946,0.6943446397781372
510,21,1.0966856479644775,0.6916519999504089
510,22,1.096006989479065,0.6953890919685364
510,23,1.0883980989456177,0.7030354142189026
510,24,1.081955909729004,0.7105972170829773
510,25,1.0837881565093994,0.7197152376174927
510,26,1.0800584554672241,0.724747359752655
510,27,1.076353907585144,0.7229766845703125
510,28,1.0709935426712036,0.7170582413673401
510,29,1.0639616250991821,0.7107520699501038
510,30,1.060843586921692,0.7145699858665466
510,31,1.0565050840377808,0.7265459895133972
510,32,1.0577409267425537,0.7386078238487244
510,33,1.0683774948120117,0.7409430742263794
510,34,1.0447856187820435,0.7296841144561768
510,35,1.0455961227416992,0.7293736934661865
510,36,1.046121597290039,0.7374470233917236
510,37,1.0291827917099,0.7314971685409546
510,38,1.0238895416259766,0.7240849137306213
510,39,1.0385113954544067,0.7449108958244324
510,40,1.0173683166503906,0.7569526433944702
510,41,1.025942087173462,0.7314915060997009
510,42,1.0174494981765747,0.7127122282981873
510,43,0.9941492676734924,0.7430723905563354
510,44,0.9843666553497314,0.7234979867935181
510,45,0.9822222590446472,0.677244246006012
510,46,0.9727848768234253,0.7047713994979858
510,47,0.975086510181427,0.7249490022659302
510,48,0.9591633677482605,0.6743946671485901
510,49,0.956092357635498,0.6674312949180603
510,50,0.9452560544013977,0.7316502332687378
510,51,0.9244035482406616,0.6677291989326477
510,52,0.9181442856788635,0.6162894368171692
510,53,0.9225105047225952,0.6692219376564026
510,54,0.8943794369697571,0.6669319272041321
510,55,0.8841589689254761,0.5691306591033936
510,56,0.8967425227165222,0.672126054763794
510,57,0.8497111201286316,0.626495897769928
510,58,0.851531982421875,0.5568143129348755
510,59,0.84266597032547,0.6331114172935486
510,60,0.8312979936599731,0.6187766194343567
510,61,0.8297905325889587,0.5660637617111206
510,62,0.7974584102630615,0.626157283782959
510,63,0.8020583987236023,0.5386807322502136
510,64,0.7949694991111755,0.5040474534034729
510,65,0.7741855382919312,0.7175977826118469
510,66,0.8175362944602966,0.564659059047699
510,67,0.7440963983535767,0.45532193779945374
510,68,0.7963350415229797,0.6295125484466553
510,69,0.7564474940299988,0.6291536092758179
510,70,0.7558156251907349,0.4543025493621826
510,71,0.7217051386833191,0.4308554232120514
510,72,0.7050398588180542,0.567389726638794
510,73,0.6886778473854065,0.6117082834243774
510,74,0.6959076523780823,0.47350364923477173
510,75,0.6621578335762024,0.4654601216316223
510,76,0.6757773756980896,0.5738218426704407
510,77,0.659170925617218,0.4856854975223541
510,78,0.6193172335624695,0.38444098830223083
510,79,0.6601263880729675,0.49215400218963623
510,80,0.6400583386421204,0.5501864552497864
510,81,0.6296260356903076,0.41588518023490906
510,82,0.6186261177062988,0.40600553154945374
510,83,0.6124358177185059,0.5068910121917725
510,84,0.5652573108673096,0.44691002368927
510,85,0.5658438801765442,0.3994225859642029
510,86,0.5800814032554626,0.4473413825035095
510,87,0.5685609579086304,0.39794638752937317
510,88,0.5435214042663574,0.36616599559783936
510,89,0.5754858255386353,0.5275192260742188
510,90,0.5827836394309998,0.3675484359264374
510,91,0.5600038766860962,0.398172527551651
510,92,0.5567944049835205,0.47507163882255554
510,93,0.5279247760772705,0.41485336422920227
510,94,0.5146705508232117,0.4009341299533844
510,95,0.4955016076564789,0.44851717352867126
510,96,0.5103651881217957,0.35877513885498047
510,97,0.4943472445011139,0.38339942693710327
510,98,0.47340524196624756,0.345920205116272
510,99,0.48844873905181885,0.4477294087409973
510,100,0.5238574743270874,0.33206531405448914
510,101,0.5036962628364563,0.3768908679485321
510,102,0.4633508324623108,0.4321788549423218
510,103,0.48931893706321716,0.3123994469642639
510,104,0.5182968378067017,0.43938133120536804
510,105,0.5188538432121277,0.42550918459892273
510,106,0.5024498701095581,0.3262600302696228
510,107,0.5094391107559204,0.41645750403404236
510,108,0.4831048846244812,0.3670996129512787
510,109,0.44030386209487915,0.2735501527786255
510,110,0.5790581107139587,0.6090118885040283
510,111,0.5883187055587769,0.5279597640037537
510,112,0.5248165130615234,0.30912747979164124
510,113,0.5478765964508057,0.3239639103412628
510,114,0.5457437038421631,0.4719158709049225
510,115,0.5063138008117676,0.5575190782546997
510,116,0.4963267147541046,0.4008665382862091
510,117,0.4536955654621124,0.28001782298088074
510,118,0.5774300694465637,0.5324623584747314
510,119,0.5437572598457336,0.5797280073165894
510,120,0.5677797794342041,0.34241506457328796
510,121,0.5005539059638977,0.300394743680954
510,122,0.5512634515762329,0.43357741832733154
510,123,0.4448516070842743,0.5780860781669617
510,124,0.5559069514274597,0.47377222776412964
510,125,0.46489232778549194,0.3073417842388153
510,126,0.5765299797058105,0.39703238010406494
510,127,0.42972829937934875,0.4736451208591461
510,128,0.4611157774925232,0.4096456468105316
510,129,0.5019593238830566,0.33525389432907104
510,130,0.47936132550239563,0.3448435962200165
510,131,0.4279153347015381,0.3855699896812439
510,132,0.46648529171943665,0.39288559556007385
510,133,0.4261155426502228,0.36569634079933167
510,134,0.40278926491737366,0.3021632432937622
510,135,0.489936500787735,0.40509554743766785
510,136,0.4581710398197174,0.5401093363761902
510,137,0.492692232131958,0.4612347185611725
510,138,0.4495592713356018,0.3495471179485321
510,139,0.42393457889556885,0.3233540952205658
510,140,0.43442147970199585,0.39350637793540955
510,141,0.4352915585041046,0.4192769527435303
510,142,0.4776025414466858,0.3599512279033661
510,143,0.41448545455932617,0.35420122742652893
510,144,0.41255292296409607,0.3977612555027008
510,145,0.4627765119075775,0.5087847709655762
510,146,0.47076156735420227,0.4366990923881531
510,147,0.4678829312324524,0.3088230788707733
510,148,0.5142071843147278,0.4011476933956146
510,149,0.42898932099342346,0.45993390679359436
510,150,0.4682405889034271,0.37665805220603943
510,151,0.4776621460914612,0.32251638174057007
510,152,0.42846131324768066,0.3301398456096649
510,153,0.43561646342277527,0.46944892406463623
510,154,0.426916241645813,0.4772528111934662
510,155,0.43856701254844666,0.3870045244693756
510,156,0.4155943691730499,0.3880983591079712
510,157,0.40545231103897095,0.37683025002479553
510,158,0.394550085067749,0.3749294877052307
510,159,0.4080820083618164,0.35693687200546265
510,160,0.41998031735420227,0.38346222043037415
510,161,0.42257505655288696,0.36240294575691223
510,162,0.41773539781570435,0.4136368930339813
510,163,0.42403489351272583,0.41406387090682983
510,164,0.45293593406677246,0.3967386484146118
510,165,0.4096275866031647,0.40552011132240295
510,166,0.41797134280204773,0.3747279644012451
510,167,0.38511472940444946,0.3539070785045624
510,168,0.41506972908973694,0.367186039686203
510,169,0.39338141679763794,0.3739076256752014
