seed,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20320503,CoRe-Residual,1,258,slow_lead_following,False,True,False,True,True,1.2682142648619728,1.5225899920850923,0.6638125570872405,0.0006297000218182802,0.5755024999380112
20320503,CoRe-Residual,2,284,slow_lead_following,False,False,False,False,True,1.5752083937806804,1.7437312712690487,0.1478785684102632,0.0007973999017849565,0.581607099971734
20320503,CoRe-Residual,3,298,slow_lead_following,False,True,False,True,True,1.3486177365817902,1.326411227991068,0.6594805023343764,0.0008524999720975757,0.5858402999583632
20320503,CoRe-Residual,4,314,slow_lead_following,False,False,False,False,True,1.6900386439085424,1.6046930245346047,0.14232521752811927,0.0009556000586599112,0.55575920001138
20320503,CoRe-Residual,5,219,stop_and_go,False,True,False,True,True,1.265063429549701,1.4155715924060928,0.6639846962649382,0.0008038999512791634,0.5622963999630883
20320503,CoRe-Residual,6,199,stop_and_go,False,False,False,False,True,2.281408648113916,1.4079627189735524,0.11686172151995314,0.0009707000572234392,0.564511000062339
20320503,CoRe-Residual,7,197,stop_and_go,False,False,False,False,True,2.4076737115803324,1.9054147024188404,0.11204527313097525,0.0009593999711796641,0.5612551999511197
20320503,CoRe-Residual,8,45,fast_intrusion,True,False,True,True,False,0.49121620327676463,0.01533059369818359,1.2122409494805104,0.0010051000863313675,0.1432247000047937
20320503,CoRe-Residual,9,104,cutin_braking,True,False,True,True,False,0.44033364423585925,0.004195188985627194,1.2158714380883133,0.0014435999328270555,0.14644899999257177
20320503,CoRe-Residual,10,170,lead_braking,False,False,False,False,True,1.5550460522672502,1.661743731652231,0.14887577505981242,0.0013327000197023153,0.5590618998976424
20320503,CoRe-Residual,11,88,cutin_braking,True,False,True,True,False,0.49443114441381175,0.002340588756218509,1.212013623922164,0.0014405000256374478,0.15683369990438223
20320503,CoRe-Residual,12,124,cutin_braking,True,False,True,True,False,0.4094382359564997,0.023053060517085184,1.2181060703896216,0.0015175999142229557,0.17832830001134425
20320503,CoRe-Residual,13,11,fast_intrusion,False,True,False,True,True,1.0477829261381255,1.2222652791585351,0.6763022660123985,0.0014446000568568707,0.5564860999584198
20320503,CoRe-Residual,14,76,cutin_braking,False,True,False,True,True,0.8390862636656548,1.069872264657061,0.6890034930510344,0.0015051000518724322,0.5552589999279007
