task_id,target_build,method,repeat,budget,effective_horizon,candidate_count,actual_queries,valid_results,failure_detected,first_failure_rank,failure_count,failure_pool_count,failure_recall,early_failure_recall_auc_20
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,0,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,0,5,20,80,5,5,True,3,2,12,0.16666666666666666,0.06666666666666667
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,0,10,20,80,10,10,True,3,3,12,0.25,0.125
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,0,20,20,80,20,20,True,3,3,12,0.25,0.1875
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,1,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,1,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,1,10,20,80,10,10,True,10,1,12,0.08333333333333333,0.008333333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,1,20,20,80,20,20,True,10,2,12,0.16666666666666666,0.0625
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,2,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,2,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,2,10,20,80,10,10,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,2,20,20,80,20,20,True,12,1,12,0.08333333333333333,0.0375
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,3,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,3,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,3,10,20,80,10,10,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,3,20,20,80,20,20,True,15,1,12,0.08333333333333333,0.024999999999999998
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,4,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,4,5,20,80,5,5,True,5,1,12,0.08333333333333333,0.016666666666666666
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,4,10,20,80,10,10,True,5,3,12,0.25,0.1
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,4,20,20,80,20,20,True,5,6,12,0.5,0.2333333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,5,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,5,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,5,10,20,80,10,10,True,8,1,12,0.08333333333333333,0.025
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,5,20,20,80,20,20,True,8,3,12,0.25,0.08333333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,6,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,6,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,6,10,20,80,10,10,True,7,2,12,0.16666666666666666,0.05833333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,6,20,20,80,20,20,True,7,3,12,0.25,0.13333333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,7,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,7,5,20,80,5,5,True,5,1,12,0.08333333333333333,0.016666666666666666
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,7,10,20,80,10,10,True,5,2,12,0.16666666666666666,0.08333333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,7,20,20,80,20,20,True,5,2,12,0.16666666666666666,0.12499999999999997
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,8,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,8,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,8,10,20,80,10,10,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,8,20,20,80,20,20,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,9,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,9,5,20,80,5,5,True,2,2,12,0.16666666666666666,0.08333333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,9,10,20,80,10,10,True,2,2,12,0.16666666666666666,0.125
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,Random,9,20,20,80,20,20,True,2,6,12,0.5,0.24166666666666664
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,HistoryRank-UCB-v2,0,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,HistoryRank-UCB-v2,0,5,20,80,5,5,True,2,1,12,0.08333333333333333,0.06666666666666667
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,HistoryRank-UCB-v2,0,10,20,80,10,10,True,2,4,12,0.3333333333333333,0.175
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,HistoryRank-UCB-v2,0,20,20,80,20,20,True,2,8,12,0.6666666666666666,0.36250000000000004
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FailureDistance-v2,0,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FailureDistance-v2,0,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FailureDistance-v2,0,10,20,80,10,10,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FailureDistance-v2,0,20,20,80,20,20,True,20,1,12,0.08333333333333333,0.004166666666666667
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-NoMemory,0,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-NoMemory,0,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-NoMemory,0,10,20,80,10,10,True,6,4,12,0.3333333333333333,0.11666666666666665
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-NoMemory,0,20,20,80,20,20,True,6,12,12,1.0,0.4375
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-Memory,0,1,20,80,1,1,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-Memory,0,5,20,80,5,5,False,,0,12,0.0,0.0
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-Memory,0,10,20,80,10,10,True,10,1,12,0.08333333333333333,0.008333333333333333
compact_regression_mobil_ref_to_rear_guard_off,mobil_rear_guard_off_v2,FBRT-Memory,0,20,20,80,20,20,True,10,10,12,0.8333333333333334,0.2708333333333333
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,0,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,0,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,0,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,0,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,1,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,1,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,1,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,1,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,2,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,2,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,2,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,2,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,3,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,3,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,3,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,3,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,4,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,4,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,4,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,4,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,5,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,5,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,5,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,5,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,6,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,6,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,6,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,6,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,7,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,7,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,7,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,7,20,20,61,20,20,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,8,1,20,61,1,1,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,8,5,20,61,5,5,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,8,10,20,61,10,10,False,,0,0,,
compact_regression_ppo_ref_to_obs_age020,ppo_obs_age020_v2,Random,8,20,20,61,20,20,False,,0,0,,
