build,seed,index,mode,gap,relative_speed,timing,intensity,ego_collision,background_collision,near_miss,completed,min_ttc,min_clearance
idm_ref,20291202,0,fast_intrusion,29.324063804000616,-3.87664432823658,0.6846554407849909,0.5660843277350068,False,False,False,True,6.762041669673399,19.732658488532195
idm_ref,20291202,1,fast_intrusion,33.93234702106565,-7.539517356082797,0.35315892696380613,0.2204840305261314,False,False,False,True,4.118539248534873,20.345834147303293
idm_ref,20291202,2,fast_intrusion,40.671285297721624,-3.044106626883149,0.7665913287550211,0.9050418560393155,False,False,False,True,11.17086578379936,31.088466626790087
idm_ref,20291202,3,fast_intrusion,22.49747522827238,-5.393295291811228,0.19559590946882965,0.3365838911384344,False,False,False,True,3.863880389631011,12.980456781547772
idm_ref,20291202,4,fast_intrusion,20.847100278362632,-2.181417252868414,0.42493372289463877,0.4084169689565897,False,False,False,True,8.115897317574733,13.62018433822621
idm_ref,20291202,5,fast_intrusion,42.33000208530575,-6.4053543377667665,0.5284645550884307,0.7505085092969239,False,False,False,True,5.9393259215341345,28.185434037757716
idm_ref,20291202,6,fast_intrusion,35.64861001633108,-4.8857504185289145,0.12722634049132467,0.06418624622747303,False,False,False,True,7.307761777973234,26.872380106178927
idm_ref,20291202,7,fast_intrusion,27.599457160569727,-6.673921562731266,0.9193772054277362,0.6361667009070516,False,False,False,True,3.1834949572606472,12.020717525849449
idm_ref,20291202,8,fast_intrusion,25.181566609069705,-3.202951403334737,0.08677931167185307,0.829637681785971,False,False,False,True,7.546354924803838,18.103738410460764
idm_ref,20291202,9,fast_intrusion,37.43513042572886,-5.353836666792631,0.8684178752824665,0.49803803116083145,False,False,False,True,6.0493393189393965,24.62618833645476
idm_ref,20291202,10,fast_intrusion,44.33953310362995,-3.8705108985304832,0.4618304708972573,0.7117250820621849,False,False,False,True,10.374153808837201,34.37125618442769
idm_ref,20291202,11,fast_intrusion,18.62519020680338,-7.707517405971885,0.582973948121071,0.15737763037905098,False,False,False,True,1.8580861581865211,3.039691236301994
idm_ref,20291202,12,fast_intrusion,23.665367681533098,-4.367103574797511,0.7964912679977716,0.20112072443589568,False,False,False,True,4.477482241043773,12.816784010853254
idm_ref,20291202,13,fast_intrusion,39.29430968966335,-7.079041630029678,0.24303982919082046,0.5291978819295764,False,False,False,True,5.460222317031544,26.431782409432515
idm_ref,20291202,14,fast_intrusion,32.3553740568459,-2.5715226717293262,0.6512741032056512,0.3137596435844898,False,False,False,True,11.3729082962228,24.160002518753174
idm_ref,20291202,15,fast_intrusion,30.266370727680624,-5.847522923722863,0.3091966235078871,0.8716158554889263,False,False,False,True,4.827183112667407,19.77230154719846
idm_ref,20291202,16,cutin_braking,26.91333132982254,-4.9652345441281796,0.12915191343054178,0.8903239155188204,False,False,False,True,4.5128516840673125,12.600690253286047
idm_ref,20291202,17,cutin_braking,48.62920245528221,-3.9566884096711874,0.7275149037130177,0.2197827803902328,False,False,False,True,12.65669177054434,35.04478128940332
idm_ref,20291202,18,cutin_braking,34.841422498226166,-6.514911524951458,0.4237584132701159,0.6332322007976473,False,False,False,True,4.914904805993501,18.706381117506055
idm_ref,20291202,19,cutin_braking,24.623596876859665,-2.4126161951571703,0.7123216522857547,0.4812149597331882,False,False,False,True,12.857386074367332,16.918495082146904
idm_ref,20291202,20,cutin_braking,21.162756621837616,-5.858382614329457,0.9018579800613226,0.36103722276166084,False,False,False,True,3.3597696626009137,8.926326042295912
idm_ref,20291202,21,cutin_braking,39.380509823560715,-1.5685872063040733,0.17825058093294505,0.5253335345536471,False,False,False,True,13.565760003854932,30.93069312636527
idm_ref,20291202,22,cutin_braking,45.090286791324615,-4.308450913056731,0.5513823790475727,0.11539799571037293,False,False,False,True,11.374561640406363,32.717737825967305
idm_ref,20291202,23,cutin_braking,31.374488204717636,-3.112404879182577,0.3616962540894747,0.7736635469831527,False,False,False,True,9.140486706745126,21.356973650629527
idm_ref,20291202,24,cutin_braking,32.82938227057457,-6.73282783664763,0.5988149764947593,0.5975947331637145,False,False,False,True,4.691445511588976,17.03833482110889
