seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,expert,log_bayes_factor,selection_seconds,elapsed_seconds
20330406,vi_ttc,EvidenceGate,1,182,lead_braking,True,False,True,True,False,1.0391905509378843,0.0,1.1768079415651418,static,0.0,0.0004959000507369637,0.1499815999995917
20330406,vi_ttc,EvidenceGate,2,162,lead_braking,True,False,True,True,False,0.39763683297134633,2.842170943040401e-14,1.2189657460542314,static,0.0,0.0021921000443398952,0.21037039998918772
20330406,vi_ttc,EvidenceGate,3,138,lead_braking,True,False,True,True,False,0.3534374787574463,1.4210854715202004e-14,1.2222156762602434,static,0.0,0.0005499999970197678,0.23904030001722276
20330406,vi_ttc,EvidenceGate,4,134,lead_braking,True,False,True,True,False,0.8145438734019026,0.0,1.1905560340661427,static,0.0,0.000493900035507977,0.2106156999943778
20330406,vi_ttc,EvidenceGate,5,146,lead_braking,True,False,True,True,False,0.4123556359277864,0.0,1.217894072605553,static,0.0,0.0004830999532714486,0.19833639997523278
20330406,vi_ttc,EvidenceGate,6,10,fast_intrusion,True,False,True,True,False,0.4284011902326403,0.20219392388115864,1.2167317732742822,static,0.0,0.0004708999767899513,0.17164339998271316
20330406,vi_ttc,EvidenceGate,7,91,cutin_braking,True,False,True,True,False,0.44262758640616917,0.010954029106317363,1.215706435648963,static,-0.5389965007326869,0.0004708000924438238,0.14422300003934652
20330406,vi_ttc,EvidenceGate,8,148,lead_braking,True,False,True,True,False,0.3691377337957439,0.0,1.2210557664572976,static,-1.0986122886681096,0.0005019999807700515,0.2597392000025138
20330406,vi_ttc,EvidenceGate,9,282,slow_lead_following,True,False,True,True,False,0.4435478786587924,0.0,1.215640274810177,static,-1.1349799328389851,0.000506900018081069,0.06617279991041869
20330406,vi_ttc,EvidenceGate,10,248,stop_and_go,True,False,True,True,False,0.4398219310908241,0.0,1.2159082626463282,static,-1.7227665977411037,0.00048210006207227707,0.1571492999792099
20330406,vi_ttc,EvidenceGate,11,0,fast_intrusion,False,True,False,True,True,0.551912019217585,0.5222320080076204,0.707990050576354,static,-2.3206035984967244,0.00044299999717622995,0.5446487999288365
20330406,vi_ttc,EvidenceGate,12,103,cutin_braking,False,True,False,True,True,0.5609940704801283,0.5287705928110737,0.7073613439470158,static,-2.6390573296152584,0.00044299999717622995,0.5373468999750912
20330406,vi_ttc,EvidenceGate,13,176,lead_braking,True,False,True,True,False,0.44413273801463726,0.0,1.215598239163727,static,-2.9644797300498875,0.0004406999796628952,0.2614829000085592
20330406,vi_ttc,EvidenceGate,14,54,fast_intrusion,False,True,False,True,True,0.8273798973952661,1.4069552548692792,0.6897424485660544,static,-3.0239031505206873,0.0004564999835565686,0.5390600999817252
20330406,vi_ttc,EvidenceGate,15,107,cutin_braking,True,False,True,True,False,0.4761299059258451,0.0,1.213310947635315,static,-3.242592351485517,0.00043569994159042835,0.15686089999508113
20330406,vi_ttc,EvidenceGate,16,164,lead_braking,True,False,True,True,False,0.3236480066408557,0.0,1.2244332305650723,static,-3.4657359027997265,0.0004474000306800008,0.21619589999318123
