#{"t_start": 1784477946.4592388, "env_id": "None"}
r,l,t
-4.754571,14,1.362654
-1.56245,13,1.394919
-4.466388,14,1.430182
-4.694246,180,1.723335
-5.568305,28,1.770422
-4.090412,9,1.793579
-5.241255,18,1.826644
-5.085739,9,1.852938
-3.920388,16,1.885995
-6.438043,180,2.185596
-4.82127,25,2.230349
-5.323861,180,2.522224
-5.334163,20,2.556808
-7.135036,89,2.6761
-4.926571,180,2.907791
-5.602916,21,2.945559
-4.100499,13,2.972782
-4.8873,180,3.256464
-5.026853,12,3.280086
1.285755,20,3.324171
-4.832652,15,3.355768
-4.77642,19,3.396935
-4.976307,14,3.424298
-5.289801,180,3.650448
1.480959,180,3.887051
-5.487935,17,3.924378
-1.382973,22,3.962429
-6.050771,180,4.256788
-4.897804,9,4.277234
-5.595774,180,4.561986
-0.516477,16,4.593691
-4.058713,16,4.625612
-4.940477,17,4.65862
-4.991657,180,4.888617
-3.79629,11,4.912102
-5.162724,11,4.940861
-0.400637,28,4.987291
1.460547,180,5.2809
-9.826375,175,5.511118
-4.942732,23,5.56051
-0.981182,23,5.60335
-4.851591,9,5.628407
-4.782721,18,5.669885
-5.552271,22,5.706642
-5.688928,27,5.759794
-4.546457,36,5.818465
-5.135948,16,5.848774
-4.715165,17,5.882643
-4.942496,25,5.934844
-5.21265,20,5.969795
-5.11697,9,5.993237
211.451287,29,6.053778
0.281841,26,6.108168
-5.153431,11,6.131509
-0.734594,18,6.171398
-5.26125,18,6.202679
-1.783165,28,6.259092
-5.263356,180,6.490523
-5.082282,11,6.518971
-4.852082,16,6.549953
-5.248655,12,6.580064
-4.67254,12,6.610549
-0.583794,16,6.649515
-0.654098,36,6.707101
-5.514547,180,7.009285
-4.220224,11,7.03347
-0.336018,12,7.058857
-5.12892,17,7.089489
-5.036037,10,7.118819
-4.955918,13,7.145333
-4.982868,16,7.176306
-2.320338,180,7.467491
-4.69827,14,7.502589
-6.011023,180,7.732794
-5.342417,19,7.767008
-2.943442,16,7.797688
-3.916797,27,7.841949
-5.154221,8,7.862183
-5.128471,11,7.891247
-4.801321,19,7.927307
-4.991491,9,7.948866
-2.008745,11,7.973125
-5.164836,26,8.016307
-5.404346,15,8.044908
-5.035338,12,8.077962
-5.411575,180,8.320261
-2.044442,19,8.361952
-5.148192,15,8.391137
-4.789734,28,8.436918
-4.417495,17,8.469692
-5.731881,180,8.770496
-5.920914,40,8.832934
-5.176266,180,9.134544
-5.016891,18,9.176839
-1.01694,9,9.196918
-4.847238,18,9.239776
-4.8971,15,9.268523
-2.137875,29,9.317797
-5.135109,12,9.350504
-3.362491,25,9.39249
-5.033504,11,9.4227
-5.206056,14,9.456419
-5.089815,16,9.494613
-5.160043,14,9.529868
-4.483844,13,9.558047
-1.308905,25,9.752107
-5.582057,18,10.165222
-4.307187,16,10.26731
-5.493347,180,11.659773
-1.339647,10,11.714321
-5.111025,13,11.885775
-6.197106,180,13.244617
-5.309298,17,13.432964
-4.568999,20,13.53744
-7.36925,89,14.247225
-4.685783,180,15.554804
-4.990412,11,15.613204
-5.160028,13,15.677614
-5.261508,20,15.873312
-5.052915,14,16.024686
-2.495394,17,16.104551
-6.003172,180,17.391814
-4.267027,11,17.459845
-5.379155,20,17.628636
-2.824796,33,17.86112
-0.985651,34,18.101539
-5.485637,29,18.320715
-4.158956,15,18.400457
-5.191681,13,18.5547
-3.300693,16,18.677318
-5.054043,12,18.753344
-4.901031,32,19.066799
-1.888407,33,19.284707
-7.306422,99,20.083495
-5.03603,11,20.146609
-2.309374,9,20.193456
-5.185465,12,20.334219
3.211545,180,21.652223
-4.642973,15,21.803017
-5.349574,18,21.904901
-4.385208,35,22.160975
-1.929424,103,22.943412
