penalty,units,mean_CriticalCount50,mean_CollisionCount50,mean_CVS50,mean_F50
0.0,6,44.0,29.5,16.333333333333332,0.17542724440913046
0.1,6,42.166666666666664,26.833333333333332,16.166666666666668,0.17676179648781284
0.25,6,41.5,26.333333333333332,16.416666666666668,0.17842560358719572
0.5,6,41.666666666666664,26.0,16.333333333333332,0.18079593469328184
0.75,6,40.5,25.333333333333332,16.583333333333332,0.17953111620035048
