seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,expert,log_bayes_factor,selection_seconds,elapsed_seconds
20330518,vi_ttc,EvidenceGate,1,143,lead_braking,True,False,True,True,False,0.472197423831323,0.0,1.2135907448055252,static,0.0,0.00040929997339844704,0.07805880007799715
20330518,vi_ttc,EvidenceGate,2,179,lead_braking,True,False,True,True,False,0.3001555309354251,0.0,1.2261976272954804,static,0.0,0.0006011000368744135,0.21597709995694458
20330518,vi_ttc,EvidenceGate,3,151,lead_braking,True,False,True,True,False,0.40776444145513846,0.0,1.2182277925898997,static,0.0,0.0004954000469297171,0.19930899993050843
20330518,vi_ttc,EvidenceGate,4,155,lead_braking,True,False,True,True,False,0.5679741490807937,0.0,1.2068794386274202,static,0.0,0.00047500000800937414,0.23653690004721284
20330518,vi_ttc,EvidenceGate,5,131,lead_braking,True,False,True,True,False,0.4236133936047326,0.0,1.2170779386467903,static,0.0,0.00047179998364299536,0.2181097000138834
20330518,vi_ttc,EvidenceGate,6,191,lead_braking,True,False,True,True,False,0.5822971647741964,0.0,1.2058940802343865,static,0.0,0.00047179998364299536,0.26422230002935976
20330518,vi_ttc,EvidenceGate,7,288,slow_lead_following,True,False,True,True,False,0.43493914416586976,0.0,1.2162599601266117,static,0.0,0.0004917000187560916,0.07329359999857843
20330518,vi_ttc,EvidenceGate,8,95,cutin_braking,True,False,True,True,False,0.45676030610766116,0.010912668498090932,1.2146926525782238,static,-0.5596157879354231,0.0004885999951511621,0.15539630001876503
20330518,vi_ttc,EvidenceGate,9,33,fast_intrusion,False,True,False,True,True,0.710278357842827,1.0092493114496863,0.6972952751594628,static,-1.1349799328389851,0.000596199999563396,0.5778842000290751
20330518,vi_ttc,EvidenceGate,10,238,stop_and_go,True,False,True,True,False,0.5014006730930594,0.0,1.2115216506030222,static,-1.7227665977411037,0.0004757000133395195,0.21680449997074902
20330518,vi_ttc,EvidenceGate,11,159,lead_braking,True,False,True,True,False,0.3663390882863372,0.0,1.2212620815855277,static,-2.3206035984967244,0.00042990001384168863,0.15817979990970343
20330518,vi_ttc,EvidenceGate,12,294,slow_lead_following,True,False,True,True,False,0.41102623013726186,0.0,1.2179906505497997,static,-2.3671236141316165,0.00043510005343705416,0.07070120004937053
20330518,vi_ttc,EvidenceGate,13,177,lead_braking,True,False,True,True,False,0.5441583800391046,0.0,1.20852830578447,static,-2.6925460145662448,0.0004311999073252082,0.31894070003181696
20330518,vi_ttc,EvidenceGate,14,284,slow_lead_following,True,False,True,True,False,1.7113751092799607,0.0,1.141316569585027,static,-2.7362210780689065,0.0004330999217927456,0.18136609997600317
20330518,vi_ttc,EvidenceGate,15,77,cutin_braking,True,False,True,True,False,0.5186888624803399,0.00522660346147341,1.2103062139647323,static,-2.954910279033736,0.0004319000290706754,0.14488919998984784
20330518,vi_ttc,EvidenceGate,16,185,lead_braking,True,False,True,True,False,0.27428994078408264,0.0,1.228156303923487,static,-3.2958368660043287,0.0004363000625744462,0.17396560008637607
20330518,vi_ttc,EvidenceGate,17,296,slow_lead_following,True,False,True,True,False,2.038455401337817,0.0,1.1267194748755442,static,-3.3405727598457213,0.0005700000328943133,0.4247424000641331
20330518,vi_ttc,EvidenceGate,18,39,fast_intrusion,False,True,False,True,True,0.6881202016517981,0.71404345339079,0.6987579032078493,static,-3.5065578973199822,0.00043949997052550316,0.5990769999334589
20330518,vi_ttc,EvidenceGate,19,101,cutin_braking,True,False,True,True,False,0.5847323368926233,0.040093412055668756,1.2057270188729092,static,-3.85795578415787,0.0004376999568194151,0.1339626000262797
20330518,vi_ttc,EvidenceGate,20,133,lead_braking,True,False,True,True,False,0.48383760938369885,0.0,1.2127636052190074,static,-4.094344562222101,0.0004317000275477767,0.2942287999903783
20330518,vi_ttc,EvidenceGate,21,270,slow_lead_following,True,False,True,True,False,0.405044588446756,0.0,1.218425731476517,static,-4.140864577856993,0.00043430004734545946,0.09035700000822544
20330518,vi_ttc,EvidenceGate,22,53,fast_intrusion,False,True,False,True,True,1.0321427318636318,1.6617438950698635,0.6772237999840423,static,-4.276666119016054,0.00043350004125386477,0.572052099974826
20330518,vi_ttc,EvidenceGate,23,99,cutin_braking,False,True,False,True,True,0.5168455014437383,0.3397265234954068,0.7104354771006293,static,-4.5198964288970025,0.0004672999493777752,0.5687745000468567
20330518,vi_ttc,EvidenceGate,24,181,lead_braking,True,False,True,True,False,0.5495932976620773,0.0,1.208150869722019,static,-4.700480365792416,0.00043990008998662233,0.24850880005396903
20330518,vi_ttc,EvidenceGate,25,282,slow_lead_following,True,False,True,True,False,0.3783083810739766,0.0,1.2203810567491598,static,-4.746669748261791,0.0004686000756919384,0.10286109999287874
20330518,vi_ttc,EvidenceGate,26,57,fast_intrusion,False,True,False,True,True,0.6917428086761311,0.9025674062695324,0.6985180407994356,static,-4.8615997149357675,0.0004491000436246395,0.5842058999696746
20330518,vi_ttc,EvidenceGate,27,71,cutin_braking,True,False,True,True,False,0.574380316973179,0.14824523645993828,1.206438141826232,static,-5.047002938267131,0.00043530005495995283,0.18995520006865263
20330518,vi_ttc,EvidenceGate,28,145,lead_braking,True,False,True,True,False,0.45482485268240547,0.0,1.214831206477458,static,-5.19295685089021,0.00046390003990381956,0.2616334999911487
20330518,vi_ttc,EvidenceGate,29,218,stop_and_go,True,False,True,True,False,0.6105171225581832,0.0,1.203966386935237,static,-5.2379082387524765,0.0004371000686660409,0.21469799999613315
20330518,vi_ttc,EvidenceGate,30,264,slow_lead_following,False,True,False,True,True,2.1951788758136557,0.3078538287365973,0.6202694480343494,static,-5.609471795184959,0.000431500026024878,0.6591305999318138
20330518,vi_ttc,EvidenceGate,31,31,fast_intrusion,False,True,False,True,True,0.6083791705140734,0.1581431481579879,0.7041117955264746,static,-5.710213364986491,0.0006427000043913722,0.6921420999569818
20330518,vi_ttc,EvidenceGate,32,83,cutin_braking,False,True,False,True,True,0.7563193509922806,0.9675850333872261,0.6942905011282706,static,-5.860786223465865,0.00044380000326782465,0.5573464999906719
20330518,vi_ttc,EvidenceGate,33,129,lead_braking,True,False,True,True,False,0.5450583060404586,0.0,1.2084657618176313,static,-5.984165244626368,0.00045759999193251133,0.26833500002976507
20330518,vi_ttc,EvidenceGate,34,212,stop_and_go,True,False,True,True,False,0.35812120664668495,0.0,1.221869014355555,static,-6.028420253630417,0.00044080009683966637,0.22315139998681843
20330518,vi_ttc,EvidenceGate,35,318,slow_lead_following,True,False,True,True,False,0.40582187819302623,0.0,1.218369145446991,static,-6.287114789208934,0.0004350000526756048,0.10351859999354929
20330518,vi_ttc,EvidenceGate,36,45,fast_intrusion,False,True,False,True,True,1.0324653145725613,1.5778515278002967,0.6772047445640569,static,-6.376726947898624,0.0004338000435382128,0.5653418001020327
20330518,vi_ttc,EvidenceGate,37,111,cutin_braking,True,False,True,True,False,0.5058734058841655,0.00691761288605087,1.2112065256321323,static,-6.5034786535377815,0.00044450000859797,0.1586317999754101
20330518,vi_ttc,EvidenceGate,38,137,lead_braking,True,False,True,True,False,0.4961666738966459,0.0,1.2118910074279805,static,-6.6103417990801265,0.0005027999868616462,0.30567490006797016
20330518,vi_ttc,EvidenceGate,39,198,stop_and_go,True,False,True,True,False,0.40852954601091507,0.0,1.2181721439935977,static,-6.65335918416382,0.0004879001062363386,0.22143659996800125
20330518,vi_ttc,EvidenceGate,40,276,slow_lead_following,False,False,False,False,True,2.4905007625728186,1.2293479825293616,0.10899412666877342,static,-6.851184927493734,0.0006252999883145094,0.5596437000203878
20330518,vi_ttc,EvidenceGate,41,5,fast_intrusion,False,True,False,True,True,1.0858368770185236,1.6137836689808387,0.6740800571890891,static,-5.44019795378348,0.00043590005952864885,0.5718688999768347
20330518,vi_ttc,EvidenceGate,42,75,cutin_braking,False,True,False,True,True,0.448091730805808,0.11823920671546062,0.7153139095232773,static,-5.524939182238574,0.0005260000471025705,0.5706297000870109
20330518,vi_ttc,EvidenceGate,43,144,lead_braking,True,False,True,True,False,1.1683404439667446,0.0,1.1693578790130075,static,-5.595094168905696,0.000443600001744926,0.33682289998978376
20330518,vi_ttc,EvidenceGate,44,192,stop_and_go,True,False,True,True,False,0.32643687312170333,0.0,1.224224689407694,static,-5.61311267440839,0.00044350000098347664,0.19029110006522387
20330518,vi_ttc,EvidenceGate,45,306,slow_lead_following,True,False,True,True,False,0.39362063550924936,0.0,1.2192590789154005,static,-5.74997185712557,0.0006519999587908387,0.1252046999288723
20330518,vi_ttc,EvidenceGate,46,29,fast_intrusion,False,True,False,True,True,1.3519808581458166,1.8329536072415482,0.6593018184035722,static,-5.906190790016892,0.0004634000360965729,0.5760834000539035
20330518,vi_ttc,EvidenceGate,47,109,cutin_braking,True,False,True,True,False,0.6192863162056866,0.028899294251500285,1.203371050547604,static,-5.980488713733541,0.0006208999548107386,0.1487822999479249
20330518,vi_ttc,EvidenceGate,48,187,lead_braking,True,False,True,True,False,0.6709596670093854,0.0,1.199898091767592,static,-6.043289614972556,0.0005459999665617943,0.22355619992595166
20330518,vi_ttc,EvidenceGate,49,242,stop_and_go,True,False,True,True,False,0.5084185152987294,0.0,1.211027420377685,static,-6.062241540388425,0.00044029997661709785,0.2685684999451041
