method,target_sut,seed,checkpoint,selected_count,failure_count,failure_ratio,recall,critical_count
Random-within-SUT,SUT-B,0,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,0,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,0,20,20,0,0.0,0.0,0
Nearest-Failure-global-within-SUT,SUT-B,0,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,0,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,0,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,1,5,5,2,0.4,0.18181818181818182,3
DETOUR-static,SUT-B,1,10,10,5,0.5,0.45454545454545453,6
DETOUR-static,SUT-B,1,20,20,5,0.25,0.45454545454545453,9
Random,SUT-B,1,5,5,1,0.2,0.09090909090909091,2
Random,SUT-B,1,10,10,2,0.2,0.18181818181818182,4
Random,SUT-B,1,20,20,3,0.15,0.2727272727272727,5
Nearest-Failure-global,SUT-B,1,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,1,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,1,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,1,5,5,0,0.0,0.0,2
DETOUR-within-SUT-static,SUT-B,1,10,10,1,0.1,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,1,20,20,2,0.1,0.6666666666666666,5
Random-within-SUT,SUT-B,1,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,1,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,1,20,20,0,0.0,0.0,1
Nearest-Failure-global-within-SUT,SUT-B,1,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,1,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,1,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,2,5,5,2,0.4,0.18181818181818182,2
DETOUR-static,SUT-B,2,10,10,4,0.4,0.36363636363636365,5
DETOUR-static,SUT-B,2,20,20,4,0.2,0.36363636363636365,8
Random,SUT-B,2,5,5,0,0.0,0.0,0
Random,SUT-B,2,10,10,0,0.0,0.0,0
Random,SUT-B,2,20,20,0,0.0,0.0,0
Nearest-Failure-global,SUT-B,2,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,2,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,2,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,2,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,2,10,10,1,0.1,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,2,20,20,2,0.1,0.6666666666666666,5
Random-within-SUT,SUT-B,2,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,2,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,2,20,20,0,0.0,0.0,2
Nearest-Failure-global-within-SUT,SUT-B,2,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,2,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,2,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,3,5,5,2,0.4,0.18181818181818182,2
DETOUR-static,SUT-B,3,10,10,3,0.3,0.2727272727272727,5
DETOUR-static,SUT-B,3,20,20,4,0.2,0.36363636363636365,8
Random,SUT-B,3,5,5,0,0.0,0.0,1
Random,SUT-B,3,10,10,0,0.0,0.0,1
Random,SUT-B,3,20,20,1,0.05,0.09090909090909091,3
Nearest-Failure-global,SUT-B,3,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,3,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,3,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,3,5,5,1,0.2,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,3,10,10,1,0.1,0.3333333333333333,4
DETOUR-within-SUT-static,SUT-B,3,20,20,1,0.05,0.3333333333333333,4
Random-within-SUT,SUT-B,3,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,3,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,3,20,20,2,0.1,0.6666666666666666,2
Nearest-Failure-global-within-SUT,SUT-B,3,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,3,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,3,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,4,5,5,0,0.0,0.0,2
DETOUR-static,SUT-B,4,10,10,4,0.4,0.36363636363636365,6
DETOUR-static,SUT-B,4,20,20,5,0.25,0.45454545454545453,10
Random,SUT-B,4,5,5,0,0.0,0.0,1
Random,SUT-B,4,10,10,0,0.0,0.0,1
Random,SUT-B,4,20,20,3,0.15,0.2727272727272727,4
Nearest-Failure-global,SUT-B,4,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,4,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,4,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,4,5,5,1,0.2,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,4,10,10,1,0.1,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,4,20,20,2,0.1,0.6666666666666666,5
Random-within-SUT,SUT-B,4,5,5,1,0.2,0.3333333333333333,1
Random-within-SUT,SUT-B,4,10,10,1,0.1,0.3333333333333333,1
Random-within-SUT,SUT-B,4,20,20,2,0.1,0.6666666666666666,2
Nearest-Failure-global-within-SUT,SUT-B,4,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,4,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,4,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,5,5,5,2,0.4,0.18181818181818182,2
DETOUR-static,SUT-B,5,10,10,3,0.3,0.2727272727272727,4
DETOUR-static,SUT-B,5,20,20,5,0.25,0.45454545454545453,8
Random,SUT-B,5,5,5,1,0.2,0.09090909090909091,1
Random,SUT-B,5,10,10,2,0.2,0.18181818181818182,2
Random,SUT-B,5,20,20,2,0.1,0.18181818181818182,3
Nearest-Failure-global,SUT-B,5,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,5,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,5,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,5,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,5,10,10,3,0.3,1.0,5
DETOUR-within-SUT-static,SUT-B,5,20,20,3,0.15,1.0,6
Random-within-SUT,SUT-B,5,5,5,0,0.0,0.0,1
Random-within-SUT,SUT-B,5,10,10,0,0.0,0.0,1
Random-within-SUT,SUT-B,5,20,20,0,0.0,0.0,1
Nearest-Failure-global-within-SUT,SUT-B,5,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,5,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,5,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,6,5,5,1,0.2,0.09090909090909091,1
DETOUR-static,SUT-B,6,10,10,2,0.2,0.18181818181818182,2
DETOUR-static,SUT-B,6,20,20,3,0.15,0.2727272727272727,4
Random,SUT-B,6,5,5,1,0.2,0.09090909090909091,1
Random,SUT-B,6,10,10,1,0.1,0.09090909090909091,3
Random,SUT-B,6,20,20,1,0.05,0.09090909090909091,4
Nearest-Failure-global,SUT-B,6,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,6,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,6,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,6,5,5,1,0.2,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,6,10,10,1,0.1,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,6,20,20,3,0.15,1.0,6
Random-within-SUT,SUT-B,6,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,6,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,6,20,20,1,0.05,0.3333333333333333,2
Nearest-Failure-global-within-SUT,SUT-B,6,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,6,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,6,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,7,5,5,2,0.4,0.18181818181818182,3
DETOUR-static,SUT-B,7,10,10,3,0.3,0.2727272727272727,5
DETOUR-static,SUT-B,7,20,20,5,0.25,0.45454545454545453,10
Random,SUT-B,7,5,5,0,0.0,0.0,0
Random,SUT-B,7,10,10,0,0.0,0.0,0
Random,SUT-B,7,20,20,1,0.05,0.09090909090909091,1
Nearest-Failure-global,SUT-B,7,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,7,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,7,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,7,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,7,10,10,1,0.1,0.3333333333333333,4
DETOUR-within-SUT-static,SUT-B,7,20,20,2,0.1,0.6666666666666666,5
Random-within-SUT,SUT-B,7,5,5,0,0.0,0.0,1
Random-within-SUT,SUT-B,7,10,10,0,0.0,0.0,2
Random-within-SUT,SUT-B,7,20,20,1,0.05,0.3333333333333333,3
Nearest-Failure-global-within-SUT,SUT-B,7,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,7,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,7,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,8,5,5,0,0.0,0.0,2
DETOUR-static,SUT-B,8,10,10,1,0.1,0.09090909090909091,4
DETOUR-static,SUT-B,8,20,20,6,0.3,0.5454545454545454,11
Random,SUT-B,8,5,5,0,0.0,0.0,0
Random,SUT-B,8,10,10,0,0.0,0.0,0
Random,SUT-B,8,20,20,1,0.05,0.09090909090909091,2
Nearest-Failure-global,SUT-B,8,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,8,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,8,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,8,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,8,10,10,3,0.3,1.0,5
DETOUR-within-SUT-static,SUT-B,8,20,20,3,0.15,1.0,7
Random-within-SUT,SUT-B,8,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,8,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,8,20,20,0,0.0,0.0,1
Nearest-Failure-global-within-SUT,SUT-B,8,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,8,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,8,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,9,5,5,0,0.0,0.0,1
DETOUR-static,SUT-B,9,10,10,1,0.1,0.09090909090909091,4
DETOUR-static,SUT-B,9,20,20,6,0.3,0.5454545454545454,11
Random,SUT-B,9,5,5,0,0.0,0.0,1
Random,SUT-B,9,10,10,0,0.0,0.0,1
Random,SUT-B,9,20,20,1,0.05,0.09090909090909091,3
Nearest-Failure-global,SUT-B,9,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,9,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,9,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,9,5,5,2,0.4,0.6666666666666666,3
DETOUR-within-SUT-static,SUT-B,9,10,10,2,0.2,0.6666666666666666,4
DETOUR-within-SUT-static,SUT-B,9,20,20,3,0.15,1.0,6
Random-within-SUT,SUT-B,9,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,9,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,9,20,20,0,0.0,0.0,1
Nearest-Failure-global-within-SUT,SUT-B,9,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,9,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,9,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,10,5,5,2,0.4,0.18181818181818182,4
DETOUR-static,SUT-B,10,10,10,4,0.4,0.36363636363636365,7
DETOUR-static,SUT-B,10,20,20,7,0.35,0.6363636363636364,12
Random,SUT-B,10,5,5,1,0.2,0.09090909090909091,1
Random,SUT-B,10,10,10,1,0.1,0.09090909090909091,2
Random,SUT-B,10,20,20,1,0.05,0.09090909090909091,3
Nearest-Failure-global,SUT-B,10,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,10,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,10,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,10,5,5,2,0.4,0.6666666666666666,3
DETOUR-within-SUT-static,SUT-B,10,10,10,2,0.2,0.6666666666666666,4
DETOUR-within-SUT-static,SUT-B,10,20,20,3,0.15,1.0,7
Random-within-SUT,SUT-B,10,5,5,0,0.0,0.0,1
Random-within-SUT,SUT-B,10,10,10,1,0.1,0.3333333333333333,2
Random-within-SUT,SUT-B,10,20,20,2,0.1,0.6666666666666666,4
Nearest-Failure-global-within-SUT,SUT-B,10,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,10,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,10,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,11,5,5,1,0.2,0.09090909090909091,2
DETOUR-static,SUT-B,11,10,10,1,0.1,0.09090909090909091,3
DETOUR-static,SUT-B,11,20,20,3,0.15,0.2727272727272727,8
Random,SUT-B,11,5,5,2,0.4,0.18181818181818182,3
Random,SUT-B,11,10,10,2,0.2,0.18181818181818182,4
Random,SUT-B,11,20,20,2,0.1,0.18181818181818182,4
Nearest-Failure-global,SUT-B,11,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,11,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,11,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,11,5,5,1,0.2,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,11,10,10,1,0.1,0.3333333333333333,4
DETOUR-within-SUT-static,SUT-B,11,20,20,3,0.15,1.0,7
Random-within-SUT,SUT-B,11,5,5,0,0.0,0.0,1
Random-within-SUT,SUT-B,11,10,10,1,0.1,0.3333333333333333,2
Random-within-SUT,SUT-B,11,20,20,2,0.1,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,11,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,11,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,11,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,12,5,5,1,0.2,0.09090909090909091,2
DETOUR-static,SUT-B,12,10,10,3,0.3,0.2727272727272727,7
DETOUR-static,SUT-B,12,20,20,5,0.25,0.45454545454545453,11
Random,SUT-B,12,5,5,0,0.0,0.0,0
Random,SUT-B,12,10,10,1,0.1,0.09090909090909091,1
Random,SUT-B,12,20,20,1,0.05,0.09090909090909091,1
Nearest-Failure-global,SUT-B,12,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,12,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,12,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,12,5,5,0,0.0,0.0,3
DETOUR-within-SUT-static,SUT-B,12,10,10,1,0.1,0.3333333333333333,4
DETOUR-within-SUT-static,SUT-B,12,20,20,2,0.1,0.6666666666666666,5
Random-within-SUT,SUT-B,12,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,12,10,10,1,0.1,0.3333333333333333,1
Random-within-SUT,SUT-B,12,20,20,1,0.05,0.3333333333333333,1
Nearest-Failure-global-within-SUT,SUT-B,12,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,12,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,12,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,13,5,5,0,0.0,0.0,2
DETOUR-static,SUT-B,13,10,10,0,0.0,0.0,4
DETOUR-static,SUT-B,13,20,20,3,0.15,0.2727272727272727,9
Random,SUT-B,13,5,5,0,0.0,0.0,0
Random,SUT-B,13,10,10,0,0.0,0.0,1
Random,SUT-B,13,20,20,1,0.05,0.09090909090909091,3
Nearest-Failure-global,SUT-B,13,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,13,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,13,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,13,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,13,10,10,1,0.1,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,13,20,20,1,0.05,0.3333333333333333,3
Random-within-SUT,SUT-B,13,5,5,1,0.2,0.3333333333333333,2
Random-within-SUT,SUT-B,13,10,10,1,0.1,0.3333333333333333,3
Random-within-SUT,SUT-B,13,20,20,1,0.05,0.3333333333333333,3
Nearest-Failure-global-within-SUT,SUT-B,13,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,13,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,13,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,14,5,5,1,0.2,0.09090909090909091,2
DETOUR-static,SUT-B,14,10,10,4,0.4,0.36363636363636365,5
DETOUR-static,SUT-B,14,20,20,5,0.25,0.45454545454545453,9
Random,SUT-B,14,5,5,0,0.0,0.0,0
Random,SUT-B,14,10,10,0,0.0,0.0,0
Random,SUT-B,14,20,20,0,0.0,0.0,1
Nearest-Failure-global,SUT-B,14,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,14,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,14,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,14,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,14,10,10,1,0.1,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,14,20,20,3,0.15,1.0,6
Random-within-SUT,SUT-B,14,5,5,0,0.0,0.0,2
Random-within-SUT,SUT-B,14,10,10,0,0.0,0.0,3
Random-within-SUT,SUT-B,14,20,20,1,0.05,0.3333333333333333,4
Nearest-Failure-global-within-SUT,SUT-B,14,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,14,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,14,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,15,5,5,2,0.4,0.18181818181818182,3
DETOUR-static,SUT-B,15,10,10,2,0.2,0.18181818181818182,5
DETOUR-static,SUT-B,15,20,20,4,0.2,0.36363636363636365,9
Random,SUT-B,15,5,5,0,0.0,0.0,1
Random,SUT-B,15,10,10,1,0.1,0.09090909090909091,2
Random,SUT-B,15,20,20,1,0.05,0.09090909090909091,3
Nearest-Failure-global,SUT-B,15,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,15,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,15,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,15,5,5,0,0.0,0.0,1
DETOUR-within-SUT-static,SUT-B,15,10,10,1,0.1,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,15,20,20,2,0.1,0.6666666666666666,5
Random-within-SUT,SUT-B,15,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,15,10,10,0,0.0,0.0,1
Random-within-SUT,SUT-B,15,20,20,0,0.0,0.0,3
Nearest-Failure-global-within-SUT,SUT-B,15,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,15,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,15,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,16,5,5,1,0.2,0.09090909090909091,2
DETOUR-static,SUT-B,16,10,10,3,0.3,0.2727272727272727,5
DETOUR-static,SUT-B,16,20,20,6,0.3,0.5454545454545454,11
Random,SUT-B,16,5,5,1,0.2,0.09090909090909091,1
Random,SUT-B,16,10,10,1,0.1,0.09090909090909091,2
Random,SUT-B,16,20,20,2,0.1,0.18181818181818182,6
Nearest-Failure-global,SUT-B,16,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,16,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,16,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,16,5,5,1,0.2,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,16,10,10,1,0.1,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,16,20,20,3,0.15,1.0,5
Random-within-SUT,SUT-B,16,5,5,0,0.0,0.0,1
Random-within-SUT,SUT-B,16,10,10,0,0.0,0.0,1
Random-within-SUT,SUT-B,16,20,20,0,0.0,0.0,2
Nearest-Failure-global-within-SUT,SUT-B,16,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,16,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,16,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,17,5,5,1,0.2,0.09090909090909091,1
DETOUR-static,SUT-B,17,10,10,3,0.3,0.2727272727272727,4
DETOUR-static,SUT-B,17,20,20,4,0.2,0.36363636363636365,7
Random,SUT-B,17,5,5,0,0.0,0.0,1
Random,SUT-B,17,10,10,0,0.0,0.0,1
Random,SUT-B,17,20,20,0,0.0,0.0,1
Nearest-Failure-global,SUT-B,17,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,17,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,17,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,17,5,5,1,0.2,0.3333333333333333,3
DETOUR-within-SUT-static,SUT-B,17,10,10,2,0.2,0.6666666666666666,4
DETOUR-within-SUT-static,SUT-B,17,20,20,3,0.15,1.0,6
Random-within-SUT,SUT-B,17,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,17,10,10,0,0.0,0.0,1
Random-within-SUT,SUT-B,17,20,20,0,0.0,0.0,1
Nearest-Failure-global-within-SUT,SUT-B,17,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,17,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,17,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,18,5,5,1,0.2,0.09090909090909091,2
DETOUR-static,SUT-B,18,10,10,1,0.1,0.09090909090909091,3
DETOUR-static,SUT-B,18,20,20,4,0.2,0.36363636363636365,7
Random,SUT-B,18,5,5,0,0.0,0.0,1
Random,SUT-B,18,10,10,0,0.0,0.0,2
Random,SUT-B,18,20,20,0,0.0,0.0,2
Nearest-Failure-global,SUT-B,18,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,18,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,18,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,18,5,5,1,0.2,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,18,10,10,2,0.2,0.6666666666666666,4
DETOUR-within-SUT-static,SUT-B,18,20,20,2,0.1,0.6666666666666666,5
Random-within-SUT,SUT-B,18,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,18,10,10,0,0.0,0.0,0
Random-within-SUT,SUT-B,18,20,20,1,0.05,0.3333333333333333,1
Nearest-Failure-global-within-SUT,SUT-B,18,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,18,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,18,20,20,3,0.15,1.0,7
DETOUR-static,SUT-B,19,5,5,2,0.4,0.18181818181818182,4
DETOUR-static,SUT-B,19,10,10,2,0.2,0.18181818181818182,5
DETOUR-static,SUT-B,19,20,20,3,0.15,0.2727272727272727,7
Random,SUT-B,19,5,5,0,0.0,0.0,0
Random,SUT-B,19,10,10,0,0.0,0.0,1
Random,SUT-B,19,20,20,1,0.05,0.09090909090909091,2
Nearest-Failure-global,SUT-B,19,5,5,1,0.2,0.09090909090909091,1
Nearest-Failure-global,SUT-B,19,10,10,2,0.2,0.18181818181818182,4
Nearest-Failure-global,SUT-B,19,20,20,5,0.25,0.45454545454545453,9
DETOUR-within-SUT-static,SUT-B,19,5,5,0,0.0,0.0,1
DETOUR-within-SUT-static,SUT-B,19,10,10,1,0.1,0.3333333333333333,2
DETOUR-within-SUT-static,SUT-B,19,20,20,3,0.15,1.0,5
Random-within-SUT,SUT-B,19,5,5,0,0.0,0.0,0
Random-within-SUT,SUT-B,19,10,10,0,0.0,0.0,1
Random-within-SUT,SUT-B,19,20,20,1,0.05,0.3333333333333333,3
Nearest-Failure-global-within-SUT,SUT-B,19,5,5,2,0.4,0.6666666666666666,3
Nearest-Failure-global-within-SUT,SUT-B,19,10,10,3,0.3,1.0,5
Nearest-Failure-global-within-SUT,SUT-B,19,20,20,3,0.15,1.0,7
DETOUR-static,SUT-C,0,5,5,1,0.2,0.021739130434782608,3
DETOUR-static,SUT-C,0,10,10,5,0.5,0.10869565217391304,8
DETOUR-static,SUT-C,0,20,20,14,0.7,0.30434782608695654,18
Random,SUT-C,0,5,5,3,0.6,0.06521739130434782,3
Random,SUT-C,0,10,10,4,0.4,0.08695652173913043,4
Random,SUT-C,0,20,20,7,0.35,0.15217391304347827,7
Nearest-Failure-global,SUT-C,0,5,5,3,0.6,0.06521739130434782,3
Nearest-Failure-global,SUT-C,0,10,10,6,0.6,0.13043478260869565,7
Nearest-Failure-global,SUT-C,0,20,20,13,0.65,0.2826086956521739,15
DETOUR-within-SUT-static,SUT-C,0,5,5,4,0.8,0.15384615384615385,4
DETOUR-within-SUT-static,SUT-C,0,10,10,8,0.8,0.3076923076923077,8
DETOUR-within-SUT-static,SUT-C,0,20,20,13,0.65,0.5,16
Random-within-SUT,SUT-C,0,5,5,1,0.2,0.038461538461538464,2
Random-within-SUT,SUT-C,0,10,10,1,0.1,0.038461538461538464,2
Random-within-SUT,SUT-C,0,20,20,2,0.1,0.07692307692307693,3
Nearest-Failure-global-within-SUT,SUT-C,0,5,5,4,0.8,0.15384615384615385,5
Nearest-Failure-global-within-SUT,SUT-C,0,10,10,9,0.9,0.34615384615384615,10
Nearest-Failure-global-within-SUT,SUT-C,0,20,20,17,0.85,0.6538461538461539,18
DETOUR-static,SUT-C,1,5,5,4,0.8,0.08695652173913043,5
DETOUR-static,SUT-C,1,10,10,9,0.9,0.1956521739130435,10
DETOUR-static,SUT-C,1,20,20,16,0.8,0.34782608695652173,18
Random,SUT-C,1,5,5,3,0.6,0.06521739130434782,4
Random,SUT-C,1,10,10,5,0.5,0.10869565217391304,6
Random,SUT-C,1,20,20,8,0.4,0.17391304347826086,9
