seed,target_profile,method_variant,alpha_0,alpha_1,alpha_2
20260915,SUT-C,Uniform-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260915,SUT-C,Uniform-QP-H,0.5702298290774676,0.3939279341605305,0.03584223676200192
20260915,SUT-C,AdaTE-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260915,SUT-C,AdaTE-QP-H,0.16449460187505932,0.0,0.8355053981249407
20260915,SUT-E,Uniform-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260915,SUT-E,Uniform-QP-H,0.42079219089915954,0.24935590442709493,0.3298519046737456
20260915,SUT-E,AdaTE-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260915,SUT-E,AdaTE-QP-H,0.5447262576645212,0.054190948723008156,0.4010827936124706
20260915,SUT-F,Uniform-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260915,SUT-F,Uniform-QP-H,0.5103638579279918,0.3548450596126025,0.13479108245940583
20260915,SUT-F,AdaTE-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260915,SUT-F,AdaTE-QP-H,0.24575633700454716,0.502392839618385,0.2518508233770678
20260916,SUT-C,Uniform-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260916,SUT-C,Uniform-QP-H,0.5120423530006867,0.23413560082734097,0.25382204617197246
20260916,SUT-C,AdaTE-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260916,SUT-C,AdaTE-QP-H,0.3364475654460726,0.3559406040662317,0.3076118304876956
20260916,SUT-E,Uniform-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260916,SUT-E,Uniform-QP-H,0.40730262350556634,0.13904733257357993,0.4536500439208537
20260916,SUT-E,AdaTE-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260916,SUT-E,AdaTE-QP-H,0.17726013750446637,0.4468877647588553,0.37585209773667844
20260916,SUT-F,Uniform-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260916,SUT-F,Uniform-QP-H,0.40745205497974835,0.24932088977686923,0.3432270552433825
20260916,SUT-F,AdaTE-Equal-H,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260916,SUT-F,AdaTE-QP-H,0.29221182092020176,0.5094113228785005,0.19837685620129758
