seed,target_profile,strategy,case_dir,estimate,variance,ci95_half_width,relative_half_width,mean_weight,max_weight,ess,events
20260915,SUT-C,AdaTE-QP-H,seed_20260915\target_SUT-C,0.3141857644810448,0.5212586481410827,0.10212500567877339,0.32504657188226843,0.935314031547413,5.72543710269115,135.74040165638513,72
20260915,SUT-C,Equal-Mixture-H,seed_20260915\target_SUT-C,0.4129266638964119,0.9028061448532169,0.13440106503151222,0.3254841035531396,1.022301663896412,10.597927254207136,119.58333285284561,75
20260915,SUT-C,NDE-phi-H,seed_20260915\target_SUT-C,0.390625,0.23928337696335078,0.06919293003919098,0.1771339009003289,1.0,1.0,192.0,75
20260915,SUT-C,Single-SM-0,seed_20260915\target_SUT-C,0.4073168346046557,4.663084962976772,0.305451400882192,0.7499110641441205,1.037525167937989,29.447713990825747,38.02820980698918,71
20260915,SUT-C,Single-SM-1,seed_20260915\target_SUT-C,0.33770886713853693,0.22206496681403015,0.06665695670873911,0.1973799422962581,0.931458867138537,1.5325076318689759,179.37028588060184,78
20260915,SUT-C,Single-SM-2,seed_20260915\target_SUT-C,0.2533818254100337,0.21307599291973064,0.06529391619185469,0.2576898168848266,0.8835901587433671,3.0685965094815866,165.38424618438086,71
20260915,SUT-C,Uniform-QP-H,seed_20260915\target_SUT-C,0.32992982536411836,0.22175728293388244,0.06661076216374821,0.2018937272198262,0.9028464920307852,1.8972084348690061,173.43755125611438,82
20260915,SUT-E,AdaTE-QP-H,seed_20260915\target_SUT-E,0.19546463655399327,0.6633210528504067,0.11520394408373591,0.5893850985772205,0.9664282843402766,10.086036658436662,120.58072944971535,41
20260915,SUT-E,Equal-Mixture-H,seed_20260915\target_SUT-E,0.36868991063124024,1.2841541343951424,0.16029280698882326,0.43476320443481414,1.0638568703178362,11.434721545369916,102.48606536355696,56
20260915,SUT-E,NDE-phi-H,seed_20260915\target_SUT-E,0.2604166666666667,0.19360820244328092,0.06223967746183012,0.23900036145342765,1.0,1.0,192.0,50
20260915,SUT-E,Single-SM-0,seed_20260915\target_SUT-E,0.1609245900514963,0.17191123596088803,0.05864859173800142,0.36444766905563475,0.8740545332497757,3.1531986006213817,159.92735366510732,50
20260915,SUT-E,Single-SM-1,seed_20260915\target_SUT-E,0.520004677081646,18.946205414753692,0.6156963483245591,1.184020789543569,1.2543796770816462,60.252262912389064,15.217673489909147,51
20260915,SUT-E,Single-SM-2,seed_20260915\target_SUT-E,0.1463941729722326,0.12645099547213942,0.05029983765121305,0.34359180170889525,0.8904729330659826,3.0685965094815866,165.3973179013978,48
