model,pearson_mean,brier_mean,auprc_mean,top3_hit_rate_mean
RBF-Filter-H,0.7614244153628963,0.10653506163261843,0.8870371295371294,1.0
MLP-SEM-H,0.6034931670389152,0.143775734857404,0.7883161860212944,1.0
RandomForest-Filter-H,0.8128414036554225,0.077623791783678,0.93012506012506,1.0
Graph-SEM-H,0.7822353816716174,0.09552896511459762,0.9031045035211701,1.0
