repeat,random_seed,protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
0,20260917,paper_nm,RMS-H,SUT-A,20,3,4,3,False,0,0,24,24,24,0,0,0.0,124.80000000000001,2.456794900004752,0.0009571999835316092,1.5999976312741637e-06,1.4423076923076923,2.559489300008863
0,20260917,paper_nm,2SMS-H,SUT-A,20,1,1,11,False,0,0,21,21,21,0,0,0.0,136.20000000000002,2.6443705999554368,0.0009285999840358272,1.6999838408082724e-06,0.4405286343612334,2.744183899994823
0,20260917,paper_nm,RMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,462,0,0.0,34.400000000000006,0.7684508000093047,0.029700399973080494,0.2727166999829933,34.88372093023255,1.2024620000011055
0,20260917,paper_nm,2SMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,447,0,0.0,33.20000000000001,0.7460810000193305,0.031739700032630935,0.27223909996973816,36.14457831325301,1.1840207999921404
0,20260917,matched_nm100,RMS-H,SUT-A,20,3,4,2,False,0,0,800,800,800,0,0,0.0,123.80000000000003,2.451587000003201,0.012304500007303432,1.2600008631125093e-05,1.4539579967689817,2.5732557000010274
0,20260917,matched_nm100,2SMS-H,SUT-A,20,4,5,3,False,0,0,800,800,800,0,0,0.0,120.80000000000003,2.420423199990182,0.013370899992878549,2.00001522898674e-06,1.986754966887417,2.5457804999896325
0,20260917,matched_nm100,RMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,407,0,0.0,35.20000000000001,0.7679448999697343,0.030066599982092157,0.2674555999983568,34.090909090909086,1.1976116000005277
0,20260917,matched_nm100,2SMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,411,0,0.0,34.40000000000001,0.7672139999922365,0.030511200035107322,0.2790996999392519,34.88372093023254,1.20765460000257
1,20260918,paper_nm,RMS-H,SUT-A,20,3,3,8,False,0,0,24,24,24,0,0,0.0,126.00000000000001,2.6408302999770967,0.0009807000024011359,2.00001522898674e-06,1.4285714285714286,2.759313300004578
1,20260918,paper_nm,2SMS-H,SUT-A,20,4,4,1,False,0,0,27,27,27,0,0,0.0,118.60000000000001,2.51036560004286,0.0012593999999808148,2.3999891709536314e-06,2.0236087689713322,2.6191669999971054
1,20260918,paper_nm,RMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,433,0,0.0,34.0,0.8814119000453502,0.03843780001625419,0.31070949997229036,35.294117647058826,1.3818376999988686
1,20260918,paper_nm,2SMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,404,0,0.0,34.800000000000004,0.8238759000232676,0.033947400050237775,0.2913723999954527,34.48275862068965,1.288312099990435
1,20260918,matched_nm100,RMS-H,SUT-A,20,7,8,1,False,0,0,1000,1000,1000,0,0,0.0,105.40000000000002,2.54752560002089,0.022826900065410882,1.4199991710484028e-05,3.98481973434535,2.703206299993326
1,20260918,matched_nm100,2SMS-H,SUT-A,20,3,4,1,False,0,0,800,800,800,0,0,0.0,126.60000000000004,2.6250318000093102,0.017999999967287295,2.00001522898674e-06,1.4218009478672982,2.756412000002456
1,20260918,matched_nm100,RMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,415,0,0.0,35.00000000000001,0.8153544999368023,0.032463400013512,0.2873587999638403,34.28571428571428,1.275011000005179
1,20260918,matched_nm100,2SMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,436,0,0.0,34.6,0.8017204999778187,0.03202439998858608,0.2832522999960929,34.68208092485549,1.254162900004303
2,20260919,paper_nm,RMS-H,SUT-A,20,3,3,5,False,0,0,24,24,24,0,0,0.0,122.60000000000001,2.512071900011506,0.0010370000236434862,1.8999999156221747e-06,1.468189233278956,2.6232928999961587
2,20260919,paper_nm,2SMS-H,SUT-A,20,2,2,10,False,0,0,24,24,24,0,0,0.0,129.60000000000002,2.669755399998394,0.0010492000437807292,1.700012944638729e-06,0.9259259259259257,2.7796698000020115
2,20260919,paper_nm,RMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,439,0,0.0,34.400000000000006,0.7819573000015225,0.02956249995622784,0.2804494999727467,34.88372093023255,1.2276033999951323
2,20260919,paper_nm,2SMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,434,0,0.0,34.000000000000014,0.7923114000732312,0.03482259997690562,0.28895139998348895,35.29411764705881,1.2556526999978814
2,20260919,matched_nm100,RMS-H,SUT-A,20,3,3,9,False,0,0,800,800,800,0,0,0.0,124.80000000000001,2.5824743999692146,0.012276300025405362,1.2999997125007212e-05,1.4423076923076923,2.7110705000086455
2,20260919,matched_nm100,2SMS-H,SUT-A,20,4,4,3,False,0,0,800,800,800,0,0,0.0,120.20000000000002,2.5003977000014856,0.012665999995078892,1.9999861251562834e-06,1.9966722129783694,2.6295927000028314
2,20260919,matched_nm100,RMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,452,0,0.0,34.60000000000001,0.7845152000081725,0.03130169998621568,0.2875085999548901,34.682080924855484,1.2415136999916285
2,20260919,matched_nm100,2SMS+SEM-H,SUT-A,20,20,20,1,False,0,0,2000,2000,2000,430,0,0.0,32.800000000000004,0.7601619999768445,0.03430030001618434,0.28629789999104105,36.58536585365853,1.2155653000081657
