build,seed,index,mode,ego_collision,background_collision,near_miss,completed,min_ttc,min_clearance
vi_ttc,20291118,256,slow_lead_following,False,False,False,True,8.673969549365195,1.9978813841535166
vi_ttc,20291118,257,slow_lead_following,False,False,False,True,3.0989220063375713,1.7174917727626342
vi_ttc,20291118,258,slow_lead_following,False,False,False,True,inf,2.0031530573228906
vi_ttc,20291118,259,slow_lead_following,False,False,False,True,2.637524789698551,1.9367728869518819
vi_ttc,20291118,260,slow_lead_following,False,False,False,True,inf,10.15186656682053
vi_ttc,20291118,261,slow_lead_following,False,False,True,True,0.9379816113366325,1.2250071736303596
vi_ttc,20291118,262,slow_lead_following,False,False,False,True,inf,1.6122576029808258
vi_ttc,20291118,263,slow_lead_following,False,False,False,True,2.9778715270084,1.9669829069957974
vi_ttc,20291118,264,slow_lead_following,False,False,False,True,22.861578891655203,2.0000000050844715
vi_ttc,20291118,265,slow_lead_following,True,True,False,False,0.7668229904459957,0.0
vi_ttc,20291118,266,slow_lead_following,False,False,False,True,12.218851321681592,1.9903563626136858
vi_ttc,20291118,267,slow_lead_following,False,False,False,True,11.74018073955078,1.9931865499335863
vi_ttc,20291118,268,slow_lead_following,False,False,False,True,inf,2.0000000050529874
vi_ttc,20291118,269,slow_lead_following,False,False,False,True,1.8062082922645253,1.585713904479107
vi_ttc,20291118,270,slow_lead_following,False,False,False,True,inf,2.3533398410724473
vi_ttc,20291118,271,slow_lead_following,False,False,False,True,1.7880108214325474,1.8592269689589611
vi_reference,20291118,0,fast_intrusion,True,True,False,False,1.0682657690380355,0.0
vi_reference,20291118,1,fast_intrusion,False,False,False,True,inf,14.413044510153433
vi_reference,20291118,2,fast_intrusion,False,False,True,True,1.2985704672442178,1.6775703886569564
vi_reference,20291118,3,fast_intrusion,False,False,False,True,2.6068974297901457,1.873168191782124
vi_reference,20291118,4,fast_intrusion,True,True,False,False,0.29590574667142017,0.020547712076861454
vi_reference,20291118,5,fast_intrusion,False,False,False,True,26.464706765879587,3.150632385296531
vi_reference,20291118,6,fast_intrusion,False,False,False,True,1.8047918615523082,1.8974918531866676
vi_reference,20291118,7,fast_intrusion,True,True,False,False,inf,0.0068363180571344336
vi_reference,20291118,8,fast_intrusion,True,True,False,False,inf,0.0
vi_reference,20291118,9,fast_intrusion,False,False,False,True,4.185843176089119,1.9994983971530476
vi_reference,20291118,10,fast_intrusion,False,False,True,True,1.2741357654799137,1.4249326859152773
