task_id,target_build,method,repeat,budget,effective_horizon,candidate_count,actual_queries,valid_results,failure_detected,first_failure_rank,failure_count,failure_pool_count,failure_recall,early_failure_recall_auc_20
legacy_regression_seed4179801_merge_blind06,merge_blind06,HistoryRank-UCB-v2,0,10,20,104,10,10,True,1,6,7,0.8571428571428571,0.48571428571428565
legacy_regression_seed4179801_merge_blind06,merge_blind06,HistoryRank-UCB-v2,0,20,20,104,20,20,True,1,7,7,1.0,0.7357142857142858
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,5,20,104,5,5,True,5,1,7,0.14285714285714285,0.02857142857142857
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,10,20,104,10,10,True,5,1,7,0.14285714285714285,0.0857142857142857
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,20,20,104,20,20,True,5,3,7,0.42857142857142855,0.2214285714285714
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,5,20,104,5,5,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,10,20,104,10,10,True,9,1,7,0.14285714285714285,0.02857142857142857
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,20,20,104,20,20,True,9,4,7,0.5714285714285714,0.20714285714285713
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,5,20,104,5,5,True,4,1,7,0.14285714285714285,0.05714285714285714
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,10,20,104,10,10,True,4,3,7,0.42857142857142855,0.21428571428571427
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,20,20,104,20,20,True,4,5,7,0.7142857142857143,0.3857142857142857
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,1,20,104,1,1,True,1,1,4,0.25,0.25
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,5,20,104,5,5,True,1,1,4,0.25,0.25
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,10,20,104,10,10,True,1,1,4,0.25,0.25
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,20,20,104,20,20,True,1,1,4,0.25,0.25
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,10,20,104,10,10,False,,0,4,0.0,0.0
