family,seed,target,method,new_failures,ego_collisions,cvs,static_queries,adaptive_queries,queried_indices
IDM,20300109,idm_delay07,EvidenceGate,26,19,12.5,50,0,10;97;157;200;257;2;82;165;232;273;24;105;173;248;293;43;109;133;254;289;39;98;131;208;265;19;67;141;196;309;54;117;181;210;281;57;93;179;229;297;28;113;188;226;286;42;78;175;224;312
IDM,20300109,idm_brake3,EvidenceGate,16,14,11.0,43,7,10;97;157;200;257;2;82;165;232;273;24;105;173;248;293;43;133;131;109;254;98;289;39;208;265;141;19;67;117;196;309;210;54;93;181;281;57;179;229;297;28;113;188;226;286;42;78;175;224;312
IDM,20300109,idm_delay07_brake3,EvidenceGate,43,42,19.5,50,0,10;97;157;200;257;2;82;165;232;273;24;105;173;248;293;43;109;133;254;289;39;98;131;208;265;19;67;141;196;309;54;117;181;210;281;57;93;179;229;297;28;113;188;226;286;42;78;175;224;312
IDM,20300123,idm_delay07,EvidenceGate,31,23,15.0,46,4,4;118;131;237;298;27;92;177;221;266;41;110;160;209;314;42;65;169;199;290;53;87;141;235;277;274;282;302;12;106;147;205;38;102;145;245;16;91;181;197;26;115;143;220;258;8;107;150;219;293
IDM,20300123,idm_brake3,EvidenceGate,24,20,12.5,47,3,4;118;131;237;298;27;92;177;221;266;41;110;160;209;314;42;65;169;199;290;53;87;141;235;277;12;106;147;274;282;205;38;102;145;245;16;91;181;302;197;26;115;143;220;258;8;107;150;219;293
IDM,20300123,idm_delay07_brake3,EvidenceGate,44,40,20.5,50,0,4;118;131;237;298;27;92;177;221;266;41;110;160;209;314;42;65;169;199;290;53;87;141;235;277;12;106;147;205;274;38;102;145;245;282;16;91;181;197;302;26;115;143;220;258;8;107;150;219;293
IDM,20300206,idm_delay07,EvidenceGate,32,26,16.0,46,4,23;112;139;194;286;61;120;147;200;302;46;78;129;226;318;51;74;131;234;270;31;82;167;254;294;20;66;171;221;289;27;69;135;210;262;6;124;160;247;314;266;42;107;86;177;218;1;155;273;222
IDM,20300206,idm_brake3,EvidenceGate,17,12,11.0,44,6,23;112;139;194;286;61;120;147;200;302;46;78;129;226;318;51;74;82;66;131;234;270;31;167;254;294;20;171;221;289;27;69;124;107;135;210;262;6;160;247;86;314;42;177;218;266;1;155;222;273
IDM,20300206,idm_delay07_brake3,EvidenceGate,47,42,22.5,50,0,23;112;139;194;286;61;120;147;200;302;46;78;129;226;318;51;74;131;234;270;31;82;167;254;294;20;66;171;221;289;27;69;135;210;262;6;124;160;247;314;42;107;177;218;266;1;86;155;222;273
FVDM,20301205,fvdm_delay05,EvidenceGate,20,12,8.5,40,10,39;86;135;219;288;1;125;134;203;256;54;101;264;272;31;47;62;304;5;312;163;236;75;155;234;20;113;154;254;77;147;252;67;284;180;224;121;191;231;319;28;112;182;195;300;35;93;170;249;311
FVDM,20301205,fvdm_brake3,EvidenceGate,24,15,11.5,40,10,39;86;135;219;288;1;125;134;203;256;54;101;163;236;264;31;75;155;234;272;47;62;304;5;113;77;154;254;147;252;312;67;180;224;20;284;121;191;231;112;319;28;182;195;300;93;35;170;249;311
FVDM,20301205,fvdm_delay05_brake3,EvidenceGate,40,28,20.0,50,0,39;86;135;219;288;1;125;134;203;256;54;101;163;236;264;31;75;155;234;272;47;113;154;254;304;62;77;147;252;312;5;67;180;224;284;20;121;191;231;319;28;112;182;195;300;35;93;170;249;311
FVDM,20301219,fvdm_delay05,EvidenceGate,10,6,6.0,48,2,62;122;187;252;266;12;72;150;227;258;57;76;175;214;54;290;110;174;213;302;95;20;164;233;298;32;80;138;240;274;13;116;155;230;261;9;70;159;250;282;24;68;131;203;309;50;75;182;228;286
FVDM,20301219,fvdm_brake3,EvidenceGate,27,10,12.5,27,23,62;122;187;252;266;12;72;150;227;258;57;76;175;214;290;54;110;174;213;302;95;80;116;70;68;164;138;20;233;75;155;298;121;240;230;32;274;159;118;102;64;126;94;250;203;228;13;131;261;71
FVDM,20301219,fvdm_delay05_brake3,EvidenceGate,41,27,21.5,50,0,62;122;187;252;266;12;72;150;227;258;57;76;175;214;290;54;110;174;213;302;20;95;164;233;298;32;80;138;240;274;13;116;155;230;261;9;70;159;250;282;24;68;131;203;309;50;75;182;228;286
FVDM,20310109,fvdm_delay05,EvidenceGate,18,10,9.0,32,18,46;109;128;233;307;7;66;160;221;291;15;31;54;267;93;38;145;16;247;121;105;81;113;89;88;97;83;153;101;104;220;19;275;163;203;69;299;172;239;306;142;195;314;186;218;271;23;161;215;319
FVDM,20310109,fvdm_brake3,EvidenceGate,25,15,13.0,27,23,46;109;128;233;307;7;66;160;221;291;15;93;145;121;105;81;113;89;88;247;267;97;31;83;54;101;153;220;203;239;195;218;104;215;275;69;38;163;253;299;82;80;172;306;16;142;314;19;186;271
FVDM,20310109,fvdm_delay05_brake3,EvidenceGate,42,35,21.5,50,0,46;109;128;233;307;7;66;160;221;291;15;93;145;247;267;31;121;153;220;275;54;105;163;203;299;38;81;172;239;306;16;113;142;195;314;19;89;186;218;271;23;88;161;215;319;34;97;155;253;283
