#{"t_start": 1784480289.034111, "env_id": "None"}
r,l,t
-4.369856,18,1.345466
-4.849234,11,1.374651
-5.779651,180,1.663248
-4.904401,9,1.689854
-5.779427,180,1.923504
-3.365608,21,1.960644
-1.671227,26,2.002628
-3.23933,17,2.033824
-5.047935,10,2.057405
-5.364854,24,2.1068
1.773312,16,2.138595
-3.752988,20,2.18248
-5.295421,15,2.219481
-1.008156,16,2.249114
-6.317146,180,2.476026
-1.973278,9,2.496998
-5.208291,14,2.524739
-5.441199,180,2.754232
-1.645275,23,2.802686
-4.417403,13,2.828979
-8.538767,130,3.042176
-5.963566,180,3.27282
-4.977386,11,3.29706
-4.804788,35,3.352989
-5.115589,14,3.385235
-0.393206,16,3.424313
-5.100123,18,3.466101
-5.601376,180,3.761569
-5.19325,11,3.791291
-5.120787,12,3.820992
-5.248022,12,3.850694
-4.97173,14,3.877806
-5.260646,14,3.911682
-5.088544,12,3.934795
-1.406412,14,3.962123
-5.180462,11,3.991318
-3.86964,9,4.011891
-4.899065,180,4.23833
-5.21682,180,4.464734
-5.803927,180,4.697134
-5.28299,16,4.733359
-3.232169,14,4.761647
-4.975004,33,4.82699
-5.012321,10,4.854218
-5.293294,180,5.141827
-5.443757,180,5.432555
-5.184363,17,5.463829
-5.010053,33,5.516223
-4.509856,16,5.548395
-5.289974,13,5.582634
-5.550501,32,5.646215
-3.880819,11,5.675854
-5.044315,10,5.703013
-5.317738,17,5.733822
-3.742993,14,5.761502
-5.197549,18,5.804493
-5.105703,12,5.83734
-6.141333,180,6.126907
-4.809224,12,6.151532
-4.841865,180,6.444859
-5.025381,9,6.470014
-2.286916,13,6.502695
-4.938449,12,6.527894
-5.832353,180,6.752309
-4.424015,11,6.777017
-5.130868,9,6.802378
-5.795132,180,7.089249
-5.14267,180,7.315847
-5.260538,13,7.347722
-4.025393,22,7.38601
-4.966368,12,7.411399
-5.235024,11,7.434109
-5.027957,11,7.458241
-2.20371,9,7.484939
-5.313298,180,7.782427
-5.484823,180,8.022411
-4.949146,9,8.042556
-5.231206,16,8.076723
-4.981808,180,8.390493
-4.604745,180,8.683356
-3.776025,180,8.927785
-5.077495,23,8.980507
0.280757,13,9.014984
-4.868761,180,9.72171
-6.367623,180,11.212058
-5.183581,10,11.264646
-4.576811,11,11.409174
-5.338011,17,11.500159
-5.230659,12,11.651942
-5.302092,14,11.729493
-4.828242,16,11.899919
-6.110935,180,13.17045
-5.120673,14,13.326534
-4.14267,18,13.426425
-4.937693,28,13.637922
-6.245243,180,15.08995
-5.035658,17,15.168709
-5.06827,15,15.341751
-5.147331,22,15.44297
-5.176554,11,15.572011
-1.284069,10,15.625345
-5.300724,15,15.790355
-5.324059,19,15.896151
-4.785289,14,16.050384
-5.861664,180,17.434675
-4.461276,13,17.584561
-5.200206,13,17.661672
-4.831099,18,17.849332
-4.275692,21,17.964534
1.070756,12,18.108969
-5.308842,14,18.185578
-4.32311,180,19.465445
-5.20285,13,19.535847
-5.696002,180,20.69972
-6.587019,180,21.990734
-5.204976,22,22.172087
-5.090671,12,22.242059
-6.067108,180,23.524241
-6.271749,180,25.000565
-4.310669,11,25.063264
-3.701791,15,25.210421
-4.101417,20,25.310832
-5.475952,180,26.708317
-5.893589,55,27.030252
-5.125681,12,27.1737
-5.095055,15,27.271665
-5.76462,180,28.662124
-5.844141,180,29.999412
-5.267664,14,30.084445
-2.724085,13,30.175186
-4.995173,12,30.402296
-5.589866,180,31.628098
-3.734019,12,31.795908
-5.047979,9,31.847715
-5.891849,180,33.269235
-4.818167,19,33.361874
-6.208875,180,34.658043
-4.254193,9,34.710534
-3.505294,34,34.992319
-4.253275,21,35.242502
-2.388224,10,35.299348
-6.72259,63,35.715506
-4.485782,16,35.891832
-5.379934,19,35.992564
-4.65339,10,36.131695
-3.665031,180,37.499704
-4.778945,180,38.831178
-5.871796,180,40.208202
-4.73298,180,41.465219
-3.125898,20,41.644507
-3.86967,14,41.713571
-5.087536,180,43.04361
-5.961714,180,44.273237
-5.221658,12,44.420043
-5.081502,15,44.509302
-5.280281,15,44.686257
-5.196439,11,44.772709
-9.828368,168,46.04067
-4.822839,12,46.18004
-5.235487,11,46.233933
-5.416079,23,46.427756
-3.412519,24,46.627338
-5.469857,21,46.73189
-4.968471,19,46.928852
-5.617894,32,47.226187
-5.367578,17,47.325557
-5.255515,180,48.592171
-5.712612,180,50.028208
-5.15248,33,50.260015
-3.730528,12,50.318835
-5.361051,23,50.505702
1.646688,23,50.640249
