task_id,target_build,method,repeat,budget,actual_queries,candidate_count,failure_pool_count,failure_count,first_failure_rank,first_failure_censored,failure_recall,history_record_count,initial_history_pass_count,initial_history_failure_count,initial_pattern_count,history_kind,status
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,7,20,20,104,7,3,3,3,0.42857142857142855,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,8,1,1,104,7,0,9,9,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,8,5,5,104,7,0,9,9,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,8,10,10,104,7,1,9,9,0.14285714285714285,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,8,20,20,104,7,2,9,9,0.2857142857142857,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,9,1,1,104,7,0,10,10,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,9,5,5,104,7,0,10,10,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,9,10,10,104,7,1,10,10,0.14285714285714285,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,9,20,20,104,7,1,10,10,0.14285714285714285,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,HistoryRank-UCB-v2,0,1,1,104,7,1,1,1,0.14285714285714285,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,HistoryRank-UCB-v2,0,5,5,104,7,3,1,1,0.42857142857142855,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,HistoryRank-UCB-v2,0,10,10,104,7,6,1,1,0.8571428571428571,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,HistoryRank-UCB-v2,0,20,20,104,7,7,1,1,1.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY|BASELINE_AT_ORACLE_CEILING
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,1,1,104,7,1,1,1,0.14285714285714285,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,5,5,104,7,2,1,1,0.2857142857142857,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,10,10,104,7,4,1,1,0.5714285714285714,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FailureDistance-v2,0,20,20,104,7,7,1,1,1.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY|BASELINE_AT_ORACLE_CEILING
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,1,1,104,7,0,9,9,0.0,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,5,5,104,7,0,9,9,0.0,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,10,10,104,7,1,9,9,0.14285714285714285,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-NoMemory,0,20,20,104,7,4,9,9,0.5714285714285714,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,1,1,104,7,1,1,1,0.14285714285714285,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,5,5,104,7,2,1,1,0.2857142857142857,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,10,10,104,7,5,1,1,0.7142857142857143,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_blind06,merge_blind06,FBRT-Memory,0,20,20,104,7,7,1,1,1.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY|BASELINE_AT_ORACLE_CEILING
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,1,1,104,4,1,1,1,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,5,5,104,4,1,1,1,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
