method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman,support_indices
Shared Prior,SUT-D,0,1.0,0.4,0.9740775498992859,
Highest-Risk Support + Adaptation,SUT-D,0,1.0,0.4,0.9740775498992859,7;31;39;55
DIVA Diagnostic + Adaptation,SUT-D,0,1.0,0.4,0.9820087895989745,0;1;97;15
Random Support + Adaptation,SUT-D,0,1.0,0.4,0.5393700787401575,12;43;73;4
Random Support + Adaptation,SUT-D,1,1.0,0.4,0.975199139351767,98;122;12;66
Random Support + Adaptation,SUT-D,2,1.0,0.4,0.6087026185680279,124;104;41;5
Random Support + Adaptation,SUT-D,3,1.0,0.4,0.9720518220106208,34;97;110;102
Random Support + Adaptation,SUT-D,4,1.0,0.4,0.9700375389122872,29;56;104;98
Random Support + Adaptation,SUT-D,5,1.0,0.4,0.9734423640358909,36;87;62;98
Random Support + Adaptation,SUT-D,6,1.0,0.4,0.9495685314045047,38;49;19;21
Random Support + Adaptation,SUT-D,7,1.0,0.4,0.9709760117194653,60;30;28;45
Random Support + Adaptation,SUT-D,8,1.0,0.4,0.9732993041567478,93;28;44;86
Random Support + Adaptation,SUT-D,9,1.0,0.4,0.9349191997802601,48;17;18;81
Random Support + Adaptation,SUT-D,10,1.0,0.8,0.972990294817799,67;71;107;123
Random Support + Adaptation,SUT-D,11,1.0,0.4,0.9675997985716902,15;40;110;114
Random Support + Adaptation,SUT-D,12,1.0,0.4,0.9811103735579564,4;69;10;100
Random Support + Adaptation,SUT-D,13,1.0,0.4,0.9738028749313312,20;74;119;110
Random Support + Adaptation,SUT-D,14,1.0,0.4,0.9803550173960813,40;111;51;110
Random Support + Adaptation,SUT-D,15,1.0,0.7,0.9698773118476469,44;107;39;42
Random Support + Adaptation,SUT-D,16,1.0,0.4,0.9727156198498443,124;88;92;45
Random Support + Adaptation,SUT-D,17,1.0,0.4,0.9743693920527376,68;2;114;47
Random Support + Adaptation,SUT-D,18,1.0,0.4,0.9081212232191906,27;36;47;49
Random Support + Adaptation,SUT-D,19,1.0,0.4,0.9714624153085516,68;86;105;54
Shared Prior,SUT-E,0,1.0,0.5,0.9841031862296282,
Highest-Risk Support + Adaptation,SUT-E,0,1.0,0.5,0.9841031862296282,7;31;39;55
DIVA Diagnostic + Adaptation,SUT-E,0,1.0,0.5,0.6867274766526277,0;1;21;15
Random Support + Adaptation,SUT-E,0,1.0,0.5,0.9706841695660136,121;74;32;110
Random Support + Adaptation,SUT-E,1,1.0,0.5,0.9862090276506135,88;64;36;47
Random Support + Adaptation,SUT-E,2,1.0,0.5,0.6091432429957884,1;118;91;57
Random Support + Adaptation,SUT-E,3,1.0,0.5,0.978827137886834,80;116;118;28
Random Support + Adaptation,SUT-E,4,1.0,0.5,0.9769902490386376,83;55;31;105
Random Support + Adaptation,SUT-E,5,1.0,0.5,0.8826451199414027,43;87;108;15
Random Support + Adaptation,SUT-E,6,1.0,0.5,0.9791247024354514,45;103;87;122
Random Support + Adaptation,SUT-E,7,1.0,0.5,0.9858599615455045,38;47;108;34
Random Support + Adaptation,SUT-E,8,1.0,0.5,0.7113509430507233,91;15;44;19
Random Support + Adaptation,SUT-E,9,1.0,0.5,0.5960160684856254,19;116;55;60
Random Support + Adaptation,SUT-E,10,1.0,0.5,0.9742034425929317,31;68;0;6
Random Support + Adaptation,SUT-E,11,1.0,0.5,0.9709874565097968,100;49;6;30
Random Support + Adaptation,SUT-E,12,1.0,0.5,0.48293009522065555,73;107;75;112
Random Support + Adaptation,SUT-E,13,1.0,0.5,0.9619231825672954,103;116;109;58
Random Support + Adaptation,SUT-E,14,1.0,0.5,0.9857798480131844,3;72;12;64
Random Support + Adaptation,SUT-E,15,1.0,0.5,0.9823750228895807,25;80;3;31
Random Support + Adaptation,SUT-E,16,1.0,0.5,0.9743636696575718,106;46;122;33
Random Support + Adaptation,SUT-E,17,1.0,0.5,0.9832562717451017,77;27;97;43
Random Support + Adaptation,SUT-E,18,1.0,0.5,0.9678401391686504,122;113;109;18
Random Support + Adaptation,SUT-E,19,1.0,0.5,0.9746726789965208,83;105;113;82
Shared Prior,SUT-F,0,1.0,0.2,0.9689502838308002,
Highest-Risk Support + Adaptation,SUT-F,0,1.0,0.2,0.9689502838308002,7;31;39;55
DIVA Diagnostic + Adaptation,SUT-F,0,1.0,0.5,0.9690361197582861,0;21;1;111
Random Support + Adaptation,SUT-F,0,1.0,0.5,0.9559203900384545,9;78;30;104
