target_profile,initial_gap,relative_speed,action,collision,near_miss,min_ttc,min_distance
AV-Reference-IDM,10.0,-8.0,0,True,False,inf,0.0
AV-Reference-IDM,10.0,-8.0,1,True,False,0.5738946896906242,0.0
AV-Reference-IDM,10.0,-8.0,2,True,False,0.9191242129198041,0.0
AV-Reference-IDM,10.0,-5.0,0,True,False,0.3958275255475213,0.0
AV-Reference-IDM,10.0,-5.0,1,True,False,1.4624911938525695,0.17903548553732218
AV-Reference-IDM,10.0,-5.0,2,False,True,2.4443614320002767,1.5143084329253211
AV-Reference-IDM,10.0,-2.0,0,True,False,0.9473244367481388,0.0
AV-Reference-IDM,10.0,-2.0,1,False,False,6.682883969963212,2.995005877582276
AV-Reference-IDM,10.0,-2.0,2,False,False,103.814654087949,4.499500589227679
AV-Reference-IDM,10.0,1.0,0,False,True,3.885930407911691,0.9214991185377075
AV-Reference-IDM,10.0,1.0,1,False,False,inf,4.894569217505124
AV-Reference-IDM,10.0,1.0,2,False,False,inf,4.894569217505124
AV-Reference-IDM,18.0,-8.0,0,True,False,0.6072106416111965,0.21857246943745512
AV-Reference-IDM,18.0,-8.0,1,False,False,1.7940885230145076,2.4693801553746786
AV-Reference-IDM,18.0,-8.0,2,False,False,2.21264626051433,4.839621924521259
AV-Reference-IDM,18.0,-5.0,0,True,False,1.4359894636177948,0.03432220180282375
AV-Reference-IDM,18.0,-5.0,1,False,False,3.2537078425950425,7.3600939119697095
AV-Reference-IDM,18.0,-5.0,2,False,False,5.0330565119830135,9.496113830972847
AV-Reference-IDM,18.0,-2.0,0,False,False,2.6152672895672673,4.973491716653514
AV-Reference-IDM,18.0,-2.0,1,False,False,13.260543520435792,10.954968003298813
AV-Reference-IDM,18.0,-2.0,2,False,False,192.34930079120394,12.442715642492068
AV-Reference-IDM,18.0,1.0,0,False,False,8.905154064821065,8.874240131255304
AV-Reference-IDM,18.0,1.0,1,False,False,inf,12.512923799297475
AV-Reference-IDM,18.0,1.0,2,False,False,inf,12.512923799297475
AV-Reference-IDM,26.0,-8.0,0,False,True,1.504866522009716,0.3926054442852056
AV-Reference-IDM,26.0,-8.0,1,False,False,2.906165328663531,10.467797263260525
AV-Reference-IDM,26.0,-8.0,2,False,False,3.473064707753276,12.838073362374683
AV-Reference-IDM,26.0,-5.0,0,False,False,2.5147054363191392,7.770687655018994
AV-Reference-IDM,26.0,-5.0,1,False,False,5.0449244913375155,15.356839245725897
AV-Reference-IDM,26.0,-5.0,2,False,False,7.62175159196575,17.490851874523614
AV-Reference-IDM,26.0,-2.0,0,False,False,4.273760043051629,12.970243578527974
AV-Reference-IDM,26.0,-2.0,1,False,False,19.83820307090837,18.94086362820257
AV-Reference-IDM,26.0,-2.0,2,False,False,280.88394749445894,20.41939431450321
AV-Reference-IDM,26.0,1.0,0,False,False,13.92437772173044,16.861309291423662
AV-Reference-IDM,26.0,1.0,1,False,False,inf,20.367351063916782
AV-Reference-IDM,26.0,1.0,2,False,False,inf,20.367351063916782
AV-Reference-IDM,34.0,-8.0,0,False,False,2.3945616923476387,8.392211336604658
AV-Reference-IDM,34.0,-8.0,1,False,False,4.018242134312555,18.347482607611283
AV-Reference-IDM,34.0,-8.0,2,False,False,4.73348315499222,20.666560216978077
AV-Reference-IDM,34.0,-5.0,0,False,False,3.574144391704948,15.742139368207432
AV-Reference-IDM,34.0,-5.0,1,False,False,6.836141140079989,23.20832222303672
AV-Reference-IDM,34.0,-5.0,2,False,False,10.210446671948482,25.34440700031328
AV-Reference-IDM,34.0,-2.0,0,False,False,5.93225279653599,20.898349872212165
AV-Reference-IDM,34.0,-2.0,1,False,False,26.044184723494347,26.870385460674953
AV-Reference-IDM,34.0,-2.0,2,False,False,116.06377918623419,28.361485960671708
AV-Reference-IDM,34.0,1.0,0,False,False,18.943601378639805,24.817077909784786
AV-Reference-IDM,34.0,1.0,1,False,False,inf,28.291177509965003
AV-Reference-IDM,34.0,1.0,2,False,False,inf,28.291177509965003
AV-Reference-IDM,42.0,-8.0,0,False,False,3.152771693420902,15.897539797474135
AV-Reference-IDM,42.0,-8.0,1,False,False,5.130318939961582,24.571336062109147
