method,budget,scope,value,units,mean_CollisionCount,mean_CriticalCount,mean_SeveritySum,mean_CVS,mean_F,mean_NewHistoricalFailureCount,mean_selection_seconds
FPS-Risk,10,overall,all,54,9.944444444444445,10.0,9.972222222222221,5.972222222222222,0.0867007079012235,0.0,0.034676366664589967
FPS-Risk,10,coverage,exact,18,10.0,10.0,10.0,6.0,0.08686994028417666,0.0,0.03468537221003013
FPS-Risk,10,heterogeneity,global,18,9.944444444444445,10.0,9.972222222222221,5.972222222222222,0.08669973674433828,0.0,0.032648044444310166
FPS-Risk,20,overall,all,54,19.944444444444443,20.0,19.97222222222222,7.657407407407407,0.12472328124251089,0.0,0.034676366664589967
FPS-Risk,20,coverage,exact,18,20.0,20.0,20.0,7.833333333333333,0.1294152061468853,0.0,0.03468537221003013
FPS-Risk,20,heterogeneity,global,18,19.944444444444443,20.0,19.97222222222222,7.666666666666667,0.12488210719514087,0.0,0.032648044444310166
FPS-Risk,30,overall,all,54,29.925925925925927,30.0,29.962962962962962,9.046296296296296,0.1540822397236278,0.0,0.034676366664589967
FPS-Risk,30,coverage,exact,18,30.0,30.0,30.0,9.0,0.15507898606587955,0.0,0.03468537221003013
FPS-Risk,30,heterogeneity,global,18,29.944444444444443,30.0,29.97222222222222,9.055555555555555,0.1540779296362541,0.0,0.032648044444310166
FPS-Risk,50,overall,all,54,46.074074074074076,49.01851851851852,47.5462962962963,10.87037037037037,0.18393448098454648,0.0,0.034676366664589967
FPS-Risk,50,coverage,exact,18,47.44444444444444,50.0,48.72222222222222,11.13888888888889,0.18755014897976094,0.0,0.03468537221003013
FPS-Risk,50,heterogeneity,global,18,43.0,48.55555555555556,45.77777777777778,10.527777777777779,0.1792599519244691,0.0,0.032648044444310166
FPS-Severity,10,overall,all,54,9.981481481481481,10.0,9.99074074074074,4.9907407407407405,0.06393196904933608,0.0,0.03562464814684871
FPS-Severity,10,coverage,exact,18,10.0,10.0,10.0,5.0,0.06398773240573036,0.0,0.033748483343515545
FPS-Severity,10,heterogeneity,global,18,10.0,10.0,10.0,5.0,0.06398773240573036,0.0,0.035305594433642305
FPS-Severity,20,overall,all,54,19.98148148148148,20.0,19.99074074074074,5.657407407407407,0.10671578154146187,0.0,0.03562464814684871
FPS-Severity,20,coverage,exact,18,20.0,20.0,20.0,5.666666666666667,0.10656677897933275,0.0,0.033748483343515545
FPS-Severity,20,heterogeneity,global,18,20.0,20.0,20.0,5.666666666666667,0.10677154489785617,0.0,0.035305594433642305
FPS-Severity,30,overall,all,54,29.925925925925927,30.0,29.962962962962962,8.064814814814815,0.13673638080332318,0.0,0.03562464814684871
FPS-Severity,30,coverage,exact,18,30.0,30.0,30.0,8.0,0.13690516473455008,0.0,0.033748483343515545
FPS-Severity,30,heterogeneity,global,18,29.944444444444443,30.0,29.97222222222222,8.0,0.13655746394719415,0.0,0.035305594433642305
FPS-Severity,50,overall,all,54,46.5,49.129629629629626,47.81481481481482,10.87962962962963,0.18468290129691792,0.0,0.03562464814684871
FPS-Severity,50,coverage,exact,18,47.77777777777778,50.0,48.888888888888886,11.25,0.18869124541885388,0.0,0.033748483343515545
FPS-Severity,50,heterogeneity,global,18,43.22222222222222,48.94444444444444,46.083333333333336,10.527777777777779,0.1801367210326036,0.0,0.035305594433642305
FPS-Balanced,10,overall,all,54,9.87037037037037,9.981481481481481,9.925925925925926,5.611111111111111,0.0765316258208685,0.0,0.040948640737311776
FPS-Balanced,10,coverage,exact,18,9.88888888888889,10.0,9.944444444444445,5.611111111111111,0.07672330864008398,0.0,0.040044733326390594
FPS-Balanced,10,heterogeneity,global,18,9.944444444444445,10.0,9.972222222222221,5.638888888888889,0.07682056090317105,0.0,0.04052842778684054
FPS-Balanced,20,overall,all,54,19.296296296296298,19.833333333333332,19.564814814814813,6.935185185185185,0.10973816074227194,0.0,0.040948640737311776
FPS-Balanced,20,coverage,exact,18,19.166666666666668,20.0,19.583333333333332,6.944444444444445,0.10983343804741183,0.0,0.040044733326390594
FPS-Balanced,20,heterogeneity,global,18,19.166666666666668,19.88888888888889,19.52777777777778,6.944444444444445,0.10952805502293225,0.0,0.04052842778684054
FPS-Balanced,30,overall,all,54,27.72222222222222,29.61111111111111,28.666666666666668,7.287037037037037,0.13387037386210843,0.0,0.040948640737311776
FPS-Balanced,30,coverage,exact,18,27.11111111111111,30.0,28.555555555555557,7.277777777777778,0.13308914960080698,0.0,0.040044733326390594
FPS-Balanced,30,heterogeneity,global,18,27.11111111111111,29.61111111111111,28.36111111111111,7.305555555555555,0.13244008346675173,0.0,0.04052842778684054
FPS-Balanced,50,overall,all,54,41.7962962962963,47.629629629629626,44.71296296296296,9.925925925925926,0.18554630866119678,0.0,0.040948640737311776
FPS-Balanced,50,coverage,exact,18,42.44444444444444,48.77777777777778,45.611111111111114,10.083333333333334,0.18782085479673674,0.0,0.040044733326390594
FPS-Balanced,50,heterogeneity,global,18,39.833333333333336,47.166666666666664,43.5,9.88888888888889,0.18209747455305825,0.0,0.04052842778684054
FPS-Marginal,10,overall,all,54,8.25925925925926,9.018518518518519,8.63888888888889,7.694444444444445,0.11854983660648116,0.0,0.2825721388853034
FPS-Marginal,10,coverage,exact,18,8.944444444444445,9.444444444444445,9.194444444444445,8.36111111111111,0.12915493667251518,0.0,0.28287313332677716
FPS-Marginal,10,heterogeneity,global,18,8.055555555555555,8.777777777777779,8.416666666666666,7.472222222222222,0.114054445195831,0.0,0.27820438332532327
FPS-Marginal,20,overall,all,54,16.166666666666668,17.85185185185185,17.00925925925926,10.87962962962963,0.1607159186096115,0.0,0.2825721388853034
FPS-Marginal,20,coverage,exact,18,17.88888888888889,19.0,18.444444444444443,11.75,0.17812542864379155,0.0,0.28287313332677716
FPS-Marginal,20,heterogeneity,global,18,15.555555555555555,17.72222222222222,16.63888888888889,10.61111111111111,0.15355543335506786,0.0,0.27820438332532327
FPS-Marginal,30,overall,all,54,24.444444444444443,27.444444444444443,25.944444444444443,12.24074074074074,0.1889000718077824,0.0,0.2825721388853034
FPS-Marginal,30,coverage,exact,18,26.88888888888889,29.0,27.944444444444443,13.38888888888889,0.20949142843244023,0.0,0.28287313332677716
FPS-Marginal,30,heterogeneity,global,18,23.88888888888889,27.5,25.694444444444443,11.805555555555555,0.18132914098687367,0.0,0.27820438332532327
FPS-Marginal,50,overall,all,54,40.03703703703704,46.370370370370374,43.2037037037037,13.75,0.22318879219984483,0.0,0.2825721388853034
FPS-Marginal,50,coverage,exact,18,43.77777777777778,48.611111111111114,46.19444444444444,15.583333333333334,0.2467904295536518,0.0,0.28287313332677716
FPS-Marginal,50,heterogeneity,global,18,39.05555555555556,46.55555555555556,42.80555555555556,12.916666666666666,0.2116745426590253,0.0,0.27820438332532327
MeanResidual-Risk,10,overall,all,54,9.907407407407407,10.0,9.953703703703704,4.953703703703703,0.06460338161587235,0.0,0.07748878147578109
MeanResidual-Risk,10,coverage,exact,18,9.88888888888889,10.0,9.944444444444445,4.944444444444445,0.0646194050609518,0.0,0.07762767777118522
MeanResidual-Risk,10,heterogeneity,global,18,9.944444444444445,10.0,9.972222222222221,4.972222222222222,0.0647289010082718,0.0,0.07610478333663195
MeanResidual-Risk,20,overall,all,54,18.62962962962963,19.87037037037037,19.25,6.453703703703703,0.10087481576831453,0.0,0.07748878147578109
MeanResidual-Risk,20,coverage,exact,18,19.11111111111111,20.0,19.555555555555557,6.666666666666667,0.10200958732097927,0.0,0.07762767777118522
MeanResidual-Risk,20,heterogeneity,global,18,18.38888888888889,19.88888888888889,19.13888888888889,6.5,0.10069832292359877,0.0,0.07610478333663195
MeanResidual-Risk,30,overall,all,54,26.944444444444443,29.814814814814813,28.37962962962963,7.101851851851852,0.12475675349701343,0.0,0.07748878147578109
MeanResidual-Risk,30,coverage,exact,18,27.5,30.0,28.75,7.222222222222222,0.12827830203782117,0.0,0.07762767777118522
MeanResidual-Risk,30,heterogeneity,global,18,26.38888888888889,29.833333333333332,28.11111111111111,7.0,0.12377512661899442,0.0,0.07610478333663195
MeanResidual-Risk,50,overall,all,54,43.46296296296296,49.53703703703704,46.5,8.694444444444445,0.16784165055767136,0.0,0.07748878147578109
MeanResidual-Risk,50,coverage,exact,18,43.611111111111114,49.888888888888886,46.75,8.88888888888889,0.16692699911130515,0.0,0.07762767777118522
MeanResidual-Risk,50,heterogeneity,global,18,41.94444444444444,49.5,45.72222222222222,9.11111111111111,0.167610469901016,0.0,0.07610478333663195
