method,lambda,units,mean_CVS20,mean_SeveritySum20,reference_FPS_SeveritySum20,retains_90pct_severity
FPS-Marginal,0.0,36,10.11111111111111,16.25,19.98611111111111,False
FPS-Marginal,0.1,36,10.48611111111111,17.26388888888889,19.98611111111111,False
FPS-Marginal,0.3,36,10.152777777777779,17.916666666666668,19.98611111111111,False
