seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,expert,log_bayes_factor,selection_seconds,elapsed_seconds
20330504,fvdm_delay05_brake3,EvidenceGate,1,161,lead_braking,True,False,True,True,False,1.3906424029512612,0.0,1.1572620386765706,static,0.0,0.0004135000053793192,0.043088799924589694
20330504,fvdm_delay05_brake3,EvidenceGate,2,181,lead_braking,True,False,True,True,False,0.94970459682381,0.0,1.182161329256516,static,0.0,0.00047940004151314497,0.03897170000709593
20330504,fvdm_delay05_brake3,EvidenceGate,3,101,cutin_braking,True,False,True,True,False,0.8292893175518983,0.0,1.1896217209714601,static,0.0,0.00046330003533512354,0.060232600080780685
20330504,fvdm_delay05_brake3,EvidenceGate,4,171,lead_braking,True,False,True,True,False,0.9830785357106471,0.0,1.1801460791556098,static,-0.4054651081081644,0.0007448999676853418,0.055203899974003434
20330504,fvdm_delay05_brake3,EvidenceGate,5,89,cutin_braking,True,False,True,True,False,0.5033535708219391,0.0,1.211384002026458,static,-0.47000362924573547,0.0004768000217154622,0.06777760002296418
20330504,fvdm_delay05_brake3,EvidenceGate,6,179,lead_braking,False,True,False,True,True,1.0252138005935063,1.7655199597981266,0.677633596887475,static,-0.6931471805599454,0.0004715999821200967,0.14729929994791746
20330504,fvdm_delay05_brake3,EvidenceGate,7,267,slow_lead_following,True,False,True,True,False,0.7929886345122513,0.0,1.1919301249094363,static,-0.7621400520468966,0.0004751000087708235,0.028110999963246286
20330504,fvdm_delay05_brake3,EvidenceGate,8,21,fast_intrusion,True,False,True,True,False,1.0540193618102014,0.0,1.175936147443121,static,-1.3217558399823197,0.0004938000347465277,0.049447399913333356
20330504,fvdm_delay05_brake3,EvidenceGate,9,125,cutin_braking,True,False,True,True,False,0.534170132436055,2.842170943040401e-14,1.2092237402875365,static,-1.8971199848858813,0.0004893000004813075,0.06722339999396354
20330504,fvdm_delay05_brake3,EvidenceGate,10,223,stop_and_go,True,False,True,True,False,0.8740725853499198,0.0,1.186812116916724,static,-2.0794415416798353,0.0005312000866979361,0.027766300016082823
20330504,fvdm_delay05_brake3,EvidenceGate,11,151,lead_braking,False,True,False,True,True,1.2999639969908712,3.2829507757837746,0.662088030457652,static,-2.677278542435456,0.0004379999591037631,0.15171599993482232
20330504,fvdm_delay05_brake3,EvidenceGate,12,269,slow_lead_following,True,False,True,True,False,0.6917366339143073,0.0,1.198518449400396,static,-2.772588722239781,0.0005774999735876918,0.03415289998520166
20330504,fvdm_delay05_brake3,EvidenceGate,13,59,fast_intrusion,True,False,True,True,False,1.601452870416462,1.9062101401181073e-14,1.1465905453287366,static,-3.0980111226744094,0.0005654999986290932,0.07931239996105433
20330504,fvdm_delay05_brake3,EvidenceGate,14,77,cutin_braking,True,False,True,True,False,0.7338196851273568,0.0,1.1957531361911165,static,-3.429368258628852,0.0004414999857544899,0.07249359996058047
20330504,fvdm_delay05_brake3,EvidenceGate,15,133,lead_braking,True,False,True,True,False,2.0514856121083502,0.0,1.1261702746160094,static,-3.5835189384561104,0.0005592999514192343,0.0524291000328958
20330504,fvdm_delay05_brake3,EvidenceGate,16,315,slow_lead_following,True,False,True,True,False,0.7736406978870354,0.0,1.193171942337019,static,-3.673131097145798,0.00043260003440082073,0.03172460000496358
20330504,fvdm_delay05_brake3,EvidenceGate,17,29,fast_intrusion,False,True,False,True,True,1.9350862528256352,0.39885856165335554,0.6311618644452961,static,-3.900188547781144,0.0005781000945717096,0.16659909998998046
20330504,fvdm_delay05_brake3,EvidenceGate,18,67,cutin_braking,True,False,True,True,False,1.6782209534702162,0.0,1.1428869750351867,static,-4.130712206392975,0.0006276000058278441,0.07014899991918355
20330504,fvdm_delay05_brake3,EvidenceGate,19,145,lead_braking,True,False,True,True,False,1.113779565408269,0.0,1.172466163347983,static,-4.258966541916655,0.00043700006790459156,0.054440599982626736
20330504,fvdm_delay05_brake3,EvidenceGate,20,293,slow_lead_following,True,False,True,True,False,0.7050712636342005,0.0,1.1976380175502932,static,-4.341204640153627,0.00045849999878555536,0.040621699998155236
20330504,fvdm_delay05_brake3,EvidenceGate,21,61,fast_intrusion,False,True,False,True,True,1.9938084453941571,0.8023138121347699,0.6286194574850895,static,-4.515558027298404,0.0004377000732347369,0.1501086000353098
20330504,fvdm_delay05_brake3,EvidenceGate,22,75,cutin_braking,True,False,True,True,False,0.9246590628319681,0.001436513598861211,1.1836884709880002,static,-4.692181562977721,0.00044899992644786835,0.062106800032779574
20330504,fvdm_delay05_brake3,EvidenceGate,23,175,lead_braking,False,False,False,False,True,1.7956143420124335,9.194643764363747,0.13740363071516673,static,-4.8018804802341455,0.00045600009616464376,0.15112749999389052
20330504,fvdm_delay05_brake3,EvidenceGate,24,305,slow_lead_following,True,False,True,True,False,0.8078866242219092,0.0,1.1909793632609242,static,-3.8210512272224193,0.0004455000162124634,0.04415629990398884
20330504,fvdm_delay05_brake3,EvidenceGate,25,11,fast_intrusion,False,False,False,False,True,2.223259180377232,2.245809824591362,0.11914896588476813,static,-3.919991175077323,0.00048239994794130325,0.14588610001374036
20330504,fvdm_delay05_brake3,EvidenceGate,26,113,cutin_braking,True,False,True,True,False,0.8567460182658033,0.0,1.1878941761963129,static,-3.146801286843843,0.0004409999819472432,0.08939149999059737
20330504,fvdm_delay05_brake3,EvidenceGate,27,187,lead_braking,False,True,False,True,True,1.3997284801432142,3.766571352110617,0.6567864608885982,static,-3.16254964381198,0.0005678999004885554,0.1437658000504598
20330504,fvdm_delay05_brake3,EvidenceGate,28,213,stop_and_go,True,False,True,True,False,0.7854505308976849,0.0,1.192412994364819,static,-3.2723645098191874,0.0004420001059770584,0.039445600006729364
20330504,fvdm_delay05_brake3,EvidenceGate,29,259,slow_lead_following,True,False,True,True,False,1.2741623427798463,0.0,1.163488088902713,static,-3.56863032596236,0.0004528999561443925,0.026336399954743683
20330504,fvdm_delay05_brake3,EvidenceGate,30,47,fast_intrusion,False,False,False,False,True,2.1970428502082515,2.0754314968021674,0.12019474485369255,static,-3.617420490131792,0.0004317000275477767,0.15443280001636595
20330504,fvdm_delay05_brake3,EvidenceGate,31,105,cutin_braking,True,False,True,True,False,1.0175262358617876,0.0,1.178089370527832,static,-2.534808542810122,0.00046669994480907917,0.09335930005181581
