seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20330518,vi_ttc,CellAware-ModeShift,1,288,slow_lead_following,True,False,True,True,False,0.43493914416586976,0.0,1.2162599601266117,0.00012370001059025526,0.07342170004267246
20330518,vi_ttc,CellAware-ModeShift,2,294,slow_lead_following,True,False,True,True,False,0.41102623013726186,0.0,1.2179906505497997,0.001047800062224269,0.07806390000041574
20330518,vi_ttc,CellAware-ModeShift,3,284,slow_lead_following,True,False,True,True,False,1.7113751092799607,0.0,1.141316569585027,0.00101200002245605,0.17866850004065782
20330518,vi_ttc,CellAware-ModeShift,4,296,slow_lead_following,True,False,True,True,False,2.038455401337817,0.0,1.1267194748755442,0.002445199992507696,0.4317241999087855
20330518,vi_ttc,CellAware-ModeShift,5,282,slow_lead_following,True,False,True,True,False,0.3783083810739766,0.0,1.2203810567491598,0.0011794000165537,0.11122619989328086
20330518,vi_ttc,CellAware-ModeShift,6,276,slow_lead_following,False,False,False,False,True,2.4905007625728186,1.2293479825293616,0.10899412666877342,0.0010127000277861953,0.6131140000652522
20330518,vi_ttc,CellAware-ModeShift,7,143,lead_braking,True,False,True,True,False,0.472197423831323,0.0,1.2135907448055252,0.0009913999820128083,0.07497409998904914
20330518,vi_ttc,CellAware-ModeShift,8,95,cutin_braking,True,False,True,True,False,0.45676030610766116,0.010912668498090932,1.2146926525782238,0.0010885000228881836,0.15254360006656498
20330518,vi_ttc,CellAware-ModeShift,9,33,fast_intrusion,False,True,False,True,True,0.710278357842827,1.0092493114496863,0.6972952751594628,0.000998999923467636,0.5544605000177398
20330518,vi_ttc,CellAware-ModeShift,10,238,stop_and_go,True,False,True,True,False,0.5014006730930594,0.0,1.2115216506030222,0.001001400058157742,0.21680779999587685
20330518,vi_ttc,CellAware-ModeShift,11,77,cutin_braking,True,False,True,True,False,0.5186888624803399,0.00522660346147341,1.2103062139647323,0.0009479000000283122,0.1426163000287488
20330518,vi_ttc,CellAware-ModeShift,12,218,stop_and_go,True,False,True,True,False,0.6105171225581832,0.0,1.203966386935237,0.000967899919487536,0.20346109999809414
20330518,vi_ttc,CellAware-ModeShift,13,212,stop_and_go,True,False,True,True,False,0.35812120664668495,0.0,1.221869014355555,0.0009465999901294708,0.20520710002165288
20330518,vi_ttc,CellAware-ModeShift,14,192,stop_and_go,True,False,True,True,False,0.32643687312170333,0.0,1.224224689407694,0.0010056999744847417,0.19321699999272823
20330518,vi_ttc,CellAware-ModeShift,15,179,lead_braking,True,False,True,True,False,0.3001555309354251,0.0,1.2261976272954804,0.000955199939198792,0.20743329997640103
20330518,vi_ttc,CellAware-ModeShift,16,99,cutin_braking,False,True,False,True,True,0.5168455014437383,0.3397265234954068,0.7104354771006293,0.0010982999810948968,0.5847744999919087
20330518,vi_ttc,CellAware-ModeShift,17,196,stop_and_go,True,False,True,True,False,0.34102726568512554,0.0,1.2231368281920594,0.0009873000672087073,0.28088279999792576
20330518,vi_ttc,CellAware-ModeShift,18,159,lead_braking,True,False,True,True,False,0.3663390882863372,0.0,1.2212620815855277,0.0009694000473245978,0.16583960002753884
20330518,vi_ttc,CellAware-ModeShift,19,239,stop_and_go,True,False,True,True,False,0.33268276078929365,0.0,1.2237583476217646,0.0017281000036746264,0.3200436000479385
20330518,vi_ttc,CellAware-ModeShift,20,208,stop_and_go,True,False,True,True,False,0.3214338656296341,0.0,1.224598933979363,0.001004899968393147,0.24381050001829863
20330518,vi_ttc,CellAware-ModeShift,21,254,stop_and_go,True,False,True,True,False,0.5407532072416054,5.684341886080802e-14,1.2087651318027515,0.0009739999659359455,0.2533055000239983
20330518,vi_ttc,CellAware-ModeShift,22,195,stop_and_go,False,True,False,True,True,1.0602872796328378,2.012923951010208,0.6755689467359374,0.0009864999447017908,0.5689032999798656
20330518,vi_ttc,CellAware-ModeShift,23,177,lead_braking,True,False,True,True,False,0.5441583800391046,0.0,1.20852830578447,0.0010008999379351735,0.32345220004208386
20330518,vi_ttc,CellAware-ModeShift,24,185,lead_braking,True,False,True,True,False,0.27428994078408264,0.0,1.228156303923487,0.0010082999942824244,0.1860053000273183
20330518,vi_ttc,CellAware-ModeShift,25,133,lead_braking,True,False,True,True,False,0.48383760938369885,0.0,1.2127636052190074,0.00107999995816499,0.31336139992345124
20330518,vi_ttc,CellAware-ModeShift,26,144,lead_braking,True,False,True,True,False,1.1683404439667446,0.0,1.1693578790130075,0.0009973000269383192,0.3476748000830412
20330518,vi_ttc,CellAware-ModeShift,27,187,lead_braking,True,False,True,True,False,0.6709596670093854,0.0,1.199898091767592,0.0010010999394580722,0.21704659995157272
20330518,vi_ttc,CellAware-ModeShift,28,170,lead_braking,False,True,False,True,True,1.3317801661899558,2.7158594035774684,0.6603781069530192,0.0011935000075027347,0.5601525000529364
20330518,vi_ttc,CellAware-ModeShift,29,249,stop_and_go,False,True,False,True,True,1.0627542824636007,0.8741942897684964,0.6754246297196208,0.0010077999904751778,0.557518000015989
