method,reference,budget,units,mean_CVS_difference,CVS_bootstrap_low,CVS_bootstrap_high,mean_SeveritySum_difference,SeveritySum_bootstrap_low,SeveritySum_bootstrap_high
CoRe-Marginal,FPS-Marginal,10,12,0.041666666666666664,-0.125,0.20833333333333334,0.041666666666666664,-0.4166666666666667,0.5
CoRe-Marginal,FPS-Marginal,20,12,0.0,-0.16666666666666666,0.16666666666666666,-0.375,-1.0,0.16770833333332763
CoRe-Marginal,FPS-Marginal,30,12,-0.125,-0.4166666666666667,0.125,0.08333333333333333,-0.75,0.9593749999999943
CoRe-Marginal,FPS-Marginal,50,12,0.08333333333333333,0.0,0.3333333333333333,-2.4583333333333335,-3.667708333333333,-1.2083333333333333
CoRe-Marginal,MeanResidual-Marginal,10,12,-0.08333333333333333,-0.20833333333333334,0.0,-0.875,-1.1666666666666667,-0.5833333333333334
CoRe-Marginal,MeanResidual-Marginal,20,12,0.08333333333333333,0.0,0.3333333333333333,-0.8333333333333334,-1.1260416666666666,-0.5822916666666724
CoRe-Marginal,MeanResidual-Marginal,30,12,-0.041666666666666664,-0.25,0.16666666666666666,-0.9583333333333334,-1.5833333333333333,-0.4166666666666667
CoRe-Marginal,MeanResidual-Marginal,50,12,-0.08333333333333333,-0.4166666666666667,0.25,-1.1666666666666667,-1.9583333333333333,-0.4166666666666667
CoRe-Marginal,TargetOnlyGP-Marginal,10,12,0.6666666666666666,0.375,0.9583333333333334,1.7916666666666667,1.375,2.2083333333333335
CoRe-Marginal,TargetOnlyGP-Marginal,20,12,0.375,-0.08333333333333333,0.875,1.1666666666666667,0.5,1.9166666666666667
CoRe-Marginal,TargetOnlyGP-Marginal,30,12,0.25,-0.3333333333333333,1.125,1.9583333333333333,1.25,2.5427083333333274
CoRe-Marginal,TargetOnlyGP-Marginal,50,12,0.2916666666666667,-0.041666666666666664,0.625,2.0,1.2083333333333333,3.0
