seed,build,method,repeat,budget,actual_queries,regression_detected,first_regression_rank,regression_collision_count,regression_template_count,regression_recall,observed_regressions_in_pool
4179801,merge_blind06,Random,18,10,10,False,,0,0,0.0,7
4179801,merge_blind06,Random,18,20,20,True,19,1,1,0.14285714285714285,7
4179801,merge_blind06,Random,18,50,50,True,19,2,1,0.2857142857142857,7
4179801,merge_blind06,Random,19,5,5,True,1,2,1,0.2857142857142857,7
4179801,merge_blind06,Random,19,10,10,True,1,2,1,0.2857142857142857,7
4179801,merge_blind06,Random,19,20,20,True,1,3,2,0.42857142857142855,7
4179801,merge_blind06,Random,19,50,50,True,1,5,2,0.7142857142857143,7
4179801,merge_blind06,ART-Maximin,0,5,5,True,1,1,1,0.14285714285714285,7
4179801,merge_blind06,ART-Maximin,0,10,10,True,1,1,1,0.14285714285714285,7
4179801,merge_blind06,ART-Maximin,0,20,20,True,1,3,2,0.42857142857142855,7
4179801,merge_blind06,ART-Maximin,0,50,50,True,1,5,2,0.7142857142857143,7
4179801,merge_blind06,HistoryMargin,0,5,5,True,1,2,1,0.2857142857142857,7
4179801,merge_blind06,HistoryMargin,0,10,10,True,1,2,1,0.2857142857142857,7
4179801,merge_blind06,HistoryMargin,0,20,20,True,1,3,1,0.42857142857142855,7
4179801,merge_blind06,HistoryMargin,0,50,50,True,1,5,2,0.7142857142857143,7
4179801,merge_blind06,FailureDistance,0,5,5,True,1,3,2,0.42857142857142855,7
4179801,merge_blind06,FailureDistance,0,10,10,True,1,6,2,0.8571428571428571,7
4179801,merge_blind06,FailureDistance,0,20,20,True,1,7,2,1.0,7
4179801,merge_blind06,FailureDistance,0,50,50,True,1,7,2,1.0,7
4179801,merge_blind06,HistoryRank-UCB,0,5,5,True,4,2,1,0.2857142857142857,7
4179801,merge_blind06,HistoryRank-UCB,0,10,10,True,4,4,1,0.5714285714285714,7
4179801,merge_blind06,HistoryRank-UCB,0,20,20,True,4,6,2,0.8571428571428571,7
4179801,merge_blind06,HistoryRank-UCB,0,50,50,True,4,6,2,0.8571428571428571,7
4179801,merge_blind06,FBRT-Static,0,5,5,True,1,2,1,0.2857142857142857,7
4179801,merge_blind06,FBRT-Static,0,10,10,True,1,3,2,0.42857142857142855,7
4179801,merge_blind06,FBRT-Static,0,20,20,True,1,6,2,0.8571428571428571,7
4179801,merge_blind06,FBRT-Static,0,50,50,True,1,7,2,1.0,7
4179801,merge_blind06,FBRT-Adaptive,0,5,5,True,1,3,2,0.42857142857142855,7
4179801,merge_blind06,FBRT-Adaptive,0,10,10,True,1,5,2,0.7142857142857143,7
4179801,merge_blind06,FBRT-Adaptive,0,20,20,True,1,7,2,1.0,7
4179801,merge_blind06,FBRT-Adaptive,0,50,50,True,1,7,2,1.0,7
4179801,merge_blind06,FBRT-RegionBandit,0,5,5,True,3,2,2,0.2857142857142857,7
4179801,merge_blind06,FBRT-RegionBandit,0,10,10,True,3,5,2,0.7142857142857143,7
4179801,merge_blind06,FBRT-RegionBandit,0,20,20,True,3,6,2,0.8571428571428571,7
4179801,merge_blind06,FBRT-RegionBandit,0,50,50,True,3,7,2,1.0,7
4179801,merge_brake2,Random,0,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,0,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,0,20,20,False,,0,0,0.0,4
4179801,merge_brake2,Random,0,50,50,True,41,2,1,0.5,4
4179801,merge_brake2,Random,1,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,1,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,1,20,20,False,,0,0,0.0,4
4179801,merge_brake2,Random,1,50,50,False,,0,0,0.0,4
4179801,merge_brake2,Random,2,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,2,10,10,True,10,1,1,0.25,4
4179801,merge_brake2,Random,2,20,20,True,10,1,1,0.25,4
4179801,merge_brake2,Random,2,50,50,True,10,1,1,0.25,4
4179801,merge_brake2,Random,3,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,3,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,3,20,20,True,11,1,1,0.25,4
4179801,merge_brake2,Random,3,50,50,True,11,2,1,0.5,4
4179801,merge_brake2,Random,4,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,4,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,4,20,20,False,,0,0,0.0,4
4179801,merge_brake2,Random,4,50,50,True,23,1,1,0.25,4
4179801,merge_brake2,Random,5,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,5,10,10,True,6,1,1,0.25,4
4179801,merge_brake2,Random,5,20,20,True,6,2,1,0.5,4
4179801,merge_brake2,Random,5,50,50,True,6,4,1,1.0,4
