seed,build,repeat,method,rank,scenario_id,template_id,selection_reason,patch_id,ego_collision,regression
4179801,merge_blind06,0,Random,21,4179801:fbrt_cutin:initial:24,fbrt_cutin,random,,False,False
4179801,merge_blind06,0,Random,22,4179801:fbrt_stop_hold_go:initial:31,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,23,4179801:fbrt_cutout_static:initial:24,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,0,Random,24,4179801:fbrt_stop_hold_go:initial:14,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,25,4179801:fbrt_cutin:initial:3,fbrt_cutin,random,,False,False
4179801,merge_blind06,0,Random,26,4179801:fbrt_cutin:initial:13,fbrt_cutin,random,,False,False
4179801,merge_blind06,0,Random,27,4179801:fbrt_stop_hold_go:initial:2,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,28,4179801:fbrt_stop_hold_go:initial:17,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,29,4179801:fbrt_stop_hold_go:initial:9,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,30,4179801:fbrt_cutout_static:initial:0,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,0,Random,31,4179801:fbrt_cutout_static:initial:23,fbrt_cutout_static,random,,True,True
4179801,merge_blind06,0,Random,32,4179801:fbrt_stop_hold_go:initial:18,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,33,4179801:fbrt_stop_hold_go:core_extra:3,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,34,4179801:fbrt_lead_emergency_brake:wide_initial:6,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,0,Random,35,4179801:fbrt_stop_hold_go:probe:1,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,36,4179801:fbrt_stop_hold_go:initial:28,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,37,4179801:fbrt_stop_hold_go:initial:21,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,38,4179801:fbrt_lead_emergency_brake:core_boundary:3,fbrt_lead_emergency_brake,random,,False,False
