build,seed,scenario_id,scenario,contract,ego_collision,collision_partner,collision_time_s,other_vehicle_crashed,completed,semantic_valid,termination_reason,near_miss,min_ttc,min_clearance,fault_active_steps,event_times,lead_events,trigger_clearance_m,trigger_ttc_s,trigger_geometry_source
merge_blind06,4179801,4179801:fbrt_cutin:initial:11,"{""scenario_id"": ""4179801:fbrt_cutin:initial:11"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 36.6216308362782, ""lane_change_duration_s"": 2.3182022631168366, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,4.933728436964131,21.257908345760825,12,"{""first_intrusion_s"": 1.85, ""lane_change_complete_s"": 4.25}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:12,"{""scenario_id"": ""4179801:fbrt_cutin:initial:12"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 29.12095415405929, ""lane_change_duration_s"": 1.245542100816965, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,3.8696257066874855,14.624142184318856,12,"{""first_intrusion_s"": 1.5, ""lane_change_complete_s"": 2.65}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:13,"{""scenario_id"": ""4179801:fbrt_cutin:initial:13"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 15.138943016529083, ""lane_change_duration_s"": 1.8293693907558919, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,True,1.4752966177506048,0.07697115496088713,12,"{""first_intrusion_s"": 1.7, ""lane_change_complete_s"": 3.5}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:14,"{""scenario_id"": ""4179801:fbrt_cutin:initial:14"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 25.617326552048326, ""lane_change_duration_s"": 1.1356903709471227, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,3.2867820347887933,11.09232313766202,12,"{""first_intrusion_s"": 1.45, ""lane_change_complete_s"": 2.45}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:15,"{""scenario_id"": ""4179801:fbrt_cutin:initial:15"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 39.56054500117898, ""lane_change_duration_s"": 2.9892167575657367, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,5.222339489269428,23.19594198085713,13,"{""first_intrusion_s"": 2.1, ""lane_change_complete_s"": 5.25}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:16,"{""scenario_id"": ""4179801:fbrt_cutin:initial:16"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 41.48585847578943, ""lane_change_duration_s"": 1.0828864529728888, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,5.967207853912579,26.927116129748896,12,"{""first_intrusion_s"": 1.45, ""lane_change_complete_s"": 2.4}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:17,"{""scenario_id"": ""4179801:fbrt_cutin:initial:17"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 24.922446466982365, ""lane_change_duration_s"": 2.8919088765978813, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,2.8543157602000964,8.616586105954156,13,"{""first_intrusion_s"": 2.05, ""lane_change_complete_s"": 5.1}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:18,"{""scenario_id"": ""4179801:fbrt_cutin:initial:18"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 14.526420326903462, ""lane_change_duration_s"": 1.3357346132397652, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,True,1.4701092864162002,0.048869550675192386,12,"{""first_intrusion_s"": 1.5, ""lane_change_complete_s"": 2.75}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:19,"{""scenario_id"": ""4179801:fbrt_cutin:initial:19"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 31.12798399850726, ""lane_change_duration_s"": 1.8890655085444448, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,4.0931586994067155,16.071975548222525,12,"{""first_intrusion_s"": 1.7, ""lane_change_complete_s"": 3.6}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:20,"{""scenario_id"": ""4179801:fbrt_cutin:initial:20"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 34.609164556488395, ""lane_change_duration_s"": 1.7448462300002574, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,4.659555916601639,19.537034601454508,12,"{""first_intrusion_s"": 1.65, ""lane_change_complete_s"": 3.4}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
