strategy,action,p_phi,mean_q,positive_support
AdaTE-QP-H,0,0.1,0.1052349895343154,True
AdaTE-QP-H,1,0.8,0.7919203921364483,True
AdaTE-QP-H,2,0.1,0.10284461832931752,True
Equal-Mixture-H,0,0.1,0.10544377435565065,True
Equal-Mixture-H,1,0.8,0.7923271427897234,True
Equal-Mixture-H,2,0.1,0.1022290828546984,True
NDE-phi-H,0,0.1,0.10000000000000783,True
NDE-phi-H,1,0.8,0.8000000000000627,True
NDE-phi-H,2,0.1,0.10000000000000783,True
Single-SM-0,0,0.1,0.10336644625217571,True
Single-SM-0,1,0.8,0.7942654120401395,True
Single-SM-0,2,0.1,0.10236814170776388,True
Single-SM-1,0,0.1,0.1030587920976471,True
Single-SM-1,1,0.8,0.79718825383872,True
Single-SM-1,2,0.1,0.09975295406370674,True
Single-SM-2,0,0.1,0.10490150397560678,True
Single-SM-2,1,0.8,0.7909048335000898,True
Single-SM-2,2,0.1,0.10419366252438471,True
Uniform-QP-H,0,0.1,0.10365604610189783,True
Uniform-QP-H,1,0.8,0.7942754720662067,True
Uniform-QP-H,2,0.1,0.10206848183196487,True
