seed,target_profile,strategy,case_dir,estimate,variance,ci95_half_width,relative_half_width,mean_weight,max_weight,ess,events
20260917,AV-Reference-IDM,AdaTE-QP-H,seed_20260917\target_AV-Reference-IDM,0.009555384101246612,0.00032925327867505466,0.002222803862943723,0.23262318284554698,1.0038607189569368,6.355278519995663,51.985510030594426,203
20260917,AV-Reference-IDM,Equal-Mixture-H,seed_20260917\target_AV-Reference-IDM,0.008638238697489172,0.00020293912086531162,0.001745094605597382,0.2020197249358968,0.9321059206986378,6.536969435605503,47.72264184961934,175
20260917,AV-Reference-IDM,NDE-phi-H,seed_20260917\target_AV-Reference-IDM,0.0078125,0.007781862745098039,0.010806321197272801,1.3832091132509186,1.0,1.0,256.0,2
20260917,AV-Reference-IDM,Single-SM-0,seed_20260917\target_AV-Reference-IDM,0.015248155601021636,0.001695940744338382,0.0050447706384659195,0.3308446457700049,1.0102763157200587,8.288480109484201,51.56384057798391,122
20260917,AV-Reference-IDM,Single-SM-1,seed_20260917\target_AV-Reference-IDM,0.010787957069212152,0.010581996693609805,0.012601431977496929,1.1681017913447458,0.8757491622396503,5.084199220589745,52.576349167865985,183
20260917,AV-Reference-IDM,Single-SM-2,seed_20260917\target_AV-Reference-IDM,0.010598089788410429,0.0015646061552163318,0.00484550008943505,0.4572050422458074,0.9001820032578959,7.370588484139012,45.13609219638742,210
20260917,AV-Reference-IDM,Uniform-QP-H,seed_20260917\target_AV-Reference-IDM,0.010346431443133047,0.00020092324471029935,0.0017364056095664773,0.16782652251747476,0.9184081401472515,6.227751497180941,48.94820729320574,159
