snapshot_id,scenario_id,source_profile,seed,action_history,source_state,source_criticality
sc_00000,fast_intrusion_g5_dvm10,SUT-A,20260915,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00030790322532256453
sc_00001,fast_intrusion_g5_dvm10,SUT-A,20260915,[0],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.0020898449614644055
sc_00002,fast_intrusion_g5_dvm10,SUT-A,20260915,"[0, 1]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.008063424552977087
sc_00003,fast_intrusion_g5_dvm10,SUT-A,20260915,"[0, 1, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 3, 0]",0.06798523920277756
sc_00004,fast_intrusion_g5_dvm10,SUT-A,20260915,"[0, 1, 2, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.15685843800505003
sc_00005,fast_intrusion_g5_dvm10,SUT-A,20260915,"[0, 1, 2, 2, 1]","[1, 2, -5, 13, 0, 0, 1, 1, 5, 0]",0.5578231811523438
sc_00006,fast_intrusion_g5_dvm10,SUT-A,20260916,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00030790322532256453
sc_00007,fast_intrusion_g5_dvm10,SUT-A,20260916,[1],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.0020898449614644055
sc_00008,fast_intrusion_g5_dvm10,SUT-A,20260916,"[1, 1]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.008063424552977087
sc_00009,fast_intrusion_g5_dvm10,SUT-A,20260916,"[1, 1, 0]","[2, 2, -5, 13, 0, 0, 1, 0, 3, 0]",0.06798523920277756
sc_00010,fast_intrusion_g5_dvm10,SUT-A,20260916,"[1, 1, 0, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.15685843800505003
sc_00011,fast_intrusion_g5_dvm10,SUT-A,20260916,"[1, 1, 0, 2, 0]","[1, 2, -5, 13, 0, 0, 1, 1, 5, 0]",0.5578231811523438
sc_00012,fast_intrusion_g5_dvm10,SUT-A,20260917,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00030790322532256453
sc_00013,fast_intrusion_g5_dvm10,SUT-A,20260917,[2],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.0020898449614644055
sc_00014,fast_intrusion_g5_dvm10,SUT-A,20260917,"[2, 1]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.008063424552977087
sc_00015,fast_intrusion_g5_dvm10,SUT-A,20260917,"[2, 1, 1]","[2, 2, -5, 13, 0, 0, 1, 0, 3, 0]",0.06798523920277756
sc_00016,fast_intrusion_g5_dvm10,SUT-A,20260917,"[2, 1, 1, 0]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.15685843800505003
sc_00017,fast_intrusion_g5_dvm10,SUT-A,20260918,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00030790322532256453
sc_00018,fast_intrusion_g5_dvm10,SUT-A,20260918,[0],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.0020898449614644055
sc_00019,fast_intrusion_g5_dvm10,SUT-A,20260918,"[0, 2]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.008063424552977087
sc_00020,fast_intrusion_g5_dvm10,SUT-A,20260918,"[0, 2, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 3, 0]",0.06798523920277756
sc_00021,fast_intrusion_g5_dvm10,SUT-A,20260918,"[0, 2, 2, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.15685843800505003
sc_00022,fast_intrusion_g5_dvm10,SUT-A,20260918,"[0, 2, 2, 2, 0]","[1, 2, -5, 13, 0, 0, 1, 1, 5, 0]",0.5578231811523438
sc_00023,fast_intrusion_g5_dvm6,SUT-A,20261015,[],"[3, 2, -3, 12, 0, 0, 1, 0, 0, 0]",0.0004766512347437442
sc_00024,fast_intrusion_g5_dvm6,SUT-A,20261015,[0],"[2, 2, -3, 13, 0, 0, 1, 0, 1, 0]",0.005719381586931646
sc_00025,fast_intrusion_g5_dvm6,SUT-A,20261015,"[0, 2]","[2, 2, -3, 13, 0, 0, 1, 0, 2, 0]",0.027570996028780943
sc_00026,fast_intrusion_g5_dvm6,SUT-A,20261015,"[0, 2, 0]","[2, 2, -3, 13, 0, 0, 1, 0, 3, 0]",0.11648385915756228
sc_00027,fast_intrusion_g5_dvm6,SUT-A,20261015,"[0, 2, 0, 1]","[1, 2, -3, 13, 0, 0, 1, 0, 4, 0]",0.30387565898895263
sc_00028,fast_intrusion_g5_dvm6,SUT-A,20261015,"[0, 2, 0, 1, 1]","[1, 2, -3, 13, 0, 0, 1, 1, 5, 0]",0.600708453655243
sc_00029,fast_intrusion_g5_dvm6,SUT-A,20261016,[],"[3, 2, -3, 12, 0, 0, 1, 0, 0, 0]",0.0004766512347437442
sc_00030,fast_intrusion_g5_dvm6,SUT-A,20261016,[1],"[2, 2, -3, 13, 0, 0, 1, 0, 1, 0]",0.005719381586931646
sc_00031,fast_intrusion_g5_dvm6,SUT-A,20261016,"[1, 2]","[2, 2, -3, 13, 0, 0, 1, 0, 2, 0]",0.027570996028780943
sc_00032,fast_intrusion_g5_dvm6,SUT-A,20261016,"[1, 2, 1]","[2, 2, -3, 13, 0, 0, 1, 0, 3, 0]",0.11648385915756228
sc_00033,fast_intrusion_g5_dvm6,SUT-A,20261016,"[1, 2, 1, 1, 1]","[1, 2, -3, 13, 0, 0, 1, 1, 5, 0]",0.600708453655243
sc_00034,fast_intrusion_g5_dvm6,SUT-A,20261017,[],"[3, 2, -3, 12, 0, 0, 1, 0, 0, 0]",0.0004766512347437442
