step,target_sut,method_variant,response,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4
1,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
2,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
3,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
4,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
5,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
6,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
7,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
8,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
9,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
10,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
11,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
12,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
13,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
14,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
15,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
16,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
17,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
18,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
19,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
20,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
1,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
2,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
3,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
4,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
5,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
6,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
7,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
8,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
9,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
10,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
