target_sut,method_variant,response,critical_count_at_budget,collision_count_at_budget,held_out_response_mse,final_alpha,budget
SUT-A,Uniform-Mixture-H,vulnerability,20,19,0.025888943586469006,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,20,19,0.025888943586469006,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-staticK2,vulnerability,20,19,0.025888943586469006,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-staticK4,vulnerability,20,19,0.025888943586469006,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-sequential,vulnerability,20,19,0.05920879331309676,"[3.848655242460982e-18, 0.31023008442414113, 0.3102300844241376, 0.06930974672758478, 0.3102300844241366]",20
SUT-A,Uniform-Mixture-H,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-staticK1,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-staticK2,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-staticK4,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-sequential,collision,20,19,0.02023319598826139,"[5.511255444077315e-09, 0.27777777634701617, 0.27777777634701595, 0.16666666544769645, 0.27777777634701595]",20
SUT-B,Uniform-Mixture-H,vulnerability,18,12,0.04083527141288133,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,18,12,0.04083527141288133,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,18,12,0.04083527141288133,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,18,12,0.04083527141288133,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-sequential,vulnerability,18,12,0.06517711834288012,"[8.326672684688674e-17, 0.0, 0.897690476631984, 0.10230952336801587, 2.8672155290067088e-18]",20
SUT-B,Uniform-Mixture-H,collision,17,12,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-staticK1,collision,17,12,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-staticK2,collision,17,12,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-staticK4,collision,17,12,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-sequential,collision,17,12,0.00012860082479987964,"[0.08333333391346719, 0.0, 0.08333333389018734, 0.8333333321963453, 3.9880515398669333e-16]",20
SUT-C,Uniform-Mixture-H,vulnerability,20,20,0.029744984991941333,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-staticK1,vulnerability,20,20,0.029744984991941333,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-staticK2,vulnerability,20,20,0.029744984991941333,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-staticK4,vulnerability,20,20,0.029744984991941333,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-sequential,vulnerability,20,20,0.07192301998112462,"[0.0, 1.519133799310346e-08, 0.4999999886113242, 7.586011183157229e-09, 0.4999999886113266]",20
SUT-C,Uniform-Mixture-H,collision,20,20,0.022592592592592595,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-staticK1,collision,20,20,0.022592592592592595,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-staticK2,collision,20,20,0.022592592592592595,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-staticK4,collision,20,20,0.022592592592592595,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-sequential,collision,20,20,0.0347222206948668,"[0.0, 3.1977865279364526e-08, 0.49999997811863794, 1.1784858644503515e-08, 0.49999997811863806]",20
SUT-D,Uniform-Mixture-H,vulnerability,20,18,0.037963453829489645,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-staticK1,vulnerability,20,18,0.037963453829489645,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-staticK2,vulnerability,20,18,0.037963453829489645,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-staticK4,vulnerability,20,18,0.037963453829489645,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
