protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
paper_nm,RMS-H,SUT-C,20,3,4,8,False,0,0,24,24,24,0,0,0.0,125.20000000000002,5.590854800015222,0.0016475999873364344,2.2999884095042944e-06,1.437699680511182,5.814957100010361
paper_nm,2SMS-H,SUT-C,20,4,4,1,False,0,0,27,27,27,0,0,0.0,118.00000000000001,5.491603500020574,0.0022001999750500545,2.900022082030773e-06,2.0338983050847452,5.718494300002931
paper_nm,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,428,0,0.0,35.20000000000001,1.8494711999519495,0.09565400001883972,0.664926099969307,34.090909090909086,2.9179634999891277
paper_nm,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,402,0,0.0,36.00000000000001,1.9260678000282496,0.11832679997314699,0.6833711999497609,33.33333333333333,3.024951500003226
matched_nm100,RMS-H,SUT-C,20,8,10,1,False,0,0,1100,1100,1100,0,0,0.0,98.60000000000001,4.742753399958019,0.04840150004019961,1.8199963960796595e-05,4.86815415821501,5.018575599999167
matched_nm100,2SMS-H,SUT-C,20,4,9,1,False,0,0,900,900,900,0,0,0.0,122.20000000000003,5.562128500008839,0.062355500005651265,5.199995939619839e-06,1.963993453355155,5.864056099992013
matched_nm100,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,407,0,0.0,35.400000000000006,1.8061484999925597,0.10385759999917354,0.6489703999977792,33.89830508474576,2.8372812000015983
matched_nm100,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,411,0,0.0,34.800000000000004,1.6776862000115216,0.09702060003473889,0.6358808999357279,34.48275862068965,2.6766558999952395
