build,seed,index,mode,gap,relative_speed,timing,intensity,ego_collision,near_miss,completed,min_ttc,min_clearance,fault_active_steps
merge_blind06,20291202,0,fast_intrusion,29.324063804000616,-3.87664432823658,0.6846554407849909,0.5660843277350068,False,False,True,4.882641347635795,16.58600260904734,12
merge_blind06,20291202,1,fast_intrusion,33.93234702106565,-7.539517356082797,0.35315892696380613,0.2204840305261314,False,False,True,3.218321939635654,14.955378704859385,12
merge_blind06,20291202,2,fast_intrusion,40.671285297721624,-3.044106626883149,0.7665913287550211,0.9050418560393155,False,False,True,8.558281315197002,28.58493833969598,12
merge_blind06,20291202,3,fast_intrusion,22.49747522827238,-5.393295291811228,0.19559590946882965,0.3365838911384344,False,False,True,2.8508886277093692,8.890492919103622,12
merge_blind06,20291202,4,fast_intrusion,20.847100278362632,-2.181417252868414,0.42493372289463877,0.4084169689565897,False,False,True,5.572341089166008,11.6805622192457,12
merge_blind06,20291202,5,fast_intrusion,42.33000208530575,-6.4053543377667665,0.5284645550884307,0.7505085092969239,False,False,True,4.776897631174845,24.425872956766874,12
merge_blind06,20291202,6,fast_intrusion,35.64861001633108,-4.8857504185289145,0.12722634049132467,0.06418624622747303,False,False,True,5.50181170813384,23.36677699125528,12
merge_blind06,20291202,7,fast_intrusion,27.599457160569727,-6.673921562731266,0.9193772054277362,0.6361667009070516,False,False,True,2.344073339752008,7.019395586470154,12
merge_blind06,20291202,8,fast_intrusion,25.181566609069705,-3.202951403334737,0.08677931167185307,0.829637681785971,False,False,True,5.4626171480997225,15.515519064867235,12
merge_blind06,20291202,9,fast_intrusion,37.43513042572886,-5.353836666792631,0.8684178752824665,0.49803803116083145,False,False,True,4.633737323016209,20.659824423316977,12
merge_blind06,20291202,10,fast_intrusion,44.33953310362995,-3.8705108985304832,0.4618304708972573,0.7117250820621849,False,False,True,8.154312417700545,31.639010182674575,12
merge_blind06,20291202,11,fast_intrusion,18.62519020680338,-7.707517405971885,0.582973948121071,0.15737763037905098,True,False,False,1.0023433360063916,0.0,12
merge_blind06,20291202,12,fast_intrusion,23.665367681533098,-4.367103574797511,0.7964912679977716,0.20112072443589568,False,False,True,3.1829816264897666,9.330347742567142,12
merge_blind06,20291202,13,fast_intrusion,39.29430968966335,-7.079041630029678,0.24303982919082046,0.5291978819295764,False,False,True,4.264339497481308,22.27135198377573,12
merge_blind06,20291202,14,fast_intrusion,32.3553740568459,-2.5715226717293262,0.6512741032056512,0.3137596435844898,False,False,True,7.737906427344773,21.902869428345838,12
merge_blind06,20291202,15,fast_intrusion,30.266370727680624,-5.847522923722863,0.3091966235078871,0.8716158554889263,False,False,True,3.707001784491048,15.395660475611436,12
merge_blind06,20291202,16,cutin_braking,26.91333132982254,-4.9652345441281796,0.12915191343054178,0.8903239155188204,False,False,True,1.7138589536742235,5.709968451109631,12
merge_blind06,20291202,17,cutin_braking,48.62920245528221,-3.9566884096711874,0.7275149037130177,0.2197827803902328,False,False,True,8.659657682555055,32.742473118765474,12
merge_blind06,20291202,18,cutin_braking,34.841422498226166,-6.514911524951458,0.4237584132701159,0.6332322007976473,False,False,True,3.034681935115046,12.120224318595973,12
merge_blind06,20291202,19,cutin_braking,24.623596876859665,-2.4126161951571703,0.7123216522857547,0.4812149597331882,False,False,True,6.025159113939838,14.558624108053294,12
merge_blind06,20291202,20,cutin_braking,21.162756621837616,-5.858382614329457,0.9018579800613226,0.36103722276166084,False,False,True,2.0930204355225333,2.9030703408568854,12
merge_blind06,20291202,21,cutin_braking,39.380509823560715,-1.5685872063040733,0.17825058093294505,0.5253335345536471,False,False,True,11.540885959982269,28.63237244993445,12
merge_blind06,20291202,22,cutin_braking,45.090286791324615,-4.308450913056731,0.5513823790475727,0.11539799571037293,False,False,True,7.451480539362711,30.03433093978279,12
merge_blind06,20291202,23,cutin_braking,31.374488204717636,-3.112404879182577,0.3616962540894747,0.7736635469831527,False,False,True,5.992809337852761,16.92567485329326,12
merge_blind06,20291202,24,cutin_braking,32.82938227057457,-6.73282783664763,0.5988149764947593,0.5975947331637145,False,False,True,2.9765508522932103,10.03658741942715,12
merge_blind06,20291202,25,cutin_braking,42.61158901453018,-1.8336588591337204,0.3108149477280676,0.2910272155888379,False,False,True,13.657579462724637,31.942709705504598,12
merge_blind06,20291202,26,cutin_braking,40.91755720973015,-5.288570879027247,0.8402547292411328,0.7852261410094798,False,False,True,5.456088834189116,20.883915284582656,12
merge_blind06,20291202,27,cutin_braking,18.633399665355682,-3.295651275664568,0.24330596048384906,0.10070500895380974,False,False,True,3.367201908420902,6.570767276290951,12
merge_blind06,20291202,28,cutin_braking,23.07873699069023,-4.445068407803774,0.4748233654536307,0.20728551698848607,False,False,True,3.252211777660207,8.368059959992252,12
merge_blind06,20291202,29,cutin_braking,37.3629669547081,-2.6396487038582563,0.6648255082778634,0.9076013447716833,False,False,True,6.545471668522242,23.115321568960127,12
merge_blind06,20291202,30,cutin_braking,47.16649588942528,-5.889482632279396,0.06413603443652392,0.4098850509151816,False,False,True,5.6564667278917415,27.085532411624087,12
merge_blind06,20291202,31,cutin_braking,29.384216606616974,-1.177813732996583,0.7889653943479061,0.7006613596342505,False,False,True,11.901458600937499,21.35147431769957,12
merge_blind06,20291202,32,lead_braking,26.84903941117227,-6.278156902641058,0.5432792018167675,0.39275811119005083,False,False,True,4.401864781325556,16.650777124375324,0
merge_blind06,20291202,33,lead_braking,48.99420341476798,-2.536865996196866,0.2833914107643068,0.8774150394834579,False,False,True,4.130816323347076,31.59598194858762,0
merge_blind06,20291202,34,lead_braking,42.197399185970426,-4.513601636514068,0.9173823610879481,0.22033865982666612,False,False,True,9.808765932038837,31.16534786575292,0
merge_blind06,20291202,35,lead_braking,33.177093639969826,-2.24885044246912,0.24891684921458362,0.7051118920557201,False,False,True,5.890041795391798,23.946007441530085,0
merge_blind06,20291202,36,lead_braking,30.056852148845792,-5.01000701636076,0.44768124669790266,0.5919651033356786,False,False,True,5.989073910903535,19.322180063866185,0
merge_blind06,20291202,37,lead_braking,37.905309572815895,-1.2745526637881994,0.7221739273518325,0.10642626136541367,False,False,True,34.79814202480213,32.62602079342963,0
merge_blind06,20291202,38,lead_braking,44.70208368264139,-6.245383175089955,0.09188398960977792,0.7641935780644418,False,False,True,3.4631631709520256,24.324085191561238,0
merge_blind06,20291202,39,lead_braking,23.7288280390203,-3.9865141324698925,0.7452914392575622,0.27853758055716754,False,False,True,6.297180071641652,17.03961673304434,0
merge_blind06,20291202,40,lead_braking,20.308194868266582,-4.04845336265862,0.1542900658212602,0.053113473858684306,False,False,True,5.293147047107929,13.51614976983997,0
merge_blind06,20291202,41,lead_braking,44.34317589737475,-1.8129989318549633,0.7936421434395016,0.5378867027349771,False,False,True,7.770694175567031,34.74393844978607,0
merge_blind06,20291202,42,lead_braking,35.67119995132089,-6.784241430461407,0.4133941707201302,0.3380612996406853,False,False,True,5.40720575690496,22.151747737797862,0
merge_blind06,20291202,43,lead_braking,28.511420814320445,-3.02537246607244,0.6457059429027141,0.8227182312868536,False,False,True,4.887144527725362,20.10257049904871,0
merge_blind06,20291202,44,lead_braking,32.77398148551583,-5.692378496751189,0.8409481775015594,0.9349060749635101,False,False,True,3.179896886675579,17.171453048628422,0
merge_blind06,20291202,45,lead_braking,38.76191887073219,-3.4510876908898354,0.21467664986848833,0.4492500741034746,False,False,True,7.493429783322487,28.273468157401823,0
