seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20290325,idm_mobil,gap_q1,80,25,18,0.3125,0
20290325,idm_mobil,gap_q2,80,6,4,0.075,0
20290325,idm_mobil,gap_q3,80,0,0,0.0,0
20290325,idm_mobil,gap_q4,80,0,0,0.0,0
20290325,idm_mobil,all,320,31,22,0.096875,0
20290325,mcts_cv,gap_q1,80,28,18,0.35,2
20290325,mcts_cv,gap_q2,80,15,8,0.1875,4
20290325,mcts_cv,gap_q3,80,10,3,0.125,6
20290325,mcts_cv,gap_q4,80,4,0,0.05,2
20290325,mcts_cv,all,320,57,29,0.178125,14
20290325,ppo_ece,gap_q1,80,19,9,0.2375,0
20290325,ppo_ece,gap_q2,80,7,0,0.0875,0
20290325,ppo_ece,gap_q3,80,1,0,0.0125,0
20290325,ppo_ece,gap_q4,80,0,0,0.0,0
20290325,ppo_ece,all,320,27,9,0.084375,0
20290325,vi_ttc,gap_q1,80,41,30,0.5125,15
20290325,vi_ttc,gap_q2,80,22,12,0.275,11
20290325,vi_ttc,gap_q3,80,14,3,0.175,10
20290325,vi_ttc,gap_q4,80,9,0,0.1125,7
20290325,vi_ttc,all,320,86,45,0.26875,43
