seed,target,index,mode,frequency_hz,event_5hz,collision_5hz,event_new,collision_new,min_ttc_new,min_clearance_new
20290729,mcts_cv,233,stop_and_go,10,True,False,True,False,1.009019047208455,0.3644795688704973
20290729,mcts_cv,233,stop_and_go,20,True,False,True,False,1.2488877496894673,0.620641264405676
20290729,mcts_cv,239,stop_and_go,10,False,False,False,False,3.4381767192639137,1.959912139594822
20290729,mcts_cv,239,stop_and_go,20,False,False,False,False,3.4381767192639137,1.9752770354639224
20290729,mcts_cv,241,stop_and_go,10,True,False,True,True,0.9009036861293455,0.1296554483972443
20290729,mcts_cv,241,stop_and_go,20,True,False,False,False,2.155623935592814,1.9177577883985097
20290729,mcts_cv,243,stop_and_go,10,False,False,False,False,7.601834294894352,1.9973784312674483
20290729,mcts_cv,243,stop_and_go,20,False,False,False,False,7.601834294894352,1.9950468981837879
20290729,mcts_cv,245,stop_and_go,10,False,False,False,False,34.22643837469941,2.5810685486843283
20290729,mcts_cv,245,stop_and_go,20,False,False,False,False,11.750927711436738,2.538081442018097
20290729,mcts_cv,247,stop_and_go,10,True,False,False,False,2.5802936467109814,1.9753636767171423
20290729,mcts_cv,247,stop_and_go,20,True,False,False,False,2.5802936467109814,1.986468092784302
20290729,mcts_cv,251,stop_and_go,10,False,False,False,False,4.417489607187872,1.998239270083855
20290729,mcts_cv,251,stop_and_go,20,False,False,False,False,4.417489607187872,1.9981213450323754
20290729,mcts_cv,258,slow_lead_following,10,True,True,True,False,1.898695124228777,0.980494629807146
20290729,mcts_cv,258,slow_lead_following,20,True,True,False,False,1.898695124228777,1.4118458207906126
20290729,mcts_cv,270,slow_lead_following,10,True,True,False,False,2.6742135871045365,1.999818765333056
20290729,mcts_cv,270,slow_lead_following,20,True,True,False,False,2.6742135871045365,1.9999137001359597
20290729,mcts_cv,272,slow_lead_following,10,True,True,True,True,1.9983897885139632,0.0
20290729,mcts_cv,272,slow_lead_following,20,True,True,True,False,1.9983897885139632,0.6729260473951797
20290729,mcts_cv,274,slow_lead_following,10,False,False,False,False,2.85090318366711,3.281308293210428
20290729,mcts_cv,274,slow_lead_following,20,False,False,False,False,2.85090318366711,3.1892068516005154
20290729,mcts_cv,282,slow_lead_following,10,True,True,True,False,2.100631156969445,0.7772064774436678
20290729,mcts_cv,282,slow_lead_following,20,True,True,False,False,2.2855186850263887,1.5848287150045868
20290729,mcts_cv,292,slow_lead_following,10,False,False,False,False,2.7049140797203854,1.6760073862462832
20290729,mcts_cv,292,slow_lead_following,20,False,False,False,False,2.7049140797203854,1.692331862965105
20290729,mcts_cv,294,slow_lead_following,10,False,False,False,False,3.3967368249378826,4.091822092687568
20290729,mcts_cv,294,slow_lead_following,20,False,False,False,False,3.3967368249378826,4.0130531564615515
20290729,mcts_cv,298,slow_lead_following,10,True,False,False,False,2.0029037736822204,1.4132607825655683
20290729,mcts_cv,298,slow_lead_following,20,True,False,False,False,2.0029037736822204,1.6774674459419663
20290729,mcts_cv,302,slow_lead_following,10,False,False,False,False,4.734424962415302,12.253657558319787
20290729,mcts_cv,302,slow_lead_following,20,False,False,False,False,4.734424962415302,12.144371630180101
20290729,mcts_cv,304,slow_lead_following,10,False,False,False,False,2.8305068607588586,4.165067276451396
20290729,mcts_cv,304,slow_lead_following,20,False,False,False,False,2.8305068607588586,4.239511563163156
20290729,mcts_cv,306,slow_lead_following,10,False,False,False,False,3.051657334527542,6.019427568251609
20290729,mcts_cv,306,slow_lead_following,20,False,False,False,False,3.051657334527542,5.885444501041062
20290729,mcts_cv,312,slow_lead_following,10,True,True,True,True,2.2958056575786556,0.0
20290729,mcts_cv,312,slow_lead_following,20,True,True,False,False,2.2958056575786556,1.999916127760334
20290729,mcts_cv,318,slow_lead_following,10,False,False,False,False,1.9023041169596673,1.8560587700417404
20290729,mcts_cv,318,slow_lead_following,20,False,False,False,False,1.7347305733670664,1.8040325105787802
20290729,vi_ttc,1,fast_intrusion,10,False,False,False,False,2.9498383018611225,1.9590044315424255
20290729,vi_ttc,1,fast_intrusion,20,False,False,False,False,3.006152198106631,1.9714473088171183
20290729,vi_ttc,4,fast_intrusion,10,True,False,True,False,0.9028333627916943,0.5830272878542161
20290729,vi_ttc,4,fast_intrusion,20,True,False,True,False,0.9225853243492327,0.6663539300472556
20290729,vi_ttc,6,fast_intrusion,10,True,False,True,False,1.2251107987957703,1.7184601368516015
20290729,vi_ttc,6,fast_intrusion,20,True,False,True,False,1.1849980485819813,1.6955570797533073
20290729,vi_ttc,7,fast_intrusion,10,True,True,True,True,4.02028012398596,0.0
20290729,vi_ttc,7,fast_intrusion,20,True,True,True,True,4.061481649523585,0.0190144675282489
20290729,vi_ttc,10,fast_intrusion,10,True,False,True,False,0.7599106839219362,1.2970766806366056
20290729,vi_ttc,10,fast_intrusion,20,True,False,True,False,0.8199568503169331,1.3214318114615138
20290729,vi_ttc,11,fast_intrusion,10,True,False,True,False,2.0631114164570925,0.9238416955451547
