strategy,action,p_phi,mean_q,positive_support
AdaTE-QP-H,0,0.1,0.10424116990777506,True
AdaTE-QP-H,1,0.8,0.7941039866148437,True
AdaTE-QP-H,2,0.1,0.10165484347745056,True
Equal-Mixture-H,0,0.1,0.10552702690806963,True
Equal-Mixture-H,1,0.8,0.7920126342113222,True
Equal-Mixture-H,2,0.1,0.10246033888066984,True
NDE-phi-H,0,0.1,0.10000000000000647,True
NDE-phi-H,1,0.8,0.8000000000000518,True
NDE-phi-H,2,0.1,0.10000000000000647,True
Single-SM-0,0,0.1,0.1032794854286192,True
Single-SM-0,1,0.8,0.7936421709201215,True
Single-SM-0,2,0.1,0.10307834365133012,True
Single-SM-1,0,0.1,0.1036403784142544,True
Single-SM-1,1,0.8,0.797010511906033,True
Single-SM-1,2,0.1,0.09934910967977409,True
Single-SM-2,0,0.1,0.10475275620600275,True
Single-SM-2,1,0.8,0.7906599701374007,True
Single-SM-2,2,0.1,0.10458727365666541,True
Uniform-QP-H,0,0.1,0.1037433267183348,True
Uniform-QP-H,1,0.8,0.7941369862614109,True
Uniform-QP-H,2,0.1,0.10211968702031012,True
