method,target_sut,repeat,mode,queries,critical_events_found,critical_events_available,critical_recall_at_50
DETOUR Hierarchy (K=0),SUT-C,0,slow_lead_following,13,7,9,0.7777777777777778
Risk Mining + Adaptation,SUT-C,0,fast_intrusion,9,9,12,0.75
Risk Mining + Adaptation,SUT-C,0,cutin_braking,9,9,16,0.5625
Risk Mining + Adaptation,SUT-C,0,lead_braking,12,12,14,0.8571428571428571
Risk Mining + Adaptation,SUT-C,0,stop_and_go,15,11,13,0.8461538461538461
Risk Mining + Adaptation,SUT-C,0,slow_lead_following,5,5,9,0.5555555555555556
Risk Mining + DETOUR Hierarchy,SUT-C,0,fast_intrusion,10,10,12,0.8333333333333334
Risk Mining + DETOUR Hierarchy,SUT-C,0,cutin_braking,9,9,16,0.5625
Risk Mining + DETOUR Hierarchy,SUT-C,0,lead_braking,12,12,14,0.8571428571428571
Risk Mining + DETOUR Hierarchy,SUT-C,0,stop_and_go,14,10,13,0.7692307692307693
Risk Mining + DETOUR Hierarchy,SUT-C,0,slow_lead_following,5,5,9,0.5555555555555556
DETOUR-Guided Risk Diagnosis,SUT-C,0,fast_intrusion,9,9,12,0.75
DETOUR-Guided Risk Diagnosis,SUT-C,0,cutin_braking,9,9,16,0.5625
DETOUR-Guided Risk Diagnosis,SUT-C,0,lead_braking,12,12,14,0.8571428571428571
DETOUR-Guided Risk Diagnosis,SUT-C,0,stop_and_go,15,11,13,0.8461538461538461
DETOUR-Guided Risk Diagnosis,SUT-C,0,slow_lead_following,5,5,9,0.5555555555555556
Random,SUT-C,0,fast_intrusion,7,0,12,0.0
Random,SUT-C,0,cutin_braking,14,3,16,0.1875
Random,SUT-C,0,lead_braking,9,5,14,0.35714285714285715
Random,SUT-C,0,stop_and_go,8,4,13,0.3076923076923077
Random,SUT-C,0,slow_lead_following,12,1,9,0.1111111111111111
Random,SUT-C,1,fast_intrusion,3,1,12,0.08333333333333333
Random,SUT-C,1,cutin_braking,10,3,16,0.1875
Random,SUT-C,1,lead_braking,10,1,14,0.07142857142857142
Random,SUT-C,1,stop_and_go,15,4,13,0.3076923076923077
Random,SUT-C,1,slow_lead_following,12,2,9,0.2222222222222222
Random,SUT-C,2,fast_intrusion,11,3,12,0.25
Random,SUT-C,2,cutin_braking,12,5,16,0.3125
Random,SUT-C,2,lead_braking,8,1,14,0.07142857142857142
Random,SUT-C,2,stop_and_go,9,1,13,0.07692307692307693
Random,SUT-C,2,slow_lead_following,10,3,9,0.3333333333333333
Random,SUT-C,3,fast_intrusion,12,1,12,0.08333333333333333
Random,SUT-C,3,cutin_braking,11,3,16,0.1875
Random,SUT-C,3,lead_braking,8,0,14,0.0
Random,SUT-C,3,stop_and_go,10,1,13,0.07692307692307693
Random,SUT-C,3,slow_lead_following,9,2,9,0.2222222222222222
Random,SUT-C,4,fast_intrusion,10,4,12,0.3333333333333333
Random,SUT-C,4,cutin_braking,14,1,16,0.0625
Random,SUT-C,4,lead_braking,10,2,14,0.14285714285714285
Random,SUT-C,4,stop_and_go,8,2,13,0.15384615384615385
Random,SUT-C,4,slow_lead_following,8,0,9,0.0
Random,SUT-C,5,fast_intrusion,8,1,12,0.08333333333333333
Random,SUT-C,5,cutin_braking,9,3,16,0.1875
Random,SUT-C,5,lead_braking,12,4,14,0.2857142857142857
Random,SUT-C,5,stop_and_go,9,1,13,0.07692307692307693
Random,SUT-C,5,slow_lead_following,12,1,9,0.1111111111111111
Random,SUT-C,6,fast_intrusion,13,3,12,0.25
Random,SUT-C,6,cutin_braking,10,5,16,0.3125
Random,SUT-C,6,lead_braking,7,3,14,0.21428571428571427
Random,SUT-C,6,stop_and_go,8,0,13,0.0
Random,SUT-C,6,slow_lead_following,12,0,9,0.0
Random,SUT-C,7,fast_intrusion,9,3,12,0.25
Random,SUT-C,7,cutin_braking,7,2,16,0.125
Random,SUT-C,7,lead_braking,15,2,14,0.14285714285714285
Random,SUT-C,7,stop_and_go,10,0,13,0.0
Random,SUT-C,7,slow_lead_following,9,2,9,0.2222222222222222
Random,SUT-C,8,fast_intrusion,6,2,12,0.16666666666666666
Random,SUT-C,8,cutin_braking,12,5,16,0.3125
Random,SUT-C,8,lead_braking,8,3,14,0.21428571428571427
Random,SUT-C,8,stop_and_go,12,3,13,0.23076923076923078
Random,SUT-C,8,slow_lead_following,12,1,9,0.1111111111111111
Random,SUT-C,9,fast_intrusion,3,1,12,0.08333333333333333
Random,SUT-C,9,cutin_braking,13,4,16,0.25
Random,SUT-C,9,lead_braking,12,2,14,0.14285714285714285
Random,SUT-C,9,stop_and_go,13,2,13,0.15384615384615385
Random,SUT-C,9,slow_lead_following,9,1,9,0.1111111111111111
Random,SUT-C,10,fast_intrusion,9,2,12,0.16666666666666666
Random,SUT-C,10,cutin_braking,11,2,16,0.125
Random,SUT-C,10,lead_braking,15,3,14,0.21428571428571427
Random,SUT-C,10,stop_and_go,6,4,13,0.3076923076923077
Random,SUT-C,10,slow_lead_following,9,2,9,0.2222222222222222
Random,SUT-C,11,fast_intrusion,10,2,12,0.16666666666666666
Random,SUT-C,11,cutin_braking,13,5,16,0.3125
Random,SUT-C,11,lead_braking,7,1,14,0.07142857142857142
Random,SUT-C,11,stop_and_go,10,2,13,0.15384615384615385
Random,SUT-C,11,slow_lead_following,10,1,9,0.1111111111111111
Random,SUT-C,12,fast_intrusion,10,2,12,0.16666666666666666
Random,SUT-C,12,cutin_braking,8,3,16,0.1875
Random,SUT-C,12,lead_braking,9,1,14,0.07142857142857142
Random,SUT-C,12,stop_and_go,11,2,13,0.15384615384615385
Random,SUT-C,12,slow_lead_following,12,2,9,0.2222222222222222
Random,SUT-C,13,fast_intrusion,13,3,12,0.25
Random,SUT-C,13,cutin_braking,9,5,16,0.3125
Random,SUT-C,13,lead_braking,8,1,14,0.07142857142857142
Random,SUT-C,13,stop_and_go,10,2,13,0.15384615384615385
Random,SUT-C,13,slow_lead_following,10,2,9,0.2222222222222222
Random,SUT-C,14,fast_intrusion,13,2,12,0.16666666666666666
Random,SUT-C,14,cutin_braking,13,5,16,0.3125
Random,SUT-C,14,lead_braking,7,2,14,0.14285714285714285
Random,SUT-C,14,stop_and_go,8,1,13,0.07692307692307693
Random,SUT-C,14,slow_lead_following,9,0,9,0.0
Random,SUT-C,15,fast_intrusion,12,5,12,0.4166666666666667
Random,SUT-C,15,cutin_braking,7,2,16,0.125
Random,SUT-C,15,lead_braking,8,3,14,0.21428571428571427
Random,SUT-C,15,stop_and_go,13,2,13,0.15384615384615385
Random,SUT-C,15,slow_lead_following,10,2,9,0.2222222222222222
Random,SUT-C,16,fast_intrusion,8,5,12,0.4166666666666667
Random,SUT-C,16,cutin_braking,11,1,16,0.0625
Random,SUT-C,16,lead_braking,9,1,14,0.07142857142857142
Random,SUT-C,16,stop_and_go,10,2,13,0.15384615384615385
Random,SUT-C,16,slow_lead_following,12,0,9,0.0
Random,SUT-C,17,fast_intrusion,6,2,12,0.16666666666666666
Random,SUT-C,17,cutin_braking,9,3,16,0.1875
Random,SUT-C,17,lead_braking,14,4,14,0.2857142857142857
Random,SUT-C,17,stop_and_go,13,3,13,0.23076923076923078
Random,SUT-C,17,slow_lead_following,8,1,9,0.1111111111111111
Random,SUT-C,18,fast_intrusion,7,1,12,0.08333333333333333
Random,SUT-C,18,cutin_braking,13,5,16,0.3125
Random,SUT-C,18,lead_braking,8,0,14,0.0
Random,SUT-C,18,stop_and_go,8,4,13,0.3076923076923077
Random,SUT-C,18,slow_lead_following,14,3,9,0.3333333333333333
Random,SUT-C,19,fast_intrusion,10,1,12,0.08333333333333333
Random,SUT-C,19,cutin_braking,13,5,16,0.3125
Random,SUT-C,19,lead_braking,13,5,14,0.35714285714285715
Random,SUT-C,19,stop_and_go,6,2,13,0.15384615384615385
Random,SUT-C,19,slow_lead_following,8,2,9,0.2222222222222222
DETOUR Hierarchy (K=0),SUT-D,0,fast_intrusion,22,13,16,0.8125
DETOUR Hierarchy (K=0),SUT-D,0,cutin_braking,10,10,21,0.47619047619047616
DETOUR Hierarchy (K=0),SUT-D,0,lead_braking,4,4,23,0.17391304347826086
DETOUR Hierarchy (K=0),SUT-D,0,stop_and_go,4,4,29,0.13793103448275862
DETOUR Hierarchy (K=0),SUT-D,0,slow_lead_following,10,9,11,0.8181818181818182
Risk Mining + Adaptation,SUT-D,0,fast_intrusion,10,9,16,0.5625
Risk Mining + Adaptation,SUT-D,0,cutin_braking,10,10,21,0.47619047619047616
Risk Mining + Adaptation,SUT-D,0,lead_braking,11,10,23,0.43478260869565216
Risk Mining + Adaptation,SUT-D,0,stop_and_go,14,13,29,0.4482758620689655
Risk Mining + Adaptation,SUT-D,0,slow_lead_following,5,5,11,0.45454545454545453
Risk Mining + DETOUR Hierarchy,SUT-D,0,fast_intrusion,10,9,16,0.5625
Risk Mining + DETOUR Hierarchy,SUT-D,0,cutin_braking,11,11,21,0.5238095238095238
Risk Mining + DETOUR Hierarchy,SUT-D,0,lead_braking,9,8,23,0.34782608695652173
Risk Mining + DETOUR Hierarchy,SUT-D,0,stop_and_go,14,13,29,0.4482758620689655
Risk Mining + DETOUR Hierarchy,SUT-D,0,slow_lead_following,6,6,11,0.5454545454545454
DETOUR-Guided Risk Diagnosis,SUT-D,0,fast_intrusion,10,9,16,0.5625
DETOUR-Guided Risk Diagnosis,SUT-D,0,cutin_braking,11,11,21,0.5238095238095238
DETOUR-Guided Risk Diagnosis,SUT-D,0,lead_braking,11,10,23,0.43478260869565216
DETOUR-Guided Risk Diagnosis,SUT-D,0,stop_and_go,14,13,29,0.4482758620689655
DETOUR-Guided Risk Diagnosis,SUT-D,0,slow_lead_following,4,4,11,0.36363636363636365
Random,SUT-D,0,fast_intrusion,11,6,16,0.375
Random,SUT-D,0,cutin_braking,12,6,21,0.2857142857142857
Random,SUT-D,0,lead_braking,9,3,23,0.13043478260869565
Random,SUT-D,0,stop_and_go,10,5,29,0.1724137931034483
Random,SUT-D,0,slow_lead_following,8,3,11,0.2727272727272727
Random,SUT-D,1,fast_intrusion,6,2,16,0.125
Random,SUT-D,1,cutin_braking,6,3,21,0.14285714285714285
Random,SUT-D,1,lead_braking,10,5,23,0.21739130434782608
Random,SUT-D,1,stop_and_go,15,10,29,0.3448275862068966
Random,SUT-D,1,slow_lead_following,13,3,11,0.2727272727272727
Random,SUT-D,2,fast_intrusion,10,4,16,0.25
Random,SUT-D,2,cutin_braking,6,2,21,0.09523809523809523
Random,SUT-D,2,lead_braking,13,6,23,0.2608695652173913
Random,SUT-D,2,stop_and_go,13,7,29,0.2413793103448276
Random,SUT-D,2,slow_lead_following,8,3,11,0.2727272727272727
Random,SUT-D,3,fast_intrusion,11,2,16,0.125
Random,SUT-D,3,cutin_braking,10,6,21,0.2857142857142857
Random,SUT-D,3,lead_braking,6,3,23,0.13043478260869565
Random,SUT-D,3,stop_and_go,8,5,29,0.1724137931034483
Random,SUT-D,3,slow_lead_following,15,4,11,0.36363636363636365
Random,SUT-D,4,fast_intrusion,10,5,16,0.3125
Random,SUT-D,4,cutin_braking,9,3,21,0.14285714285714285
Random,SUT-D,4,lead_braking,13,5,23,0.21739130434782608
Random,SUT-D,4,stop_and_go,10,4,29,0.13793103448275862
Random,SUT-D,4,slow_lead_following,8,1,11,0.09090909090909091
Random,SUT-D,5,fast_intrusion,11,1,16,0.0625
Random,SUT-D,5,cutin_braking,13,5,21,0.23809523809523808
Random,SUT-D,5,lead_braking,11,5,23,0.21739130434782608
Random,SUT-D,5,stop_and_go,8,5,29,0.1724137931034483
Random,SUT-D,5,slow_lead_following,7,1,11,0.09090909090909091
Random,SUT-D,6,fast_intrusion,14,4,16,0.25
Random,SUT-D,6,cutin_braking,10,5,21,0.23809523809523808
Random,SUT-D,6,lead_braking,8,5,23,0.21739130434782608
Random,SUT-D,6,stop_and_go,10,5,29,0.1724137931034483
Random,SUT-D,6,slow_lead_following,8,4,11,0.36363636363636365
Random,SUT-D,7,fast_intrusion,15,3,16,0.1875
Random,SUT-D,7,cutin_braking,9,4,21,0.19047619047619047
Random,SUT-D,7,lead_braking,5,2,23,0.08695652173913043
Random,SUT-D,7,stop_and_go,9,6,29,0.20689655172413793
Random,SUT-D,7,slow_lead_following,12,4,11,0.36363636363636365
Random,SUT-D,8,fast_intrusion,16,5,16,0.3125
Random,SUT-D,8,cutin_braking,5,1,21,0.047619047619047616
Random,SUT-D,8,lead_braking,9,5,23,0.21739130434782608
Random,SUT-D,8,stop_and_go,12,8,29,0.27586206896551724
Random,SUT-D,8,slow_lead_following,8,2,11,0.18181818181818182
Random,SUT-D,9,fast_intrusion,13,5,16,0.3125
Random,SUT-D,9,cutin_braking,9,4,21,0.19047619047619047
Random,SUT-D,9,lead_braking,11,4,23,0.17391304347826086
Random,SUT-D,9,stop_and_go,8,6,29,0.20689655172413793
Random,SUT-D,9,slow_lead_following,9,2,11,0.18181818181818182
Random,SUT-D,10,fast_intrusion,9,4,16,0.25
Random,SUT-D,10,cutin_braking,15,8,21,0.38095238095238093
Random,SUT-D,10,lead_braking,8,3,23,0.13043478260869565
Random,SUT-D,10,stop_and_go,6,6,29,0.20689655172413793
Random,SUT-D,10,slow_lead_following,12,3,11,0.2727272727272727
Random,SUT-D,11,fast_intrusion,12,3,16,0.1875
Random,SUT-D,11,cutin_braking,9,3,21,0.14285714285714285
Random,SUT-D,11,lead_braking,9,4,23,0.17391304347826086
Random,SUT-D,11,stop_and_go,9,4,29,0.13793103448275862
Random,SUT-D,11,slow_lead_following,11,1,11,0.09090909090909091
Random,SUT-D,12,fast_intrusion,11,4,16,0.25
Random,SUT-D,12,cutin_braking,10,5,21,0.23809523809523808
Random,SUT-D,12,lead_braking,11,5,23,0.21739130434782608
Random,SUT-D,12,stop_and_go,9,7,29,0.2413793103448276
Random,SUT-D,12,slow_lead_following,9,3,11,0.2727272727272727
Random,SUT-D,13,fast_intrusion,10,3,16,0.1875
Random,SUT-D,13,cutin_braking,8,4,21,0.19047619047619047
Random,SUT-D,13,lead_braking,13,5,23,0.21739130434782608
Random,SUT-D,13,stop_and_go,10,7,29,0.2413793103448276
Random,SUT-D,13,slow_lead_following,9,1,11,0.09090909090909091
Random,SUT-D,14,fast_intrusion,9,3,16,0.1875
Random,SUT-D,14,cutin_braking,5,2,21,0.09523809523809523
Random,SUT-D,14,lead_braking,14,6,23,0.2608695652173913
Random,SUT-D,14,stop_and_go,11,7,29,0.2413793103448276
Random,SUT-D,14,slow_lead_following,11,2,11,0.18181818181818182
Random,SUT-D,15,fast_intrusion,7,4,16,0.25
Random,SUT-D,15,cutin_braking,9,3,21,0.14285714285714285
Random,SUT-D,15,lead_braking,9,6,23,0.2608695652173913
Random,SUT-D,15,stop_and_go,12,6,29,0.20689655172413793
Random,SUT-D,15,slow_lead_following,13,2,11,0.18181818181818182
Random,SUT-D,16,fast_intrusion,11,3,16,0.1875
Random,SUT-D,16,cutin_braking,13,7,21,0.3333333333333333
Random,SUT-D,16,lead_braking,8,5,23,0.21739130434782608
Random,SUT-D,16,stop_and_go,7,2,29,0.06896551724137931
Random,SUT-D,16,slow_lead_following,11,3,11,0.2727272727272727
Random,SUT-D,17,fast_intrusion,9,5,16,0.3125
Random,SUT-D,17,cutin_braking,9,4,21,0.19047619047619047
Random,SUT-D,17,lead_braking,13,6,23,0.2608695652173913
Random,SUT-D,17,stop_and_go,10,5,29,0.1724137931034483
Random,SUT-D,17,slow_lead_following,9,2,11,0.18181818181818182
Random,SUT-D,18,fast_intrusion,7,4,16,0.25
Random,SUT-D,18,cutin_braking,8,3,21,0.14285714285714285
Random,SUT-D,18,lead_braking,8,3,23,0.13043478260869565
Random,SUT-D,18,stop_and_go,12,6,29,0.20689655172413793
Random,SUT-D,18,slow_lead_following,15,5,11,0.45454545454545453
Random,SUT-D,19,fast_intrusion,6,1,16,0.0625
Random,SUT-D,19,cutin_braking,16,6,21,0.2857142857142857
Random,SUT-D,19,lead_braking,11,7,23,0.30434782608695654
Random,SUT-D,19,stop_and_go,10,5,29,0.1724137931034483
Random,SUT-D,19,slow_lead_following,7,3,11,0.2727272727272727
DETOUR Hierarchy (K=0),SUT-E,0,fast_intrusion,16,7,7,1.0
DETOUR Hierarchy (K=0),SUT-E,0,cutin_braking,16,8,8,1.0
DETOUR Hierarchy (K=0),SUT-E,0,lead_braking,3,2,7,0.2857142857142857
DETOUR Hierarchy (K=0),SUT-E,0,stop_and_go,3,2,11,0.18181818181818182
DETOUR Hierarchy (K=0),SUT-E,0,slow_lead_following,12,3,4,0.75
Risk Mining + Adaptation,SUT-E,0,fast_intrusion,10,7,7,1.0
Risk Mining + Adaptation,SUT-E,0,cutin_braking,10,8,8,1.0
Risk Mining + Adaptation,SUT-E,0,lead_braking,10,7,7,1.0
Risk Mining + Adaptation,SUT-E,0,stop_and_go,14,9,11,0.8181818181818182
Risk Mining + Adaptation,SUT-E,0,slow_lead_following,6,4,4,1.0
Risk Mining + DETOUR Hierarchy,SUT-E,0,fast_intrusion,10,7,7,1.0
Risk Mining + DETOUR Hierarchy,SUT-E,0,cutin_braking,10,8,8,1.0
Risk Mining + DETOUR Hierarchy,SUT-E,0,lead_braking,10,7,7,1.0
Risk Mining + DETOUR Hierarchy,SUT-E,0,stop_and_go,14,9,11,0.8181818181818182
Risk Mining + DETOUR Hierarchy,SUT-E,0,slow_lead_following,6,4,4,1.0
DETOUR-Guided Risk Diagnosis,SUT-E,0,fast_intrusion,10,7,7,1.0
DETOUR-Guided Risk Diagnosis,SUT-E,0,cutin_braking,10,8,8,1.0
DETOUR-Guided Risk Diagnosis,SUT-E,0,lead_braking,11,7,7,1.0
DETOUR-Guided Risk Diagnosis,SUT-E,0,stop_and_go,13,9,11,0.8181818181818182
DETOUR-Guided Risk Diagnosis,SUT-E,0,slow_lead_following,6,4,4,1.0
Random,SUT-E,0,fast_intrusion,8,3,7,0.42857142857142855
Random,SUT-E,0,cutin_braking,14,2,8,0.25
Random,SUT-E,0,lead_braking,4,0,7,0.0
Random,SUT-E,0,stop_and_go,10,1,11,0.09090909090909091
Random,SUT-E,0,slow_lead_following,14,2,4,0.5
Random,SUT-E,1,fast_intrusion,6,1,7,0.14285714285714285
Random,SUT-E,1,cutin_braking,10,2,8,0.25
Random,SUT-E,1,lead_braking,11,2,7,0.2857142857142857
Random,SUT-E,1,stop_and_go,9,3,11,0.2727272727272727
Random,SUT-E,1,slow_lead_following,14,1,4,0.25
Random,SUT-E,2,fast_intrusion,9,3,7,0.42857142857142855
Random,SUT-E,2,cutin_braking,12,1,8,0.125
Random,SUT-E,2,lead_braking,10,1,7,0.14285714285714285
Random,SUT-E,2,stop_and_go,5,1,11,0.09090909090909091
Random,SUT-E,2,slow_lead_following,14,0,4,0.0
Random,SUT-E,3,fast_intrusion,9,1,7,0.14285714285714285
Random,SUT-E,3,cutin_braking,11,3,8,0.375
Random,SUT-E,3,lead_braking,11,3,7,0.42857142857142855
Random,SUT-E,3,stop_and_go,9,2,11,0.18181818181818182
Random,SUT-E,3,slow_lead_following,10,0,4,0.0
Random,SUT-E,4,fast_intrusion,11,1,7,0.14285714285714285
Random,SUT-E,4,cutin_braking,11,1,8,0.125
Random,SUT-E,4,lead_braking,5,1,7,0.14285714285714285
Random,SUT-E,4,stop_and_go,16,3,11,0.2727272727272727
Random,SUT-E,4,slow_lead_following,7,0,4,0.0
Random,SUT-E,5,fast_intrusion,9,1,7,0.14285714285714285
Random,SUT-E,5,cutin_braking,10,0,8,0.0
Random,SUT-E,5,lead_braking,10,0,7,0.0
Random,SUT-E,5,stop_and_go,12,1,11,0.09090909090909091
Random,SUT-E,5,slow_lead_following,9,0,4,0.0
Random,SUT-E,6,fast_intrusion,9,3,7,0.42857142857142855
Random,SUT-E,6,cutin_braking,7,2,8,0.25
Random,SUT-E,6,lead_braking,13,1,7,0.14285714285714285
Random,SUT-E,6,stop_and_go,12,1,11,0.09090909090909091
Random,SUT-E,6,slow_lead_following,9,1,4,0.25
Random,SUT-E,7,fast_intrusion,12,1,7,0.14285714285714285
Random,SUT-E,7,cutin_braking,12,2,8,0.25
Random,SUT-E,7,lead_braking,7,1,7,0.14285714285714285
Random,SUT-E,7,stop_and_go,7,0,11,0.0
Random,SUT-E,7,slow_lead_following,12,1,4,0.25
Random,SUT-E,8,fast_intrusion,8,2,7,0.2857142857142857
Random,SUT-E,8,cutin_braking,8,1,8,0.125
Random,SUT-E,8,lead_braking,13,0,7,0.0
Random,SUT-E,8,stop_and_go,11,1,11,0.09090909090909091
Random,SUT-E,8,slow_lead_following,10,0,4,0.0
Random,SUT-E,9,fast_intrusion,5,2,7,0.2857142857142857
Random,SUT-E,9,cutin_braking,15,1,8,0.125
Random,SUT-E,9,lead_braking,8,0,7,0.0
Random,SUT-E,9,stop_and_go,9,2,11,0.18181818181818182
Random,SUT-E,9,slow_lead_following,13,2,4,0.5
Random,SUT-E,10,fast_intrusion,12,1,7,0.14285714285714285
Random,SUT-E,10,cutin_braking,7,2,8,0.25
Random,SUT-E,10,lead_braking,14,2,7,0.2857142857142857
Random,SUT-E,10,stop_and_go,7,2,11,0.18181818181818182
Random,SUT-E,10,slow_lead_following,10,0,4,0.0
Random,SUT-E,11,fast_intrusion,12,2,7,0.2857142857142857
Random,SUT-E,11,cutin_braking,12,2,8,0.25
