method,target_sut,repeat,mode,queries,critical_events_found,critical_events_available,critical_recall_at_50
Random,SUT-F,3,fast_intrusion,6,4,26,0.15384615384615385
Random,SUT-F,3,cutin_braking,10,8,29,0.27586206896551724
Random,SUT-F,3,lead_braking,13,10,29,0.3448275862068966
Random,SUT-F,3,stop_and_go,7,5,33,0.15151515151515152
Random,SUT-F,3,slow_lead_following,14,5,23,0.21739130434782608
Random,SUT-F,4,fast_intrusion,11,5,26,0.19230769230769232
Random,SUT-F,4,cutin_braking,8,4,29,0.13793103448275862
Random,SUT-F,4,lead_braking,9,7,29,0.2413793103448276
Random,SUT-F,4,stop_and_go,9,5,33,0.15151515151515152
Random,SUT-F,4,slow_lead_following,13,5,23,0.21739130434782608
Random,SUT-F,5,fast_intrusion,9,5,26,0.19230769230769232
Random,SUT-F,5,cutin_braking,12,8,29,0.27586206896551724
Random,SUT-F,5,lead_braking,8,5,29,0.1724137931034483
Random,SUT-F,5,stop_and_go,8,3,33,0.09090909090909091
Random,SUT-F,5,slow_lead_following,13,5,23,0.21739130434782608
Random,SUT-F,6,fast_intrusion,6,2,26,0.07692307692307693
Random,SUT-F,6,cutin_braking,13,8,29,0.27586206896551724
Random,SUT-F,6,lead_braking,10,6,29,0.20689655172413793
Random,SUT-F,6,stop_and_go,12,10,33,0.30303030303030304
Random,SUT-F,6,slow_lead_following,9,4,23,0.17391304347826086
Random,SUT-F,7,fast_intrusion,8,3,26,0.11538461538461539
Random,SUT-F,7,cutin_braking,10,7,29,0.2413793103448276
Random,SUT-F,7,lead_braking,13,5,29,0.1724137931034483
Random,SUT-F,7,stop_and_go,11,8,33,0.24242424242424243
Random,SUT-F,7,slow_lead_following,8,3,23,0.13043478260869565
Random,SUT-F,8,fast_intrusion,12,7,26,0.2692307692307692
Random,SUT-F,8,cutin_braking,11,6,29,0.20689655172413793
Random,SUT-F,8,lead_braking,9,6,29,0.20689655172413793
Random,SUT-F,8,stop_and_go,10,5,33,0.15151515151515152
Random,SUT-F,8,slow_lead_following,8,6,23,0.2608695652173913
Random,SUT-F,9,fast_intrusion,10,5,26,0.19230769230769232
Random,SUT-F,9,cutin_braking,8,3,29,0.10344827586206896
Random,SUT-F,9,lead_braking,8,7,29,0.2413793103448276
Random,SUT-F,9,stop_and_go,12,8,33,0.24242424242424243
Random,SUT-F,9,slow_lead_following,12,7,23,0.30434782608695654
Random,SUT-F,10,fast_intrusion,6,5,26,0.19230769230769232
Random,SUT-F,10,cutin_braking,11,7,29,0.2413793103448276
Random,SUT-F,10,lead_braking,10,7,29,0.2413793103448276
Random,SUT-F,10,stop_and_go,9,7,33,0.21212121212121213
Random,SUT-F,10,slow_lead_following,14,6,23,0.2608695652173913
Random,SUT-F,11,fast_intrusion,11,6,26,0.23076923076923078
Random,SUT-F,11,cutin_braking,15,10,29,0.3448275862068966
Random,SUT-F,11,lead_braking,6,4,29,0.13793103448275862
Random,SUT-F,11,stop_and_go,4,1,33,0.030303030303030304
Random,SUT-F,11,slow_lead_following,14,8,23,0.34782608695652173
Random,SUT-F,12,fast_intrusion,8,4,26,0.15384615384615385
Random,SUT-F,12,cutin_braking,14,9,29,0.3103448275862069
Random,SUT-F,12,lead_braking,10,7,29,0.2413793103448276
Random,SUT-F,12,stop_and_go,10,8,33,0.24242424242424243
Random,SUT-F,12,slow_lead_following,8,4,23,0.17391304347826086
Random,SUT-F,13,fast_intrusion,9,2,26,0.07692307692307693
Random,SUT-F,13,cutin_braking,10,6,29,0.20689655172413793
