strategy,draw,scenario_id,scenario_mode,collision,log_weight,actions,proposal_probabilities,source_q_known_all_steps,source_q_known_steps,episode_steps,reference_distribution
AdaTE-QP-H,76,slow_lead_following_g45_dvm10,slow_lead_following,False,4.440892098500626e-16,"[2, 1, 1, 1, 2, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 1]","[[0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1]]",False,1,35,uniform_scenario_and_declared_phi
AdaTE-QP-H,77,fast_intrusion_g30_dvm10,fast_intrusion,True,1.582067810090848e-15,"[0, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[[0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1]]",False,7,22,uniform_scenario_and_declared_phi
AdaTE-QP-H,78,fast_intrusion_g5_dvm6,fast_intrusion,True,-1.587291636849168,"[1, 1, 2, 2, 1, 1, 2]","[[0.21653989672682467, 0.681318368284661, 0.10214173498851432], [0.08415252090879266, 0.8277777462708865, 0.08806973282032071], [0.3168451108590516, 0.525256216593394, 0.15789867254755421], [0.021891794987326945, 0.5803649612725321, 0.3977432437401408], [0.3431435738629201, 0.6518564261370797, 0.005000000000000001], [0.04419288034010871, 0.8675906464208921, 0.08821647323899895], [0.1, 0.8, 0.1]]",False,6,7,uniform_scenario_and_declared_phi
AdaTE-QP-H,79,fast_intrusion_g5_dvm6,fast_intrusion,True,-0.8939608226390336,"[1, 1, 0, 1, 1, 1]","[[0.21653989672682467, 0.681318368284661, 0.10214173498851432], [0.08415252090879266, 0.8277777462708865, 0.08806973282032071], [0.3168451108590516, 0.525256216593394, 0.15789867254755421], [0.021891794987326945, 0.5803649612725321, 0.3977432437401408], [0.07352455998053525, 0.8903592746095419, 0.03611616540992274], [0.04419288034010871, 0.8675906464208921, 0.08821647323899895]]",True,6,6,uniform_scenario_and_declared_phi
AdaTE-QP-H,80,cutin_braking_g5_dv1,cutin_braking,True,-3.4064238717866733,"[0, 1, 1, 1, 0, 0, 1, 1, 1]","[[0.39557614549516074, 0.583471075342558, 0.02095277916228119], [0.1606039553656237, 0.7617217013057468, 0.07767434332862942], [0.05648816946201331, 0.8639649114271096, 0.07954691911087691], [0.06686865523374465, 0.903767603487265, 0.029363741278990167], [0.25464239215336676, 0.48354379685727167, 0.26181381098936146], [0.2253851844346068, 0.5807129419805718, 0.1939018735848212], [0.05197541180795212, 0.9147779151838238, 0.033246673008224016], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1]]",False,7,9,uniform_scenario_and_declared_phi
AdaTE-QP-H,81,slow_lead_following_g10_dvm6,slow_lead_following,True,0.05789115956702062,"[1, 1, 1, 1]","[[0.16407091522433212, 0.7550021282361705, 0.08092695653949726], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1]]",False,1,4,uniform_scenario_and_declared_phi
AdaTE-QP-H,82,stop_and_go_g30_dvm10,stop_and_go,True,1.3877787807814457e-16,"[1, 1, 1, 1, 2, 2, 0, 1, 2, 1, 0, 1, 0, 1, 1]","[[0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1]]",False,1,15,uniform_scenario_and_declared_phi
AdaTE-QP-H,83,slow_lead_following_g5_dvm10,slow_lead_following,True,0.029569593666678384,[1],"[[0.12622302158273377, 0.7766906474820142, 0.09708633093525178]]",True,1,1,uniform_scenario_and_declared_phi
AdaTE-QP-H,84,slow_lead_following_g5_dvm2,slow_lead_following,True,0.029569593666678384,[1],"[[0.12622302158273377, 0.7766906474820142, 0.09708633093525178]]",True,1,1,uniform_scenario_and_declared_phi
AdaTE-QP-H,85,lead_braking_g45_dvm6,lead_braking,False,1.3877787807814457e-16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]","[[0.09999999999999999, 0.7999999999999999, 0.09999999999999999], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1], [0.1, 0.8, 0.1]]",False,1,35,uniform_scenario_and_declared_phi
