seed,mode,local_index,sut,initial_gap,relative_speed,timing,intensity,ego_collision,background_collision,near_miss,min_ttc,min_polygon_clearance,completed
20290317,fast_intrusion,0,idm_mobil,24.420353477820754,-7.717334598302841,0.5552766825072468,0.9246915860101581,False,False,False,2.388786026979815,1.9837903091691877,True
20290317,fast_intrusion,0,mcts_cv,24.420353477820754,-7.717334598302841,0.5552766825072468,0.9246915860101581,False,False,False,2.7943221861708487,1.7731115669238717,True
20290317,fast_intrusion,0,ppo_ece,24.420353477820754,-7.717334598302841,0.5552766825072468,0.9246915860101581,False,False,False,2.8648224685675037,1.9990629016733006,True
20290317,fast_intrusion,0,vi_ttc,24.420353477820754,-7.717334598302841,0.5552766825072468,0.9246915860101581,False,False,True,0.908354338945818,1.5197478540430267,True
20290317,fast_intrusion,1,idm_mobil,9.602855776436627,7.498282015323639,0.13660409757867456,0.10966125521808863,False,False,False,inf,2.0,True
20290317,fast_intrusion,1,mcts_cv,9.602855776436627,7.498282015323639,0.13660409757867456,0.10966125521808863,False,False,False,inf,2.0,True
20290317,fast_intrusion,1,ppo_ece,9.602855776436627,7.498282015323639,0.13660409757867456,0.10966125521808863,False,False,False,inf,2.0,True
20290317,fast_intrusion,1,vi_ttc,9.602855776436627,7.498282015323639,0.13660409757867456,0.10966125521808863,False,False,False,inf,1.5746774205463792,True
20290317,fast_intrusion,2,idm_mobil,11.725371714681387,-2.1430028676986694,0.812006435636431,0.519411227107048,False,False,False,2.5598683697017233,2.401641671085061,True
20290317,fast_intrusion,2,mcts_cv,11.725371714681387,-2.1430028676986694,0.812006435636431,0.519411227107048,False,False,False,160.4908619042352,8.762331911980555,True
20290317,fast_intrusion,2,ppo_ece,11.725371714681387,-2.1430028676986694,0.812006435636431,0.519411227107048,False,False,False,5.077357495529726,5.430859294600578,True
20290317,fast_intrusion,2,vi_ttc,11.725371714681387,-2.1430028676986694,0.812006435636431,0.519411227107048,True,True,False,0.6499636121153295,0.024250574724419854,False
