seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20271103,idm_mobil,gap_q1,125,52,0,0.416,0
20271103,idm_mobil,gap_q2,125,48,0,0.384,0
20271103,idm_mobil,gap_q3,125,36,0,0.288,0
20271103,idm_mobil,gap_q4,125,32,0,0.256,0
20271103,idm_mobil,all,500,168,0,0.336,0
20271103,vi_ttc,gap_q1,125,125,0,1.0,69
20271103,vi_ttc,gap_q2,125,125,0,1.0,77
20271103,vi_ttc,gap_q3,125,125,0,1.0,89
20271103,vi_ttc,gap_q4,125,123,0,0.984,91
20271103,vi_ttc,all,500,498,0,0.996,326
20271103,mcts_cv,gap_q1,125,5,0,0.04,0
20271103,mcts_cv,gap_q2,125,5,0,0.04,0
20271103,mcts_cv,gap_q3,125,1,0,0.008,0
20271103,mcts_cv,gap_q4,125,0,0,0.0,0
20271103,mcts_cv,all,500,11,0,0.022,0
20271103,ppo_ece,gap_q1,125,17,0,0.136,0
20271103,ppo_ece,gap_q2,125,17,0,0.136,0
20271103,ppo_ece,gap_q3,125,11,0,0.088,0
20271103,ppo_ece,gap_q4,125,10,0,0.08,0
20271103,ppo_ece,all,500,55,0,0.11,0
