seed,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20321117,HistoryMargin-Static,1,274,slow_lead_following,False,True,False,True,True,1.0861750436652924,1.4638604063692386,0.6740604356052677,0.0004918999038636684,0.57042789994739
20321117,HistoryMargin-Static,2,292,slow_lead_following,False,True,False,True,True,1.27063459422371,1.5278420046132306,0.6636804502708273,0.0005368000129237771,0.5782227000454441
20321117,HistoryMargin-Static,3,141,lead_braking,False,True,False,True,True,1.2895184293867803,1.403747464656293,0.6626533812815195,0.0005518000107258558,0.5748900999315083
20321117,HistoryMargin-Static,4,196,stop_and_go,False,True,False,True,True,1.3149602661132218,1.567142975009875,0.6612798136047532,0.0005146999610587955,0.6053997999988496
20321117,HistoryMargin-Static,5,43,fast_intrusion,False,True,False,True,True,0.5474539891780966,0.37867535988890055,0.708299355632436,0.0005262999329715967,0.5785761000588536
20321117,HistoryMargin-Static,6,112,cutin_braking,True,False,True,True,False,0.5249957637855621,0.008115618368497531,1.2098645515358404,0.0006994999712333083,0.14607080002315342
20321117,HistoryMargin-Static,7,118,cutin_braking,True,False,True,True,False,0.4097120157614546,0.0,1.218086166952025,0.0007153999758884311,0.18181810004170984
20321117,HistoryMargin-Static,8,290,slow_lead_following,False,False,False,False,True,1.6268907055887922,1.7590397007590062,0.14535281821766163,0.0009234999306499958,0.5859959999797866
20321117,HistoryMargin-Static,9,262,slow_lead_following,False,False,False,False,True,1.6825761482357606,1.8324167183029236,0.14267969199601324,0.0005250999238342047,0.559235000051558
20321117,HistoryMargin-Static,10,224,stop_and_go,False,False,False,False,True,1.6685655746672725,1.3890576326234578,0.14334759183251328,0.0005220999009907246,0.5793722000671551
20321117,HistoryMargin-Static,11,45,fast_intrusion,True,False,True,True,False,0.5367984567248222,0.015128774493955307,1.209040517947749,0.00048559997230768204,0.1568051999201998
20321117,HistoryMargin-Static,12,63,fast_intrusion,False,True,False,True,True,0.6501469558501284,0.9053769782949236,0.7012897205290097,0.0004918000195175409,0.5698818999808282
20321117,HistoryMargin-Static,13,276,slow_lead_following,False,False,False,False,True,1.7594113639296438,1.6914077974105233,0.13907181622830392,0.0004860999761149287,0.5770336999557912
20321117,HistoryMargin-Static,14,288,slow_lead_following,False,False,False,False,True,1.724134702480258,1.0950517810218248,0.14071679864790548,0.0004913000157102942,0.6188381999963894
20321117,HistoryMargin-Static,15,27,fast_intrusion,False,True,False,True,True,0.5950473033117408,0.4829454028650532,0.705020877775138,0.0004954999312758446,0.574773499974981
20321117,HistoryMargin-Static,16,82,cutin_braking,True,False,True,True,False,0.5150867930250091,0.14264799977642406,1.210558878149898,0.0013713999651372433,0.18972270004451275
20321117,HistoryMargin-Static,17,3,fast_intrusion,False,True,False,True,True,0.9345991092743546,1.5565837690094078,0.6830808541895645,0.0004943000385537744,0.5789999000262469
20321117,HistoryMargin-Static,18,72,cutin_braking,True,False,True,True,False,0.6308985006396532,0.04158467469560598,1.2025853780417288,0.0006140000186860561,0.12185070000123233
20321117,HistoryMargin-Static,19,314,slow_lead_following,False,False,False,False,True,1.915313031864642,1.8521287163667062,0.13202921720739885,0.0004947000415995717,0.5613844000035897
20321117,HistoryMargin-Static,20,149,lead_braking,False,False,False,False,True,2.1392663748936886,1.6595636514306706,0.12253198846601629,0.0004949000431224704,0.5662189999129623
20321117,HistoryMargin-Static,21,302,slow_lead_following,False,False,False,False,True,1.942894889742049,1.900051115231401,0.13082090991057607,0.0005103000439703465,0.5688834999455139
20321117,HistoryMargin-Static,22,61,fast_intrusion,True,False,True,True,False,0.649385810594274,0.026678833129174823,1.2013407972468135,0.0004958999343216419,0.14320189994759858
20321117,HistoryMargin-Static,23,122,cutin_braking,True,False,True,True,False,0.522298657742585,0.0,1.2100533120243533,0.0005098000401630998,0.1676379001000896
20321117,HistoryMargin-Static,24,41,fast_intrusion,True,False,True,True,False,0.6984836862150822,0.0,1.1980724796316764,0.0005692000268027186,0.11357779998797923
20321117,HistoryMargin-Static,25,214,stop_and_go,False,False,False,False,True,2.4168527285240105,1.8363055342569525,0.11170297523753092,0.0006593000143766403,0.5900275999447331
20321117,HistoryMargin-Static,26,175,lead_braking,False,False,False,False,True,3.5125965986475083,1.9809151201055883,0.07752460617347555,0.0005186999915167689,0.5760566000826657
20321117,HistoryMargin-Static,27,218,stop_and_go,False,False,False,False,True,2.5732313053451743,1.9482070519985675,0.10602947796005113,0.0005064000142738223,0.5834510000422597
20321117,HistoryMargin-Static,28,189,lead_braking,False,False,False,False,True,2.220272256856517,1.8305224832098446,0.11926765457686114,0.0005013999762013555,0.5727226999588311
20321117,HistoryMargin-Static,29,153,lead_braking,False,False,False,False,True,2.6259349009283612,1.9310448641209492,0.10418303292214033,0.0004946000408381224,0.5869221000466496
20321117,HistoryMargin-Static,30,310,slow_lead_following,False,False,False,False,True,2.297892412842285,1.9253948012378903,0.11622137530926795,0.0004995999624952674,0.5964135000249371
20321117,HistoryMargin-Static,31,187,lead_braking,False,False,False,False,True,4.391375397751428,1.9746695495152313,0.057839337201428934,0.0004944999236613512,0.5839602999622002
20321117,HistoryMargin-Static,32,157,lead_braking,False,False,False,False,True,4.053882355686507,1.8874712631077948,0.06472624749982567,0.0005030999891459942,0.5769428999628872
20321117,HistoryMargin-Static,33,306,slow_lead_following,False,False,False,False,True,2.3293247367997605,1.8611192332020814,0.1150100296523999,0.0005189999938011169,0.5771140999859199
20321117,HistoryMargin-Static,34,300,slow_lead_following,False,False,False,False,True,2.318875014590607,1.7241691960935757,0.11541133578996826,0.0005070000188425183,0.5816825000802055
20321117,HistoryMargin-Static,35,94,cutin_braking,False,True,False,True,True,0.6852566355348784,0.788631435887146,0.6989477125810848,0.0007383000338450074,0.5629654000513256
20321117,HistoryMargin-Static,36,51,fast_intrusion,False,True,False,True,True,0.6947084991381258,0.7668537495337054,0.6983218900824172,0.0005862000398337841,0.5809497000882402
