protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
paper_nm,RMS-H,SUT-D,20,5,7,3,False,0,0,24,24,24,0,0,0.0,119.40000000000002,5.37447279994376,0.0027522000018507242,6.969999230932444e-05,2.512562814070351,5.57794049999211
paper_nm,2SMS-H,SUT-D,20,1,1,11,False,0,0,21,21,21,0,0,0.0,136.00000000000003,6.233512899969355,0.0017033999902196229,2.4000037228688598e-06,0.4411764705882352,6.431914000000688
paper_nm,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,420,0,0.0,34.60000000000001,1.756489799998235,0.10786010001902469,0.6750544999958947,34.682080924855484,2.807508300000336
paper_nm,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,398,0,0.0,33.400000000000006,1.8102739000314614,0.09980880000512116,0.6142833000340033,35.928143712574844,2.802968299991335
matched_nm100,RMS-H,SUT-D,20,4,6,2,False,0,0,800,800,800,0,0,0.0,120.40000000000003,5.354960099997697,0.036470500024734065,1.659998088143766e-05,1.9933554817275743,5.642592100004549
matched_nm100,2SMS-H,SUT-D,20,5,7,3,False,0,0,800,800,800,0,0,0.0,115.20000000000005,5.112277800042648,0.05019199999514967,4.4000043999403715e-06,2.6041666666666656,5.370581999988644
matched_nm100,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,367,0,0.0,34.800000000000004,1.7228730000351788,0.1082967000111239,0.6617867999884766,34.48275862068965,2.802115099999355
matched_nm100,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,373,0,0.0,35.000000000000014,1.7278942000120878,0.10389070000383072,0.6825867999868933,34.28571428571427,2.8047401000076206
