method,target_sut,repeat,critical_score_at_20,collision_count_at_20,failure_count_at_20,curve
Random Support + Adaptation,SUT-A,11,17.5,17,18,0.000;0.000;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500
Random,SUT-A,12,5.0,4,6,1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;3.000;3.500;3.500;4.000;4.000;4.000;4.000;5.000
Random Support + Adaptation,SUT-A,12,17.5,17,18,1.000;2.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;17.500
Random,SUT-A,13,1.5,1,2,0.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500
Random Support + Adaptation,SUT-A,13,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-A,14,5.0,5,5,0.000;0.000;0.000;1.000;1.000;1.000;1.000;2.000;2.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;4.000;4.000;4.000;5.000
Random Support + Adaptation,SUT-A,14,16.5,16,17,0.500;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500
Random,SUT-A,15,5.0,5,5,1.000;1.000;1.000;2.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;4.000;4.000;4.000;4.000;4.000;5.000
Random Support + Adaptation,SUT-A,15,17.0,17,17,0.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-A,16,1.0,1,1,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
