method,target_sut,repeat,critical_score_at_20,collision_count_at_20,failure_count_at_20,curve
Random,SUT-D,0,1.0,0,2,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;0.500;1.000;1.000;1.000
Random Support + Adaptation,SUT-D,0,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Random,SUT-D,1,2.0,1,3,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;1.500;1.500;1.500;1.500;2.000
Random Support + Adaptation,SUT-D,1,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Random,SUT-D,2,3.0,2,4,0.000;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.500;2.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000
Random Support + Adaptation,SUT-D,2,15.5,13,18,1.000;1.000;1.000;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500;14.500;15.500
Random,SUT-D,3,1.5,1,2,0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.500;1.500;1.500;1.500
Random Support + Adaptation,SUT-D,3,14.5,12,17,0.000;0.000;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500;14.500
Random,SUT-D,4,1.5,1,2,0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500
Random Support + Adaptation,SUT-D,4,15.0,13,17,0.000;0.000;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;14.000;15.000
Random,SUT-D,5,2.0,1,3,0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.000
Random Support + Adaptation,SUT-D,5,15.0,13,17,0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000;15.000
Random,SUT-D,6,2.0,0,4,0.000;0.000;0.000;0.000;0.000;0.500;0.500;1.000;1.000;1.000;1.000;1.500;1.500;2.000;2.000;2.000;2.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-D,6,15.0,13,17,0.000;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;14.000;15.000
Random,SUT-D,7,5.5,5,6,0.000;0.000;0.500;0.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.500;3.500;3.500;3.500;3.500;3.500;4.500;4.500;5.500
Random Support + Adaptation,SUT-D,7,15.0,13,17,0.000;0.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000;15.000
Random,SUT-D,8,1.5,1,2,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.500;1.500;1.500
Random Support + Adaptation,SUT-D,8,14.5,12,17,0.000;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500;14.500
Random,SUT-D,9,2.5,2,3,0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-D,9,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Random,SUT-D,10,4.5,4,5,0.000;0.000;0.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;3.000;4.000;4.000;4.000;4.000;4.000;4.500;4.500;4.500;4.500
Random Support + Adaptation,SUT-D,10,14.5,12,17,0.000;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500;14.500
Random,SUT-D,11,1.0,1,1,0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-D,11,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Random,SUT-D,12,5.5,4,7,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;1.000;1.000;2.000;2.000;2.500;3.500;4.500;5.500
Random Support + Adaptation,SUT-D,12,15.0,13,17,0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000;15.000
Random,SUT-D,13,2.0,2,2,0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-D,13,15.0,13,17,0.000;0.000;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;14.000;15.000
Random,SUT-D,14,2.0,1,3,0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;2.000;2.000;2.000;2.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-D,14,15.0,13,17,0.000;0.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.000;13.500;14.500;15.000
Random,SUT-D,15,3.5,2,5,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;2.000;2.500;2.500;2.500;2.500;2.500;3.000;3.500
Random Support + Adaptation,SUT-D,15,14.5,12,17,0.000;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500;14.500
Random,SUT-D,16,3.5,3,4,0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;3.500;3.500;3.500;3.500;3.500
Random Support + Adaptation,SUT-D,16,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Random,SUT-D,17,4.5,4,5,0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.500;3.500;4.500;4.500
Random Support + Adaptation,SUT-D,17,15.5,13,18,1.000;1.500;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.000;13.500;14.000;15.000;15.500
Random,SUT-D,18,1.0,0,2,0.000;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-D,18,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Random,SUT-D,19,2.5,2,3,0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-D,19,14.0,12,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;11.500;12.000;12.500;13.000;14.000
Shared Prior,SUT-E,0,18.0,16,20,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500;16.500;17.000;17.500;18.000
DIVA Diagnostic + Adaptation,SUT-E,0,15.5,15,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.500;14.500;15.500
Highest-Risk Support + Adaptation,SUT-E,0,18.0,16,20,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500;16.500;17.000;17.500;18.000
Random,SUT-E,0,4.0,4,4,1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;4.000;4.000
Random Support + Adaptation,SUT-E,0,15.5,15,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.500;14.500;15.500
Random,SUT-E,1,1.0,1,1,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-E,1,15.5,15,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.500;14.500;15.500
Random,SUT-E,2,2.5,2,3,0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;2.500;2.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-E,2,16.5,15,18,0.000;0.500;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;13.500;14.500;15.500;16.500
Random,SUT-E,3,4.5,3,6,0.000;0.000;0.500;0.500;0.500;0.500;0.500;1.000;1.000;1.000;2.000;2.000;2.500;2.500;3.500;3.500;4.500;4.500;4.500;4.500
Random Support + Adaptation,SUT-E,3,17.0,16,18,0.000;0.500;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.000;15.000;16.000;17.000
Random,SUT-E,4,1.5,1,2,0.000;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500
Random Support + Adaptation,SUT-E,4,16.5,16,17,0.000;0.000;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500
Random,SUT-E,5,1.5,1,2,0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;1.500
Random Support + Adaptation,SUT-E,5,16.5,16,17,0.000;0.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;15.500;16.500
Random,SUT-E,6,2.0,2,2,0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-E,6,17.0,16,18,0.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500;16.500;17.000
Random,SUT-E,7,1.0,1,1,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-E,7,17.0,16,18,1.000;2.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500;16.500;17.000
Random,SUT-E,8,3.0,3,3,0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;3.000;3.000;3.000
Random Support + Adaptation,SUT-E,8,15.5,15,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500
Random,SUT-E,9,2.0,2,2,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-E,9,16.5,16,17,0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;13.500;14.500;15.500;16.500
Random,SUT-E,10,2.0,2,2,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-E,10,16.0,15,17,0.000;0.000;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.000;16.000
Random,SUT-E,11,0.5,0,1,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500
Random Support + Adaptation,SUT-E,11,16.5,16,17,1.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500;16.500
Random,SUT-E,12,2.0,2,2,0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-E,12,15.5,15,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500
Random,SUT-E,13,2.5,2,3,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;2.500;2.500
Random Support + Adaptation,SUT-E,13,16.0,15,17,0.000;0.000;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.000;16.000
Random,SUT-E,14,2.5,2,3,0.500;0.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-E,14,16.0,15,17,0.000;0.000;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.000;14.000;15.000;16.000
Random,SUT-E,15,3.5,3,4,0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;3.000;3.000;3.000;3.000;3.000;3.500;3.500;3.500;3.500;3.500;3.500
Random Support + Adaptation,SUT-E,15,16.5,16,17,1.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500;16.500
Random,SUT-E,16,2.5,2,3,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;0.500;1.500;1.500;1.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-E,16,15.5,15,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500
Random,SUT-E,17,5.0,4,6,1.000;2.000;2.000;2.000;2.500;3.500;3.500;3.500;3.500;4.500;4.500;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000
Random Support + Adaptation,SUT-E,17,17.0,16,18,0.000;1.000;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.000;15.000;16.000;17.000
Random,SUT-E,18,5.5,5,6,1.000;1.000;1.000;2.000;2.000;2.000;2.500;2.500;2.500;2.500;2.500;3.500;3.500;3.500;3.500;3.500;3.500;3.500;4.500;5.500
Random Support + Adaptation,SUT-E,18,17.5,16,19,1.000;1.000;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.000;14.000;15.000;16.000;17.000;17.500
Random,SUT-E,19,2.5,2,3,0.000;0.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.500;2.500;2.500;2.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-E,19,16.5,16,17,0.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;14.500;15.500;16.500
Shared Prior,SUT-F,0,20.0,20,20,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000;19.000;20.000
DIVA Diagnostic + Adaptation,SUT-F,0,20.0,20,20,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000;19.000;20.000
Highest-Risk Support + Adaptation,SUT-F,0,20.0,20,20,1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000;19.000;20.000
Random,SUT-F,0,6.5,6,7,0.000;1.000;2.000;2.000;2.000;2.500;3.500;4.500;4.500;4.500;4.500;4.500;5.500;5.500;5.500;5.500;6.500;6.500;6.500;6.500
Random Support + Adaptation,SUT-F,0,17.5,17,18,0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500
Random,SUT-F,1,4.0,4,4,0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;3.000;3.000;4.000;4.000;4.000
Random Support + Adaptation,SUT-F,1,19.0,19,19,1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000;19.000
Random,SUT-F,2,7.0,6,8,1.000;2.000;2.000;3.000;4.000;4.000;4.000;4.000;5.000;5.000;5.000;6.000;6.000;6.000;6.000;6.500;7.000;7.000;7.000;7.000
Random Support + Adaptation,SUT-F,2,18.0,18,18,1.000;1.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,3,7.5,6,9,1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.500;3.500;4.500;4.500;4.500;5.000;5.000;6.000;6.000;6.000;6.000;7.000;7.500
Random Support + Adaptation,SUT-F,3,18.0,18,18,0.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,4,7.0,6,8,0.000;0.000;0.500;1.500;1.500;2.500;2.500;3.500;3.500;3.500;3.500;3.500;4.000;5.000;5.000;5.000;5.000;6.000;6.000;7.000
Random Support + Adaptation,SUT-F,4,18.0,18,18,0.000;1.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,5,7.0,7,7,0.000;1.000;2.000;2.000;2.000;3.000;3.000;3.000;4.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;6.000;6.000;7.000
Random Support + Adaptation,SUT-F,5,18.0,18,18,0.000;1.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,6,6.5,6,7,0.000;1.000;1.000;2.000;3.000;3.000;3.000;3.000;3.000;3.000;4.000;4.000;4.000;5.000;6.000;6.000;6.000;6.000;6.000;6.500
Random Support + Adaptation,SUT-F,6,16.5,16,17,0.500;0.500;0.500;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500
Random,SUT-F,7,4.0,2,6,1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;2.500;2.500;3.000;3.000;3.000;3.500;3.500;3.500;4.000;4.000
Random Support + Adaptation,SUT-F,7,17.5,17,18,0.000;0.500;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500
Random,SUT-F,8,5.0,4,6,0.000;1.000;1.000;1.000;2.000;2.500;2.500;3.500;3.500;3.500;4.000;4.000;4.000;4.000;5.000;5.000;5.000;5.000;5.000;5.000
Random Support + Adaptation,SUT-F,8,18.0,18,18,1.000;1.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,9,6.5,5,8,0.000;1.000;1.000;2.000;3.000;3.500;3.500;3.500;3.500;4.000;4.000;5.000;6.000;6.000;6.000;6.000;6.000;6.000;6.500;6.500
Random Support + Adaptation,SUT-F,9,17.0,17,17,0.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-F,10,7.0,5,9,0.000;1.000;1.000;2.000;3.000;3.500;4.500;5.000;5.500;5.500;5.500;5.500;6.500;6.500;6.500;6.500;6.500;7.000;7.000;7.000
Random Support + Adaptation,SUT-F,10,18.0,18,18,1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,11,6.0,5,7,0.000;0.000;0.500;0.500;0.500;0.500;1.500;1.500;2.500;2.500;2.500;3.500;4.000;4.000;4.000;5.000;5.000;5.000;5.000;6.000
Random Support + Adaptation,SUT-F,11,17.5,17,18,0.000;1.000;1.000;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500
Random,SUT-F,12,5.5,5,6,0.000;0.000;0.000;0.000;1.000;1.000;1.500;1.500;1.500;2.500;2.500;2.500;3.500;4.500;5.500;5.500;5.500;5.500;5.500;5.500
Random Support + Adaptation,SUT-F,12,18.0,18,18,1.000;2.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,13,4.0,3,5,0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;2.500;3.000;3.000;3.000;3.000;3.000;3.000;3.000;4.000;4.000
Random Support + Adaptation,SUT-F,13,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-F,14,5.5,4,7,0.500;0.500;1.000;1.000;2.000;2.500;2.500;3.500;3.500;3.500;3.500;4.500;4.500;4.500;4.500;4.500;5.500;5.500;5.500;5.500
Random Support + Adaptation,SUT-F,14,17.0,17,17,0.000;0.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-F,15,6.5,6,7,1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;4.000;5.000;5.000;6.000;6.000;6.500;6.500;6.500;6.500
Random Support + Adaptation,SUT-F,15,17.0,17,17,0.000;0.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-F,16,7.5,7,8,0.500;0.500;0.500;1.500;2.500;3.500;3.500;3.500;3.500;3.500;3.500;3.500;4.500;4.500;4.500;4.500;4.500;5.500;6.500;7.500
Random Support + Adaptation,SUT-F,16,17.0,17,17,1.000;1.000;1.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000
Random,SUT-F,17,8.5,8,9,1.000;1.000;1.000;1.000;1.500;1.500;1.500;2.500;3.500;3.500;3.500;4.500;5.500;5.500;5.500;6.500;7.500;8.500;8.500;8.500
Random Support + Adaptation,SUT-F,17,18.0,17,19,0.500;0.500;1.500;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,18,4.5,4,5,0.000;0.000;0.000;0.000;0.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;3.000;3.500;3.500;4.500;4.500;4.500;4.500;4.500
Random Support + Adaptation,SUT-F,18,18.0,18,18,1.000;2.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;18.000
Random,SUT-F,19,7.5,7,8,0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;3.000;4.000;4.000;4.500;4.500;5.500;5.500;6.500;7.500;7.500
Random Support + Adaptation,SUT-F,19,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
