method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman
Random Support + Adaptation,SUT-D,17,1.0,0.7,0.9031541842153452
Random Support + Adaptation,SUT-D,18,1.0,0.7,0.9569218091924556
Random Support + Adaptation,SUT-D,19,1.0,0.7,0.7916018128547885
Shared Prior,SUT-E,0,1.0,0.5,0.9813793261307453
Diagnostic Support + Adaptation,SUT-E,0,1.0,0.5,0.987897134224501
Random Support + Adaptation,SUT-E,0,1.0,0.5,0.9812877678080938
Random Support + Adaptation,SUT-E,1,1.0,0.5,0.9897111334920344
Random Support + Adaptation,SUT-E,2,1.0,0.5,0.9693794634682292
Random Support + Adaptation,SUT-E,3,1.0,0.5,0.9867583775865226
Random Support + Adaptation,SUT-E,4,1.0,0.5,0.9796454403955319
Random Support + Adaptation,SUT-E,5,1.0,0.5,0.9800631752426295
Random Support + Adaptation,SUT-E,6,1.0,0.5,0.9791704815967771
Random Support + Adaptation,SUT-E,7,1.0,0.5,0.987937190990661
Random Support + Adaptation,SUT-E,8,1.0,0.5,0.9819687328328145
Random Support + Adaptation,SUT-E,9,1.0,0.5,0.9836625618018678
Random Support + Adaptation,SUT-E,10,1.0,0.5,0.9693165171214063
Random Support + Adaptation,SUT-E,11,1.0,0.5,0.979725553927852
Random Support + Adaptation,SUT-E,12,1.0,0.5,0.9712907434535799
Random Support + Adaptation,SUT-E,13,1.0,0.5,0.9872333363852774
Random Support + Adaptation,SUT-E,14,1.0,0.5,0.9901517579197949
Random Support + Adaptation,SUT-E,15,1.0,0.5,0.9906724958798755
Random Support + Adaptation,SUT-E,16,1.0,0.5,0.9789930873466398
Random Support + Adaptation,SUT-E,17,1.0,0.5,0.9791990935726057
Random Support + Adaptation,SUT-E,18,1.0,0.5,0.9819630104376488
Random Support + Adaptation,SUT-E,19,1.0,0.5,0.9792734847097602
Shared Prior,SUT-F,0,1.0,0.2,0.9708958981871452
Diagnostic Support + Adaptation,SUT-F,0,1.0,0.4,0.9726698406885186
Random Support + Adaptation,SUT-F,0,1.0,0.4,0.9588731459439663
Random Support + Adaptation,SUT-F,1,1.0,0.4,0.957568439846182
Random Support + Adaptation,SUT-F,2,1.0,0.4,0.9568416956601355
Random Support + Adaptation,SUT-F,3,1.0,0.4,0.9699459805896355
Random Support + Adaptation,SUT-F,4,1.0,0.4,0.9711591283647684
Random Support + Adaptation,SUT-F,5,1.0,0.5,0.9622665262772386
Random Support + Adaptation,SUT-F,6,1.0,0.4,0.970878731001648
