method,budget,scope,value,units,mean_CollisionCount,mean_CriticalCount,mean_SeveritySum,mean_CVS,mean_F,mean_NewHistoricalFailureCount,mean_selection_seconds
FPS-Risk,10,overall,all,9,0.0,4.333333333333333,2.1666666666666665,1.8888888888888888,0.014626421770101088,0.2222222222222222,0.03160145555415915
FPS-Risk,10,coverage,leave_one_out,9,0.0,4.333333333333333,2.1666666666666665,1.8888888888888888,0.014626421770101088,0.2222222222222222,0.03160145555415915
FPS-Risk,10,heterogeneity,idm_mobil,3,0.0,8.0,4.0,3.5,0.027799351531174816,0.6666666666666666,0.032043299986980855
FPS-Risk,20,overall,all,9,0.0,7.888888888888889,3.9444444444444446,2.888888888888889,0.022374339211976152,0.6666666666666666,0.03160145555415915
FPS-Risk,20,coverage,leave_one_out,9,0.0,7.888888888888889,3.9444444444444446,2.888888888888889,0.022374339211976152,0.6666666666666666,0.03160145555415915
FPS-Risk,20,heterogeneity,idm_mobil,3,0.0,16.0,8.0,5.5,0.04586177310078602,2.0,0.032043299986980855
FPS-Risk,30,overall,all,9,0.0,10.0,5.0,3.5555555555555554,0.03102550232136744,2.111111111111111,0.03160145555415915
FPS-Risk,30,coverage,leave_one_out,9,0.0,10.0,5.0,3.5555555555555554,0.03102550232136744,2.111111111111111,0.03160145555415915
FPS-Risk,30,heterogeneity,idm_mobil,3,0.0,21.333333333333332,10.666666666666666,7.0,0.06503452558534488,6.333333333333333,0.032043299986980855
FPS-Risk,50,overall,all,9,0.0,13.555555555555555,6.777777777777778,4.388888888888889,0.03954483420732204,5.555555555555555,0.03160145555415915
FPS-Risk,50,coverage,leave_one_out,9,0.0,13.555555555555555,6.777777777777778,4.388888888888889,0.03954483420732204,5.555555555555555,0.03160145555415915
FPS-Risk,50,heterogeneity,idm_mobil,3,0.0,31.666666666666668,15.833333333333334,9.333333333333334,0.08998690095171241,16.666666666666668,0.032043299986980855
FPS-Severity,10,overall,all,9,0.0,4.333333333333333,2.1666666666666665,1.8888888888888888,0.014626421770101088,0.2222222222222222,0.03069838889253636
FPS-Severity,10,coverage,leave_one_out,9,0.0,4.333333333333333,2.1666666666666665,1.8888888888888888,0.014626421770101088,0.2222222222222222,0.03069838889253636
FPS-Severity,10,heterogeneity,idm_mobil,3,0.0,8.0,4.0,3.5,0.027799351531174816,0.6666666666666666,0.0313308333667616
FPS-Severity,20,overall,all,9,0.0,7.888888888888889,3.9444444444444446,2.888888888888889,0.022374339211976152,0.6666666666666666,0.03069838889253636
FPS-Severity,20,coverage,leave_one_out,9,0.0,7.888888888888889,3.9444444444444446,2.888888888888889,0.022374339211976152,0.6666666666666666,0.03069838889253636
FPS-Severity,20,heterogeneity,idm_mobil,3,0.0,16.0,8.0,5.5,0.04586177310078602,2.0,0.0313308333667616
