strategy,action,p_phi,mean_q,positive_support
AdaTE-QP-H,0,0.1,0.10342291532900946,True
AdaTE-QP-H,1,0.8,0.7951016699189137,True
AdaTE-QP-H,2,0.1,0.10147541475217806,True
Equal-Mixture-H,0,0.1,0.10284836213411643,True
Equal-Mixture-H,1,0.8,0.7947349226837793,True
Equal-Mixture-H,2,0.1,0.10241671518219267,True
NDE-phi-H,0,0.1,0.10000000000000965,True
NDE-phi-H,1,0.8,0.8000000000000772,True
NDE-phi-H,2,0.1,0.10000000000000965,True
Single-SM-0,0,0.1,0.10325890797718533,True
Single-SM-0,1,0.8,0.792824504055201,True
Single-SM-0,2,0.1,0.10391658796770772,True
Single-SM-1,0,0.1,0.10206382758648501,True
Single-SM-1,1,0.8,0.7972663923938952,True
Single-SM-1,2,0.1,0.1006697800197131,True
Single-SM-2,0,0.1,0.1033463741598719,True
Single-SM-2,1,0.8,0.7948874938902518,True
Single-SM-2,2,0.1,0.1017661319499724,True
Uniform-QP-H,0,0.1,0.10251993891842946,True
Uniform-QP-H,1,0.8,0.7958124322850759,True
Uniform-QP-H,2,0.1,0.10166762879658686,True
