strategy,action,p_phi,mean_q,positive_support
AdaTE-QP-H,0,0.01,0.02177907781520102,True
AdaTE-QP-H,1,0.98,0.9612772989866747,True
AdaTE-QP-H,2,0.01,0.016943623198135905,True
Equal-Mixture-H,0,0.01,0.0204524521009455,True
Equal-Mixture-H,1,0.98,0.9637438195806679,True
Equal-Mixture-H,2,0.01,0.01580372831837995,True
NDE-phi-H,0,0.01,0.010000000000000973,True
NDE-phi-H,1,0.98,0.9799999999997762,True
NDE-phi-H,2,0.01,0.010000000000000973,True
Single-SM-0,0,0.01,0.014480095943722175,True
Single-SM-0,1,0.98,0.9685349946206344,True
Single-SM-0,2,0.01,0.016984909435545887,True
Single-SM-1,0,0.01,0.02193531465590279,True
Single-SM-1,1,0.98,0.9580722497850164,True
Single-SM-1,2,0.01,0.01999243555909717,True
Single-SM-2,0,0.01,0.021137752487159968,True
Single-SM-2,1,0.98,0.9622337309475104,True
Single-SM-2,2,0.01,0.016628516565346023,True
Uniform-QP-H,0,0.01,0.020447381971040877,True
Uniform-QP-H,1,0.98,0.963735553859298,True
Uniform-QP-H,2,0.01,0.015817064169633195,True
