method_variant,episode,time_step,state,q_target,q_mixed,gap_scores,visits,critical
Uniform-QP-H,1,0,"[5, 3, -1, 2, -1, 0]","[0.0, 0.0, 0.0]","[1.9981346431670558e-09, 1.7187616365279922e-06, 1.4699290163901202e-06]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-QP-H,1,1,"[5, 3, 0, 2, -2, 0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 1.1215723315144369e-06]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-QP-H,1,2,"[5, 3, -1, 2, -1, 1]","[0.0, 0.0, 0.0]","[1.2681351075410757e-06, 0.0, 0.0004123941997647421]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-QP-H,1,3,"[5, 3, -1, 1, -1, 2]","[0.0, 0.0, 0.0]","[0.0, 0.0010322521370894244, 0.0008756122527656668]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-QP-H,1,4,"[5, 3, 0, 1, -2, 2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,1,5,"[5, 3, -1, 1, -2, 2]","[0.0, 0.0, 0.0]","[0.0, 2.7686251027832347e-06, 0.0003097837504218143]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-QP-H,1,6,"[5, 3, -1, 1, -1, 3]","[0.0, 0.0, 0.0]","[0.19562230904789407, 0.0, 0.000878339728431663]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-QP-H,1,7,"[5, 3, 0, 1, -2, 3]","[0.0, 0.0, 0.0]","[0.4867498496, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-QP-H,1,8,"[5, 3, 0, 1, -2, 4]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,2,0,"[4, 3, -1, 2, -2, 1]","[0.0, 0.0, 0.0]","[8.946739219761245e-06, 5.0999886185785985e-05, 5.013146586563458e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-QP-H,2,1,"[4, 3, 0, 2, -2, 2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0005512338113763682]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-QP-H,2,2,"[4, 3, 0, 1, -2, 2]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,2,3,"[4, 3, -1, 1, -2, 2]","[0.0, 0.0, 0.0]","[0.2645148192317456, 0.0, 0.2887294870507039]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-QP-H,2,4,"[4, 3, -1, 1, -2, 3]","[0.0, 0.0, 0.0]","[0.0, 0.8322278399999999, 2.3842978836260702e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-QP-H,2,5,"[4, 3, -1, 1, -2, 3]","[0.2, 0.0, 0.0]","[0.0, 0.8322278399999999, 2.3842978836260702e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 1]",True
Uniform-QP-H,3,0,"[5, 3, 0, 1, -1, 3]","[0.0, 0.0, 0.0]","[0.0036131227322494107, 2.0900746560425974e-05, 7.889821588854196e-06]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-QP-H,3,1,"[5, 3, 0, 1, -1, 3]","[0.0, 0.0, 0.0]","[0.0036131227322494107, 2.0900746560425974e-05, 7.889821588854196e-06]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 1, 0]",True
Uniform-QP-H,3,2,"[5, 3, 0, 1, -1, 4]","[0.0, 0.0, 0.0]","[0.27936679099891604, 0.0, 0.2879562969863509]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-QP-H,3,3,"[5, 3, 0, 1, 0, 4]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,4,"[5, 3, 0, 1, 0, 5]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,5,"[6, 3, -1, 1, 0, 5]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,6,"[6, 3, -1, 1, 1, 6]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,7,"[6, 2, -1, 1, 1, 6]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,8,"[6, 2, -1, 1, 1, 7]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,9,"[6, 2, -1, 1, 1, 8]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,10,"[6, 2, -1, 1, 2, 8]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,11,"[6, 2, -1, 1, 2, 9]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,12,"[6, 2, -1, 1, 2, 9]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,3,13,"[6, 2, -1, 2, 2, 10]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,14,"[6, 2, -1, 2, 2, 10]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,3,15,"[6, 2, -1, 2, 2, 11]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,16,"[6, 2, -1, 2, 2, 11]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,3,17,"[6, 2, -1, 2, 2, 12]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,18,"[6, 2, -1, 3, 2, 12]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,19,"[6, 2, -1, 3, 2, 13]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,20,"[6, 2, -1, 3, 2, 13]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,3,21,"[6, 1, -1, 3, 2, 14]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,22,"[6, 1, -1, 3, 1, 14]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,23,"[6, 1, -1, 3, 1, 15]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,24,"[6, 1, -1, 3, 1, 15]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,3,25,"[6, 1, -1, 4, 1, 16]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,26,"[6, 1, -1, 4, 1, 16]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,3,27,"[6, 1, -1, 4, 1, 17]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,3,28,"[6, 1, -1, 4, 1, 17]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,4,0,"[5, 2, -1, 1, -2, 3]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.37308403344886587]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-QP-H,4,1,"[5, 2, -1, 1, -1, 4]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 1, 0]",False
Uniform-QP-H,4,2,"[5, 2, -1, 1, -1, 4]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 2, 0]",False
Uniform-QP-H,5,0,"[5, 3, 0, 1, -2, 3]","[0.0, 0.0, 0.0]","[0.4867498496, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 1]",True
Uniform-QP-H,5,1,"[5, 2, -1, 1, -1, 4]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.01, 0.98, 0.01]","[0, 3, 0]",False
Uniform-QP-H,6,0,"[6, 3, -1, 1, -1, 2]","[0.0, 0.0, 0.0]","[0.0, 2.7674451639232472e-05, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 1]",True
Uniform-QP-H,6,1,"[6, 3, -1, 1, -1, 3]","[0.0, 0.0, 0.0]","[0.0, 2.794663890386021e-05, 0.0037066014140666736]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
