method,target_sut,repeat,raw_critical_score_at_20,regression_critical_score_at_20,target_specific_failure_count_at_20,queried_indices,raw_curve,regression_curve,target_specific_curve
Random,SUT-C,7,2.0,0.5714285714285715,0.0,52;124;104;90;10;121;70;96;72;75;119;2;53;51;44;54;38;118;57;80,0.000000;0.000000;0.000000;1.000000;1.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000,0.000000;0.000000;0.000000;0.142857;0.142857;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,8,3.0,0.7142857142857144,0.0,87;26;81;6;102;50;30;97;4;51;120;60;46;116;76;124;99;63;45;101,0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;3.000000,0.000000;0.000000;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.571429;0.571429;0.714286,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,9,7.0,1.9999999999999996,0.0,4;93;38;100;81;71;126;72;98;125;20;99;101;116;24;92;37;28;54;89,0.000000;1.000000;1.000000;1.000000;2.000000;3.000000;3.000000;3.000000;3.000000;4.000000;4.000000;4.000000;5.000000;5.000000;6.000000;6.000000;6.000000;6.000000;6.000000;7.000000,0.000000;0.285714;0.285714;0.285714;0.714286;1.285714;1.285714;1.285714;1.285714;1.428571;1.428571;1.428571;1.571429;1.571429;1.714286;1.714286;1.714286;1.714286;1.714286;2.000000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,10,5.5,1.5714285714285716,0.0,47;116;85;8;102;36;113;126;119;54;70;122;112;19;37;121;9;51;1;90,1.000000;1.000000;2.000000;2.500000;2.500000;2.500000;3.500000;3.500000;3.500000;3.500000;3.500000;3.500000;3.500000;3.500000;3.500000;4.500000;4.500000;4.500000;4.500000;5.500000,0.285714;0.285714;0.428571;0.714286;0.714286;0.714286;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.428571;1.428571;1.428571;1.428571;1.571429,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,11,5.0,1.0,0.0,36;11;70;23;55;79;115;25;88;40;107;98;113;54;51;13;21;57;114;110,0.000000;1.000000;1.000000;2.000000;3.000000;3.000000;3.000000;3.000000;3.000000;4.000000;4.000000;4.000000;5.000000;5.000000;5.000000;5.000000;5.000000;5.000000;5.000000;5.000000,0.000000;0.285714;0.285714;0.428571;0.571429;0.571429;0.571429;0.571429;0.571429;0.714286;0.714286;0.714286;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,12,5.0,1.4285714285714286,0.0,57;90;61;124;12;36;98;62;41;80;16;94;73;65;101;113;42;71;1;27,0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;3.000000;4.000000;4.000000;5.000000;5.000000;5.000000,0.000000;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.428571;0.571429;0.857143;0.857143;1.428571;1.428571;1.428571,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,13,4.5,1.5714285714285714,0.0,15;76;94;107;95;9;30;114;67;35;80;61;56;1;122;96;69;28;105;115,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.500000;1.500000;1.500000;2.500000;2.500000;2.500000;2.500000;3.500000;3.500000;4.500000;4.500000,0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.428571;0.714286;0.714286;0.714286;0.857143;0.857143;0.857143;0.857143;1.000000;1.000000;1.571429;1.571429,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,14,6.0,1.3571428571428572,1.0,7;66;76;33;119;122;96;79;63;35;24;39;19;36;78;6;1;57;117;29,1.000000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;2.500000;3.000000;4.000000;5.000000;5.000000;5.000000;5.000000;5.000000;5.000000;5.000000;6.000000;6.000000,0.142857;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;0.642857;0.928571;1.071429;1.214286;1.214286;1.214286;1.214286;1.214286;1.214286;1.214286;1.357143;1.357143,0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
Random,SUT-C,15,3.0,1.6428571428571428,1.0,25;8;75;17;1;48;64;3;81;66;102;14;86;6;92;76;79;118;105;91,0.000000;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;1.500000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;3.000000;3.000000,0.000000;0.285714;0.285714;0.285714;0.285714;0.285714;0.285714;0.285714;0.714286;1.071429;1.071429;1.071429;1.071429;1.071429;1.071429;1.071429;1.071429;1.071429;1.642857;1.642857,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
Random,SUT-C,16,3.5,1.0714285714285716,1.0,66;58;124;12;45;41;39;76;20;48;84;118;1;116;3;109;17;102;85;120,0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;2.500000;2.500000;2.500000;3.500000;3.500000,0.357143;0.357143;0.357143;0.357143;0.357143;0.357143;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;0.500000;0.928571;0.928571;0.928571;1.071429;1.071429,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
Random,SUT-C,17,5.0,1.5714285714285712,0.0,25;94;98;11;100;5;107;87;121;18;28;83;15;112;34;82;24;113;122;38,0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;2.000000;2.000000;3.000000;3.000000;3.000000;3.000000;4.000000;5.000000;5.000000;5.000000,0.000000;0.000000;0.000000;0.285714;0.285714;0.285714;0.285714;0.285714;0.714286;0.714286;0.714286;0.714286;1.142857;1.142857;1.142857;1.142857;1.285714;1.571429;1.571429;1.571429,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
