seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,expert,log_bayes_factor,selection_seconds,elapsed_seconds
20330406,fvdm_delay05_brake3,EvidenceGate,1,182,lead_braking,True,False,True,True,False,0.9242229854874983,0.0,1.1837151737222422,static,0.0,0.0005326999817043543,0.026283000013791025
20330406,fvdm_delay05_brake3,EvidenceGate,2,162,lead_braking,True,False,True,True,False,0.9441581932545791,1.4210854715202004e-14,1.182498420850424,static,0.0,0.00047930004075169563,0.04544360004365444
20330406,fvdm_delay05_brake3,EvidenceGate,3,138,lead_braking,True,False,True,True,False,0.8832674852227126,0.0,1.1862404205760118,static,0.0,0.0009428999619558454,0.08459709992166609
20330406,fvdm_delay05_brake3,EvidenceGate,4,134,lead_braking,True,False,True,True,False,1.683995589244008,0.0,1.1426121994955885,static,0.0,0.0004862999776378274,0.03561939997598529
20330406,fvdm_delay05_brake3,EvidenceGate,5,146,lead_braking,True,False,True,True,False,0.7595461887143419,0.0,1.194081632173419,static,0.0,0.00047999992966651917,0.047408899990841746
20330406,fvdm_delay05_brake3,EvidenceGate,6,10,fast_intrusion,True,False,True,True,False,0.8885636408033196,0.0,1.1859119245414222,static,0.0,0.00047389999963343143,0.06690090009942651
20330406,fvdm_delay05_brake3,EvidenceGate,7,91,cutin_braking,True,False,True,True,False,0.7734761916219979,0.0,1.1931825352923655,static,-0.5389965007326869,0.00048420007806271315,0.05989670008420944
20330406,fvdm_delay05_brake3,EvidenceGate,8,148,lead_braking,False,True,False,True,True,1.0008681124482568,1.4746549474912172,0.6790809993300867,static,-1.0986122886681096,0.0004996000789105892,0.15560860000550747
20330406,fvdm_delay05_brake3,EvidenceGate,9,282,slow_lead_following,True,False,True,True,False,0.7276665699710961,0.0,1.1961550454122363,static,-1.1349799328389851,0.0004919000202789903,0.0300352000631392
20330406,fvdm_delay05_brake3,EvidenceGate,10,248,stop_and_go,True,False,True,True,False,0.8776455378478174,0.0,1.1865897590820793,static,-1.7227665977411037,0.0005022999830543995,0.03817620000336319
20330406,fvdm_delay05_brake3,EvidenceGate,11,0,fast_intrusion,True,False,True,True,False,1.0412312058794875,1.6580773280522494e-14,1.1766877144602268,static,-2.3206035984967244,0.0004539999645203352,0.05433820001780987
20330406,fvdm_delay05_brake3,EvidenceGate,12,103,cutin_braking,True,False,True,True,False,0.5159641180739135,0.0,1.210497310960053,static,-2.6390573296152584,0.0004724999889731407,0.07027520006522536
20330406,fvdm_delay05_brake3,EvidenceGate,13,176,lead_braking,False,True,False,True,True,1.2458166328730904,1.9482552257052532,0.66504013832694,static,-2.9644797300498875,0.00044059997890144587,0.14330140000674874
20330406,fvdm_delay05_brake3,EvidenceGate,14,54,fast_intrusion,True,False,True,True,False,1.0176454432678705,0.0,1.1780822941444553,static,-3.0239031505206873,0.0005193999968469143,0.06243149994406849
20330406,fvdm_delay05_brake3,EvidenceGate,15,107,cutin_braking,True,False,True,True,False,0.6867638545466075,0.0,1.1988477850937074,static,-3.242592351485517,0.00044680002611130476,0.05926300003193319
20330406,fvdm_delay05_brake3,EvidenceGate,16,164,lead_braking,False,True,False,True,True,1.123959259389603,3.617283433089881,0.6718819375268885,static,-3.4657359027997265,0.0004428999964147806,0.1439534000819549
20330406,fvdm_delay05_brake3,EvidenceGate,17,272,slow_lead_following,True,False,True,True,False,0.6232044734088495,0.0,1.2031056106756544,static,-3.5228943166396745,0.00044600002001971006,0.034644900006242096
20330406,fvdm_delay05_brake3,EvidenceGate,18,30,fast_intrusion,True,False,True,True,False,1.359232343534158,0.0,1.15891722513341,static,-3.8712010109078903,0.00043590005952864885,0.06408269994426519
20330406,fvdm_delay05_brake3,EvidenceGate,19,97,cutin_braking,True,False,True,True,False,1.3711169801810923,0.0,1.1582889126734606,static,-4.040277340951825,0.00043409992940723896,0.058607300044968724
20330406,fvdm_delay05_brake3,EvidenceGate,20,168,lead_braking,False,True,False,True,True,1.184713773846366,1.2911508623834607,0.6684360793159912,static,-4.212127597878483,0.0004958000499755144,0.14846949989441782
20330406,fvdm_delay05_brake3,EvidenceGate,21,298,slow_lead_following,True,False,True,True,False,0.838577236742001,0.0,1.1890355650607527,static,-4.268697949366878,0.000443900004029274,0.031065599992871284
20330406,fvdm_delay05_brake3,EvidenceGate,22,48,fast_intrusion,True,False,True,True,False,1.7397924750641383,0.0,1.1399842747156441,static,-4.509860006183766,0.0005357000045478344,0.0672021999489516
20330406,fvdm_delay05_brake3,EvidenceGate,23,115,cutin_braking,True,False,True,True,False,0.8005257528999046,0.0,1.1914485301110578,static,-4.647729800406887,0.00044239999260753393,0.07011810003314167
20330406,fvdm_delay05_brake3,EvidenceGate,24,186,lead_braking,False,True,False,True,True,1.0295535298871568,0.8704757071685947,0.6773768220797947,static,-4.787491742782047,0.0004376000724732876,0.1485308000119403
20330406,fvdm_delay05_brake3,EvidenceGate,25,290,slow_lead_following,True,False,True,True,False,1.0252042499604872,0.0,1.177634162392807,static,-4.841979928066115,0.00044169998727738857,0.0271163999568671
20330406,fvdm_delay05_brake3,EvidenceGate,26,46,fast_intrusion,False,True,False,True,True,1.9524688514693858,0.5695425861405283,0.6304040839154883,static,-5.025902766227045,0.0004548000870272517,0.14844100002665073
20330406,fvdm_delay05_brake3,EvidenceGate,27,113,cutin_braking,True,False,True,True,False,1.3029712839266614,0.0025477922857248814,1.1619256301298342,static,-5.1423131180714545,0.0005375000182539225,0.0600980999879539
20330406,fvdm_delay05_brake3,EvidenceGate,28,136,lead_braking,False,True,False,True,True,1.2383740741093974,4.336250547062207,0.6654500869370753,static,-5.260096153727838,0.0004403999773785472,0.14315149991307408
