scope,coverage,heterogeneity,method,budget,seed_target_units,mean_critical_recall,std_critical_recall,mean_collision_recall,std_collision_recall,mean_near_miss_recall,std_near_miss_recall,mean_critical_events_found,std_critical_events_found,mean_oracle_regret,std_oracle_regret,mean_selection_runtime_seconds,std_selection_runtime_seconds
overall,all,all,Random,10,90,0.01640618655438058,0.0027766266334001482,0.01627694193130694,0.003348748523446627,0.016676642543148188,0.004994099652388343,2.0944444444444446,0.8026796569680598,0.06893097589180854,0.022005222991745402,6.053733286939354e-05,9.325007863594492e-06
overall,all,all,Random,20,90,0.03297647918212693,0.003407139695724709,0.033069732412505354,0.004365619054909745,0.0328443633202161,0.007659468523502189,4.206666666666666,1.5143916344433201,0.13769784571025132,0.043790246498467335,6.053733286939354e-05,9.325007863594492e-06
overall,all,all,Random,30,90,0.04990544796112026,0.003874040760434852,0.0501195370342985,0.004949441809430629,0.04946040861381142,0.0072226676353161455,6.3627777777777785,2.2383476187629956,0.2061060393774471,0.06555107204704247,6.053733286939354e-05,9.325007863594492e-06
overall,all,all,Random,50,90,0.08336433319159338,0.00523913346877814,0.08334850259615152,0.006442346138004369,0.08313873207272765,0.010796077486842904,10.625,3.699090762864587,0.34332147903935223,0.10907245079320907,6.053733286939354e-05,9.325007863594492e-06
overall,all,all,DETOUR,10,90,0.06989758206838582,0.014796409557217349,0.08402148767914147,0.018246770953052122,0.03536843164857907,0.03144819697381495,8.366666666666667,1.0959578438542321,0.0154395803778033,0.011900140714268186,5.025222199037671e-05,2.2836271221067093e-05
overall,all,all,DETOUR,20,90,0.14162922642977524,0.029346412155228204,0.1735117642338884,0.03347290674649262,0.06543349448391358,0.04904458337609576,16.933333333333334,1.9591330345821367,0.029045098462602992,0.021748574789095233,5.025222199037671e-05,2.2836271221067093e-05
overall,all,all,DETOUR,30,90,0.1990672249533258,0.03788507466465722,0.24154798132019192,0.04148660137851718,0.0987712019454759,0.06214722231648226,23.92222222222222,3.062009980160376,0.05694426238524152,0.036133366230461435,5.025222199037671e-05,2.2836271221067093e-05
overall,all,all,DETOUR,50,90,0.3063852200829803,0.05538290622411621,0.36021110693236463,0.0529781570537551,0.17796452104813665,0.0906922841787732,37.05555555555556,5.750156052813729,0.1203005921479653,0.07044924617989722,5.025222199037671e-05,2.2836271221067093e-05
overall,all,all,DIVA,10,90,0.021028854837657512,0.01847525665032132,0.01966101350097971,0.02160965635514591,0.024718725838176244,0.03154608749046224,3.2444444444444445,3.3328838648277954,0.06430830760853161,0.03873175955678385,0.0026179599976684483,0.0003356458792073942
overall,all,all,DIVA,20,90,0.10612649000728233,0.010920094960523718,0.14126226968660677,0.022623031726944933,0.025574414025400817,0.03355225182882593,13.21111111111111,3.289392022115341,0.06454783488509593,0.038447372346259265,0.0026179599976684483,0.0003356458792073942
overall,all,all,DIVA,30,90,0.19131282289087717,0.029365411452288007,0.2630335679516279,0.05467357031826154,0.0264172789491481,0.03447242638057555,23.18888888888889,3.266769852379332,0.06469866444769018,0.038293795751533084,0.0026179599976684483,0.0003356458792073942
overall,all,all,DIVA,50,90,0.36056253268836463,0.07184525794578128,0.46376334780904405,0.07876626357428931,0.1073161475553597,0.09752775625017204,43.022222222222226,3.277357725047358,0.06612327954258095,0.03848953265344422,0.0026179599976684483,0.0003356458792073942
overall,all,all,DIVA-DETOUR,10,90,0.021508448943283652,0.018825671546414503,0.020274059220235778,0.0225389711544167,0.025303844688787727,0.033643860749613036,3.3,3.350163504311092,0.06382871350290546,0.03886346969644535,0.0026352566634563522,0.00025523307197091333
overall,all,all,DIVA-DETOUR,20,90,0.10667467121853262,0.011681208185996737,0.14197110084647588,0.022640536064814837,0.026159532876012297,0.03551752698557793,13.277777777777779,3.3251772877556833,0.06399965367384564,0.03868140315400548,0.0026352566634563522,0.00025523307197091333
