seed,target_sut,coverage,heterogeneity,noise_scale,step,index,event_probability,predicted_severity
20261103,Target-exact-global-2,exact,global,0.3,41,471,1.0,0.9720080148735972
20261103,Target-exact-global-2,exact,global,0.3,42,79,0.9999999999999999,0.9742400815036454
20261103,Target-exact-global-2,exact,global,0.3,43,83,1.0,0.9719945778931676
20261103,Target-exact-global-2,exact,global,0.3,44,99,1.0,0.9677476106269147
20261103,Target-exact-global-2,exact,global,0.3,45,27,1.0,0.9677099432662397
20261103,Target-exact-global-2,exact,global,0.3,46,75,1.0,0.967674582567147
20261103,Target-exact-global-2,exact,global,0.3,47,91,1.0,0.9667964704865898
20261103,Target-exact-global-2,exact,global,0.3,48,71,1.0,0.9027124973889383
20261103,Target-exact-global-2,exact,global,0.3,49,11,1.0,0.9041772267972399
20261103,Target-exact-global-2,exact,global,0.3,50,36,1.0,0.8697113319263827
20261103,Target-exact-partial-1,exact,partial,0.3,1,487,1.0,0.9853312896884994
20261103,Target-exact-partial-1,exact,partial,0.3,2,495,1.0,0.9850987877943045
20261103,Target-exact-partial-1,exact,partial,0.3,3,87,1.0,0.9818305724516992
20261103,Target-exact-partial-1,exact,partial,0.3,4,491,1.0,0.9801745607583277
20261103,Target-exact-partial-1,exact,partial,0.3,5,502,1.0,0.9800182563051595
20261103,Target-exact-partial-1,exact,partial,0.3,6,499,1.0,0.9758434633217383
20261103,Target-exact-partial-1,exact,partial,0.3,7,79,1.0,0.9742395474953294
20261103,Target-exact-partial-1,exact,partial,0.3,8,187,1.0,0.9733884698613895
20261103,Target-exact-partial-1,exact,partial,0.3,9,292,1.0,0.9579671145957582
20261103,Target-exact-partial-1,exact,partial,0.3,10,385,1.0,0.8911710245368362
20261103,Target-exact-partial-1,exact,partial,0.3,11,195,1.0,0.9729360494639516
20261103,Target-exact-partial-1,exact,partial,0.3,12,83,1.0,0.9719915623163164
20261103,Target-exact-partial-1,exact,partial,0.3,13,191,1.0,0.9691830603624103
20261103,Target-exact-partial-1,exact,partial,0.3,14,99,1.0,0.967740961408897
20261103,Target-exact-partial-1,exact,partial,0.3,15,27,1.0,0.967699111391179
20261103,Target-exact-partial-1,exact,partial,0.3,16,534,1.0,0.9583898556525849
