subgroup,value,method,budget,seed_target_units,evaluable_units,mean_event_count,mean_event_prevalence,mean_critical_recall
mode,fast_intrusion,Random,10,90,90,20.466666666666665,0.2046666666666667,0.017868909991846007
mode,fast_intrusion,Random,20,90,90,20.466666666666665,0.2046666666666667,0.035133468466737296
mode,fast_intrusion,Random,30,90,90,20.466666666666665,0.2046666666666667,0.05173726018953058
mode,fast_intrusion,Random,50,90,90,20.466666666666665,0.2046666666666667,0.08318237615225489
mode,fast_intrusion,DETOUR,10,90,90,20.466666666666665,0.2046666666666667,0.03860661311512705
mode,fast_intrusion,DETOUR,20,90,90,20.466666666666665,0.2046666666666667,0.07286452768650913
mode,fast_intrusion,DETOUR,30,90,90,20.466666666666665,0.2046666666666667,0.095338513100381
mode,fast_intrusion,DETOUR,50,90,90,20.466666666666665,0.2046666666666667,0.15244877054732578
mode,fast_intrusion,Mining,10,90,90,20.466666666666665,0.2046666666666667,0.0
mode,fast_intrusion,Mining,20,90,90,20.466666666666665,0.2046666666666667,0.12585202600940473
mode,fast_intrusion,Mining,30,90,90,20.466666666666665,0.2046666666666667,0.28646521536614417
mode,fast_intrusion,Mining,50,90,90,20.466666666666665,0.2046666666666667,0.411158439459523
mode,fast_intrusion,Mining-DETOUR,10,90,90,20.466666666666665,0.2046666666666667,0.0
mode,fast_intrusion,Mining-DETOUR,20,90,90,20.466666666666665,0.2046666666666667,0.1264225369965824
mode,fast_intrusion,Mining-DETOUR,30,90,90,20.466666666666665,0.2046666666666667,0.28945823031091344
mode,fast_intrusion,Mining-DETOUR,50,90,90,20.466666666666665,0.2046666666666667,0.40952787774640204
mode,fast_intrusion,AdaTE Global,10,90,90,20.466666666666665,0.2046666666666667,0.14250671896440728
mode,fast_intrusion,AdaTE Global,20,90,90,20.466666666666665,0.2046666666666667,0.2878627080523365
mode,fast_intrusion,AdaTE Global,30,90,90,20.466666666666665,0.2046666666666667,0.37435340893029234
mode,fast_intrusion,AdaTE Global,50,90,90,20.466666666666665,0.2046666666666667,0.485635122879705
mode,fast_intrusion,Function-Conditioned Mining,10,90,90,20.466666666666665,0.2046666666666667,0.08504904868681959
mode,fast_intrusion,Function-Conditioned Mining,20,90,90,20.466666666666665,0.2046666666666667,0.250153885600222
mode,fast_intrusion,Function-Conditioned Mining,30,90,90,20.466666666666665,0.2046666666666667,0.37394738736328004
mode,fast_intrusion,Function-Conditioned Mining,50,90,90,20.466666666666665,0.2046666666666667,0.5124425254327215
mode,fast_intrusion,Posterior Search (adaptive support),10,90,90,20.466666666666665,0.2046666666666667,0.10288241222193749
mode,fast_intrusion,Posterior Search (adaptive support),20,90,90,20.466666666666665,0.2046666666666667,0.24977719232621193
mode,fast_intrusion,Posterior Search (adaptive support),30,90,90,20.466666666666665,0.2046666666666667,0.3170716303443341
mode,fast_intrusion,Posterior Search (adaptive support),50,90,90,20.466666666666665,0.2046666666666667,0.4719422422621597
mode,cutin_braking,Random,10,90,90,17.322222222222223,0.17322222222222222,0.015472827007636906
mode,cutin_braking,Random,20,90,90,17.322222222222223,0.17322222222222222,0.03127653828099221
mode,cutin_braking,Random,30,90,90,17.322222222222223,0.17322222222222222,0.04784280087966972
