scope,coverage,heterogeneity,method,reference,budget,mean_recall_difference,hierarchical_bootstrap_low,hierarchical_bootstrap_high,wins,ties,losses,seed_target_units
coverage,exact,all,Posterior Search (adaptive support),AdaTE Global,20,0.0010520284067929819,0.0,0.002586817859673991,3,27,0,30
coverage,exact,all,Posterior Search (adaptive support),AdaTE Global,30,0.005440196520132176,0.0018007455812966188,0.010489891028077984,8,22,0,30
coverage,exact,all,Posterior Search (adaptive support),AdaTE Global,50,0.009953038145973165,0.004568074586802187,0.01610188190304635,12,18,0,30
coverage,exact,all,Posterior Search (adaptive support),Function-Conditioned DIVA,10,0.003053295299320048,0.0008130081300813006,0.005913279132791327,6,24,0,30
coverage,exact,all,Posterior Search (adaptive support),Function-Conditioned DIVA,20,0.003459799364360698,0.0008130081300812997,0.007287687334704672,6,24,0,30
coverage,exact,all,Posterior Search (adaptive support),Function-Conditioned DIVA,30,0.00378031218487352,0.0010402489210077294,0.007860052987460992,7,23,0,30
coverage,exact,all,Posterior Search (adaptive support),Function-Conditioned DIVA,50,0.0037803121848735207,0.0010474731506574342,0.007773816968938928,7,23,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Random,10,0.08216273501943921,0.07943358311878287,0.08496952226351119,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Random,20,0.1635235086089612,0.1587407936654153,0.16813682253835627,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Random,30,0.24521185585239727,0.23897996324387513,0.251634501005318,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Random,50,0.40777576628141216,0.39790904458132453,0.4179505538700053,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DETOUR,10,0.015933687435357464,0.011271096060963987,0.020170761899598252,28,2,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DETOUR,20,0.032070629160516506,0.025687229137986763,0.038703090899590606,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DETOUR,30,0.06693105186407032,0.05846526333578614,0.07710666118014488,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DETOUR,50,0.14454195976630524,0.12217778685285667,0.17411837085211518,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA,10,0.08923689342335522,0.08409303617492332,0.09435278942861534,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA,20,0.08923689342335522,0.08416108764435777,0.09440588294919143,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA,30,0.08923689342335521,0.08399415250044551,0.09440268176802745,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA,50,0.08991386936837238,0.08444977354471792,0.09614492631636505,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA-DETOUR,10,0.08827652711645427,0.08205787698980678,0.09383157654982556,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA-DETOUR,20,0.08827652711645427,0.08202505816647103,0.0938803839275491,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA-DETOUR,30,0.08827652711645426,0.08196135628853905,0.09389496176529642,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),DIVA-DETOUR,50,0.08895350306147143,0.08244848380951128,0.09577845449354992,30,0,0,30
coverage,interpolated,all,Posterior Search (adaptive support),AdaTE Global,10,0.0,0.0,0.0,0,30,0,30
coverage,interpolated,all,Posterior Search (adaptive support),AdaTE Global,20,0.0,0.0,0.0,0,30,0,30
coverage,interpolated,all,Posterior Search (adaptive support),AdaTE Global,30,0.0020123070860093312,0.00035087719298245536,0.0039477124183006605,6,24,0,30
coverage,interpolated,all,Posterior Search (adaptive support),AdaTE Global,50,0.012758053970639623,0.007904166579477878,0.01682169641580786,23,7,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Function-Conditioned DIVA,10,0.0013618851049191601,0.0,0.0034079807361541096,4,26,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Function-Conditioned DIVA,20,0.0013618851049191593,0.0,0.0034014447884416887,4,26,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Function-Conditioned DIVA,30,0.002006022520901235,0.0,0.004768222923447375,6,24,0,30
coverage,interpolated,all,Posterior Search (adaptive support),Function-Conditioned DIVA,50,0.01554852460198917,0.010238391288705186,0.021586795200424263,25,5,0,30
coverage,unseen,all,Posterior Search (adaptive support),Random,10,0.0680576742850292,0.06166440490866785,0.07488640377033591,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),Random,20,0.13507764887643212,0.12231496965201889,0.14906426299570177,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),Random,30,0.20201624181585284,0.18284323514667447,0.22249920229953088,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),Random,50,0.3361521522270007,0.30464633208445147,0.3698153790913871,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DETOUR,10,0.016547061552800387,0.011382095433454762,0.022118582481770368,25,5,0,30
coverage,unseen,all,Posterior Search (adaptive support),DETOUR,20,0.028966203428692452,0.018635469746177045,0.03955922762727159,26,4,0,30
coverage,unseen,all,Posterior Search (adaptive support),DETOUR,30,0.05479901530954932,0.039523802798739356,0.07206932747145395,28,2,0,30
coverage,unseen,all,Posterior Search (adaptive support),DETOUR,50,0.11469314260346408,0.08775893767956784,0.14530613756311317,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA,10,0.05654266211280394,0.043506764537719594,0.06999199931046733,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA,20,0.056500200507034845,0.043529517009061255,0.06980996419298713,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA,30,0.05672280413734639,0.04396483562699661,0.07039494322511708,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA,50,0.05896584065258045,0.046264258421474226,0.07205608570118584,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA-DETOUR,10,0.05605116394688718,0.043042073112982235,0.06947523699918551,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA-DETOUR,20,0.05580294102424565,0.04276039328870595,0.06926110253439624,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA-DETOUR,30,0.05557305596677439,0.04204644397959171,0.06928685950532333,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),DIVA-DETOUR,50,0.05813322987164925,0.04454547092981365,0.07207095135917116,30,0,0,30
coverage,unseen,all,Posterior Search (adaptive support),AdaTE Global,10,0.0002564102564102564,0.0,0.0010256410256410256,1,29,0,30
coverage,unseen,all,Posterior Search (adaptive support),AdaTE Global,20,0.0006704621820900887,-0.001497761497761498,0.003394208289557124,3,25,2,30
coverage,unseen,all,Posterior Search (adaptive support),AdaTE Global,30,0.006671494120501193,0.0011534587772558955,0.013482395538544746,8,21,1,30
coverage,unseen,all,Posterior Search (adaptive support),AdaTE Global,50,0.012621385037756856,0.004653395089570212,0.02096250942782096,16,12,2,30
coverage,unseen,all,Posterior Search (adaptive support),Function-Conditioned DIVA,10,0.004163622116969324,0.0015545080515345024,0.00750128264874521,10,20,0,30
coverage,unseen,all,Posterior Search (adaptive support),Function-Conditioned DIVA,20,0.0034025786815072845,0.00022427996682684498,0.007168613472027194,8,21,1,30
coverage,unseen,all,Posterior Search (adaptive support),Function-Conditioned DIVA,30,0.0031726936240360215,-0.00013041091570617947,0.007119538281359023,8,20,2,30
coverage,unseen,all,Posterior Search (adaptive support),Function-Conditioned DIVA,50,0.003991410427916806,-0.0005049131781342548,0.008524456708517645,13,13,4,30
heterogeneity,all,global,Posterior Search (adaptive support),Random,10,0.07709725682406642,0.06675718307162617,0.0866703058177983,30,0,0,30
heterogeneity,all,global,Posterior Search (adaptive support),Random,20,0.1540037032165958,0.1327456294257014,0.17335723025902555,30,0,0,30
heterogeneity,all,global,Posterior Search (adaptive support),Random,30,0.23079440973101678,0.1992860444563968,0.2598595781241041,30,0,0,30
heterogeneity,all,global,Posterior Search (adaptive support),Random,50,0.3848371302596778,0.3334905835727292,0.432028563457688,30,0,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DETOUR,10,0.02137078982809419,0.015601134205287904,0.027260040023642792,24,6,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DETOUR,20,0.03959708527054807,0.028156099152721794,0.05128160705850903,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DETOUR,30,0.07396038557826518,0.055690320773604536,0.09412300393025226,26,4,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DETOUR,50,0.14919627342091915,0.11354905041954012,0.18693447995323278,27,3,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DIVA,10,0.07955268198472627,0.06395184353005975,0.09397095326238339,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DIVA,20,0.07955268198472627,0.06413983082516587,0.09423452562733349,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DIVA,30,0.07955268198472629,0.06383534455777276,0.09410543918540984,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DIVA,50,0.07994494741803139,0.06395402107439774,0.09453553445565041,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DIVA-DETOUR,10,0.07895208138412566,0.06329397450933472,0.09337148667834856,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DIVA-DETOUR,20,0.07895208138412566,0.0634632916954909,0.09377806648547644,25,5,0,30
