task,protocol,method,target_sut,repeat,budget,metric,value,candidate_count,target_feedback
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-B,0,20,recall,1.0,192,previous target outcomes
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,5,collision_count,5.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,5,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,5,recall,0.10869565217391304,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,10,collision_count,10.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,10,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,10,recall,0.21739130434782608,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,20,collision_count,20.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,20,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-C,0,20,recall,0.43478260869565216,192,none
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,5,collision_count,5.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,5,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,5,recall,0.10869565217391304,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,10,collision_count,10.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,10,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,10,recall,0.21739130434782608,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,20,collision_count,20.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,20,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-C,0,20,recall,0.43478260869565216,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,5,collision_count,5.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,5,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,5,recall,0.10869565217391304,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,10,collision_count,10.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,10,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,10,recall,0.21739130434782608,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,20,collision_count,20.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,20,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-C,0,20,recall,0.43478260869565216,192,previous target outcomes
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,5,collision_count,5.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,5,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,5,recall,0.10638297872340426,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,10,collision_count,10.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,10,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,10,recall,0.2127659574468085,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,20,collision_count,20.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,20,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-D,0,20,recall,0.425531914893617,192,none
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,5,collision_count,5.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,5,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,5,recall,0.10638297872340426,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,10,collision_count,10.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,10,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,10,recall,0.2127659574468085,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,20,collision_count,20.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,20,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-D,0,20,recall,0.425531914893617,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,5,collision_count,5.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,5,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,5,recall,0.10638297872340426,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,10,collision_count,10.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,10,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,10,recall,0.2127659574468085,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,20,collision_count,20.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,20,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-D,0,20,recall,0.425531914893617,192,previous target outcomes
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,5,collision_count,5.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,5,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,5,recall,0.3333333333333333,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,10,collision_count,10.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,10,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,10,recall,0.6666666666666666,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,20,collision_count,14.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,20,precision,0.7,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-E,0,20,recall,0.9333333333333333,192,none
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,5,collision_count,5.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,5,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,5,recall,0.3333333333333333,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,10,collision_count,10.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,10,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,10,recall,0.6666666666666666,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,20,collision_count,14.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,20,precision,0.7,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-E,0,20,recall,0.9333333333333333,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,5,collision_count,5.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,5,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,5,recall,0.3333333333333333,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,10,collision_count,10.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,10,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,10,recall,0.6666666666666666,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,20,collision_count,11.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,20,precision,0.55,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-E,0,20,recall,0.7333333333333333,192,previous target outcomes
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,5,collision_count,5.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,5,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,5,recall,0.07462686567164178,192,none
