task,protocol,method,budget,metric,mean,standard_deviation,records
failure_discovery,shared_pool_static,ScenarioFuzz-SEM-Pool-H,5,precision,0.9,0.24494897427831783,6
failure_discovery,shared_pool_static,ScenarioFuzz-SEM-Pool-H,5,recall,0.15939536053927095,0.09315124235813994,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,10,collision_count,9.5,1.224744871391589,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,10,precision,0.9500000000000001,0.1224744871391589,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,10,recall,0.36424526653308736,0.2280297391607824,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,20,collision_count,17.5,3.987480407475377,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,20,precision,0.875,0.19937402037376883,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,20,recall,0.6163693209449627,0.28919673691573067,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,5,collision_count,4.833333333333333,0.408248290463863,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,5,precision,0.9666666666666667,0.08164965809277258,6
failure_discovery,shared_pool_static,Uniform-Mixture-H,5,recall,0.18969839084230125,0.1257678276214128,6
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,10,collision_count,5.8,3.0667640953954582,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,10,precision,0.58,0.3066764095395458,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,10,recall,0.37103409376571145,0.15696926602961608,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,20,collision_count,10.041666666666666,5.448607613874575,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,20,precision,0.5020833333333334,0.2724303806937287,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,20,recall,0.6161157931121167,0.17663183390541817,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,5,collision_count,3.225,1.6876342150174246,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,5,precision,0.645,0.3375268430034849,120
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,5,recall,0.21554204374057317,0.11168815671585254,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,10,collision_count,6.666666666666667,2.294799869831143,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,10,precision,0.6666666666666667,0.2294799869831143,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,10,recall,0.5335746606334841,0.2778592522569721,120
